,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองนนทบุรี,"('เมืองนนทบุรี', 'นนทบุรี')",ดุสิต,"('ดุสิต', 'กรุงเทพมหานคร')","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['75 Rama V Rd, Khwaeng Dusit, Khet Dusit, Krung Thep Maha Nakhon 10300, Thailand']",14.9 km,23 mins
1,เมืองนนทบุรี,"('เมืองนนทบุรี', 'นนทบุรี')",พญาไท,"('พญาไท', 'กรุงเทพมหานคร')","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['14, ซอยเพชรบุรี 19 ถนนเพชรบุรี, แขวงถนนพญาไท เขตพญาไท กรุงเทพมหานคร, 10400 แขวงพญาไท Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand']",14.4 km,22 mins
2,เมืองนนทบุรี,"('เมืองนนทบุรี', 'นนทบุรี')",ตลิ่งชัน,"('ตลิ่งชัน', 'กรุงเทพมหานคร')","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['324 Chak Phra Rd, Khwaeng Khlong Chak Phra, Khet Taling Chan, Krung Thep Maha Nakhon 10170, Thailand']",18.2 km,25 mins
3,เมืองนนทบุรี,"('เมืองนนทบุรี', 'นนทบุรี')",ดอนเมือง,"('ดอนเมือง', 'กรุงเทพมหานคร')","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['999 Soi Choet Wutthakat 9/1, Khwaeng Don Mueang, Khet Don Mueang, Krung Thep Maha Nakhon 10210, Thailand']",13.8 km,21 mins
4,เมืองนนทบุรี,"('เมืองนนทบุรี', 'นนทบุรี')",บางพลัด,"('บางพลัด', 'กรุงเทพมหานคร')","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['27 Charan Sanit Wong Rd, Khwaeng Bang Ao, Khet Bang Phlat, Krung Thep Maha Nakhon 10700, Thailand']",11.5 km,22 mins
5,เมืองนนทบุรี,"('เมืองนนทบุรี', 'นนทบุรี')",บางซื่อ,"('บางซื่อ', 'กรุงเทพมหานคร')","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['99 ซอย กานต์ประภา Khwaeng Bang Sue, Khet Bang Sue, Krung Thep Maha Nakhon 10800, Thailand']",9.0 km,18 mins
6,เมืองนนทบุรี,"('เมืองนนทบุรี', 'นนทบุรี')",จตุจักร,"('จตุจักร', 'กรุงเทพมหานคร')","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['1010 Vibhavadi Rangsit-Rangsit, Khwaeng Chatuchak, Khet Chatuchak, Krung Thep Maha Nakhon 10900, Thailand']",8.9 km,15 mins
7,เมืองนนทบุรี,"('เมืองนนทบุรี', 'นนทบุรี')",หลักสี่,"('หลักสี่', 'กรุงเทพมหานคร')","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['95/38 soi Boonpiam,Whamwongwan Road,Thungsonghong District,LaksiBangkok, แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210, Thailand']",12.1 km,18 mins
8,เมืองนนทบุรี,"('เมืองนนทบุรี', 'นนทบุรี')",ทวีวัฒนา,"('ทวีวัฒนา', 'กรุงเทพมหานคร')","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['1 Soi Utthayan 5, Khwaeng Thawi Watthana, Khet Thawi Watthana, Krung Thep Maha Nakhon 10170, Thailand']",27.3 km,35 mins
9,เมืองนนทบุรี,"('เมืองนนทบุรี', 'นนทบุรี')",บางกรวย,"('บางกรวย', 'นนทบุรี')","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['RF4F+448, Wat Chalo, Bang Kruai District, Nonthaburi 11130, Thailand']",11.0 km,21 mins
