,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองลำพูน,"('เมืองลำพูน', 'ลำพูน')",สันป่าตอง,"('สันป่าตอง', 'เชียงใหม่')","['H2H9+69C, Wiang Yong, Mueang Lamphun District, Lamphun 51000, Thailand']","['JVHW+C79, 108, Tambon Yu Wa, Amphoe San Pa Tong, Chang Wat Chiang Mai 50120, Thailand']",16.9 km,27 mins
1,เมืองลำพูน,"('เมืองลำพูน', 'ลำพูน')",สันกำแพง,"('สันกำแพง', 'เชียงใหม่')","['H2H9+69C, Wiang Yong, Mueang Lamphun District, Lamphun 51000, Thailand']","['P5Q4+C9P, 1006, Tambon Rong Wua Daeng, Amphoe San Kamphaeng, Chang Wat Chiang Mai 50130, Thailand']",38.2 km,42 mins
2,เมืองลำพูน,"('เมืองลำพูน', 'ลำพูน')",หางดง,"('หางดง', 'เชียงใหม่')","['H2H9+69C, Wiang Yong, Mueang Lamphun District, Lamphun 51000, Thailand']","['44 108, Tambon Hang Dong, Amphoe Hang Dong, Chang Wat Chiang Mai 50230, Thailand']",20.1 km,33 mins
3,เมืองลำพูน,"('เมืองลำพูน', 'ลำพูน')",สารภี,"('สารภี', 'เชียงใหม่')","['H2H9+69C, Wiang Yong, Mueang Lamphun District, Lamphun 51000, Thailand']","['P27P+8HJ, Chiang Mai-Lamphun Rd, Yang Noeng, Amphoe Saraphi, Chang Wat Chiang Mai 50140, Thailand']",20.8 km,22 mins
4,เมืองลำพูน,"('เมืองลำพูน', 'ลำพูน')",แม่ออน,"('แม่ออน', 'เชียงใหม่')","['H2H9+69C, Wiang Yong, Mueang Lamphun District, Lamphun 51000, Thailand']","['18/1 หมู่ 7, ตำบลบ้านสหกรณ์กิ่ง อำเภอแม่ออน จังหวัดเชียงใหม่, 50130 Tambon Ban Sa Ha Khon, Amphoe Mae On, Chang Wat Chiang Mai 50130, Thailand']",46.2 km,50 mins
5,เมืองลำพูน,"('เมืองลำพูน', 'ลำพูน')",แม่ทา,"('แม่ทา', 'ลำพูน')","['H2H9+69C, Wiang Yong, Mueang Lamphun District, Lamphun 51000, Thailand']","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']",23.9 km,23 mins
6,เมืองลำพูน,"('เมืองลำพูน', 'ลำพูน')",ป่าซาง,"('ป่าซาง', 'ลำพูน')","['H2H9+69C, Wiang Yong, Mueang Lamphun District, Lamphun 51000, Thailand']","['GWGR+52P, Pa Sang, Pa Sang District, Lamphun 51120, Thailand']",12.8 km,18 mins
7,เมืองลำพูน,"('เมืองลำพูน', 'ลำพูน')",บ้านธิ,"('บ้านธิ', 'ลำพูน')","['H2H9+69C, Wiang Yong, Mueang Lamphun District, Lamphun 51000, Thailand']","['149 หมู่ 15 Tambon Ban Thi, Lamphun Chang Wat Lamphun 51180, Thailand']",19.7 km,25 mins
8,แม่ทา,"('แม่ทา', 'ลำพูน')",แม่ออน,"('แม่ออน', 'เชียงใหม่')","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']","['18/1 หมู่ 7, ตำบลบ้านสหกรณ์กิ่ง อำเภอแม่ออน จังหวัดเชียงใหม่, 50130 Tambon Ban Sa Ha Khon, Amphoe Mae On, Chang Wat Chiang Mai 50130, Thailand']",62.0 km,1 hour 1 min
9,แม่ทา,"('แม่ทา', 'ลำพูน')",เมืองลำพูน,"('เมืองลำพูน', 'ลำพูน')","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']","['H2H9+69C, Wiang Yong, Mueang Lamphun District, Lamphun 51000, Thailand']",21.9 km,20 mins
10,แม่ทา,"('แม่ทา', 'ลำพูน')",บ้านโฮ่ง,"('บ้านโฮ่ง', 'ลำพูน')","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']","['204/11 หมู่ 2, ถนนสายลำพูน-ลี้, ต.บ้านโฮ่ง อ.บ้านโฮ่ง จังหวัดลำพูน, 51160 Tambon Ban Hong, Amphoe Ban Hong, Chang Wat Lamphun 51130, Thailand']",52.4 km,54 mins
11,แม่ทา,"('แม่ทา', 'ลำพูน')",ลี้,"('ลี้', 'ลำพูน')","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']","['86/3 หมู่ 12, ตำบลลี้ อำเภอลี้ จังหวัดลำพูน, 51110 Tambon Li, Amphoe Li, Chang Wat Lamphun 51110, Thailand']",118 km,1 hour 52 mins
12,แม่ทา,"('แม่ทา', 'ลำพูน')",ทุ่งหัวช้าง,"('ทุ่งหัวช้าง', 'ลำพูน')","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']","['223H+95Q, Thung Hua Chang, Thung Hua Chang District, Lamphun 51160, Thailand']",79.4 km,1 hour 29 mins
13,แม่ทา,"('แม่ทา', 'ลำพูน')",ป่าซาง,"('ป่าซาง', 'ลำพูน')","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']","['GWGR+52P, Pa Sang, Pa Sang District, Lamphun 51120, Thailand']",33.3 km,35 mins
14,แม่ทา,"('แม่ทา', 'ลำพูน')",บ้านธิ,"('บ้านธิ', 'ลำพูน')","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']","['149 หมู่ 15 Tambon Ban Thi, Lamphun Chang Wat Lamphun 51180, Thailand']",35.5 km,35 mins
15,แม่ทา,"('แม่ทา', 'ลำพูน')",ห้างฉัตร,"('ห้างฉัตร', 'ลำปาง')","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']","['88C9+J29, Wiang Tan, Hang Chat District, Lampang 52190, Thailand']",32.5 km,29 mins
16,แม่ทา,"('แม่ทา', 'ลำพูน')",เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']",54.7 km,52 mins
17,แม่ทา,"('แม่ทา', 'ลำพูน')",เสริมงาม,"('เสริมงาม', 'ลำปาง')","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']","['368W+2CJ, Thung Ngam, Soem Ngam District, Lampang 52210, Thailand']",76.2 km,1 hour 13 mins
18,บ้านโฮ่ง,"('บ้านโฮ่ง', 'ลำพูน')",ฮอด,"('ฮอด', 'เชียงใหม่')","['204/11 หมู่ 2, ถนนสายลำพูน-ลี้, ต.บ้านโฮ่ง อ.บ้านโฮ่ง จังหวัดลำพูน, 51160 Tambon Ban Hong, Amphoe Ban Hong, Chang Wat Lamphun 51130, Thailand']","['44 108, Tambon Hang Dong, Amphoe Hang Dong, Chang Wat Chiang Mai 50230, Thailand']",50.7 km,57 mins
19,บ้านโฮ่ง,"('บ้านโฮ่ง', 'ลำพูน')",แม่ทา,"('แม่ทา', 'ลำพูน')","['204/11 หมู่ 2, ถนนสายลำพูน-ลี้, ต.บ้านโฮ่ง อ.บ้านโฮ่ง จังหวัดลำพูน, 51160 Tambon Ban Hong, Amphoe Ban Hong, Chang Wat Lamphun 51130, Thailand']","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']",51.8 km,56 mins
20,บ้านโฮ่ง,"('บ้านโฮ่ง', 'ลำพูน')",ลี้,"('ลี้', 'ลำพูน')","['204/11 หมู่ 2, ถนนสายลำพูน-ลี้, ต.บ้านโฮ่ง อ.บ้านโฮ่ง จังหวัดลำพูน, 51160 Tambon Ban Hong, Amphoe Ban Hong, Chang Wat Lamphun 51130, Thailand']","['86/3 หมู่ 12, ตำบลลี้ อำเภอลี้ จังหวัดลำพูน, 51110 Tambon Li, Amphoe Li, Chang Wat Lamphun 51110, Thailand']",66.3 km,1 hour 0 mins
