,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองอุตรดิตถ์,"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')",เด่นชัย,"('เด่นชัย', 'แพร่')","['J3GW+8Q6, Pracha Nimit Rd, Tambon Tha It, Amphoe Mueang Uttaradit, Chang Wat Uttaradit 53000, Thailand']","['1379 ถ.ยันตรกิจโกศล Tambon Den Chai, Amphoe Den Chai, Chang Wat Phrae 54110, Thailand']",55.3 km,48 mins
1,เมืองอุตรดิตถ์,"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')",ตรอน,"('ตรอน', 'อุตรดิตถ์')","['J3GW+8Q6, Pracha Nimit Rd, Tambon Tha It, Amphoe Mueang Uttaradit, Chang Wat Uttaradit 53000, Thailand']","['F4J7+V4R, Wang Daeng, Tron District, Uttaradit 53140, Thailand']",18.4 km,24 mins
2,เมืองอุตรดิตถ์,"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')",ท่าปลา,"('ท่าปลา', 'อุตรดิตถ์')","['J3GW+8Q6, Pracha Nimit Rd, Tambon Tha It, Amphoe Mueang Uttaradit, Chang Wat Uttaradit 53000, Thailand']","['Q9VG+5PF, Tha Pla, Tha Pla District, Uttaradit 53150, Thailand']",43.0 km,42 mins
3,เมืองอุตรดิตถ์,"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')",ลับแล,"('ลับแล', 'อุตรดิตถ์')","['J3GW+8Q6, Pracha Nimit Rd, Tambon Tha It, Amphoe Mueang Uttaradit, Chang Wat Uttaradit 53000, Thailand']","['83/1 ถนน ราษฎร์บำรุง Tambon Si Phanommat, Amphoe Laplae, Chang Wat Uttaradit 53130, Thailand']",7.9 km,12 mins
4,เมืองอุตรดิตถ์,"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')",ทองแสนขัน,"('ทองแสนขัน', 'อุตรดิตถ์')","['J3GW+8Q6, Pracha Nimit Rd, Tambon Tha It, Amphoe Mueang Uttaradit, Chang Wat Uttaradit 53000, Thailand']","['F8GM+394, Bo Thong, Thong Saen Khan District, Uttaradit 53230, Thailand']",38.2 km,36 mins
5,ตรอน,"('ตรอน', 'อุตรดิตถ์')",ศรีนคร,"('ศรีนคร', 'สุโขทัย')","['F4J7+V4R, Wang Daeng, Tron District, Uttaradit 53140, Thailand']","['8XXR+85V, Si Nakhon, Si Nakhon District, Sukhothai 64180, Thailand']",24.3 km,25 mins
6,ตรอน,"('ตรอน', 'อุตรดิตถ์')",วัดโบสถ์,"('วัดโบสถ์', 'พิษณุโลก')","['F4J7+V4R, Wang Daeng, Tron District, Uttaradit 53140, Thailand']","['545/1-2 หมู่ 4, ตำบลวัดโบสถ์ อำเภอวัดโบสถ์ จังหวัดพิษณุโลก, 65160 Tambon Wat Bot, Amphoe Wat Bot, Chang Wat Phitsanulok 65160, Thailand']",71.5 km,58 mins
7,ตรอน,"('ตรอน', 'อุตรดิตถ์')",ศรีสัชนาลัย,"('ศรีสัชนาลัย', 'สุโขทัย')","['F4J7+V4R, Wang Daeng, Tron District, Uttaradit 53140, Thailand']","['11430 Soi Thetsaban 3, Tambon Hat Siao, Amphoe Si Satchanalai, Chang Wat Sukhothai 64130, Thailand']",45.5 km,50 mins
8,ตรอน,"('ตรอน', 'อุตรดิตถ์')",สวรรคโลก,"('สวรรคโลก', 'สุโขทัย')","['F4J7+V4R, Wang Daeng, Tron District, Uttaradit 53140, Thailand']","['อาคารที่ว่าการอำเภอสวรรคโลก, ถนนหน้าเมือง, ตำบลเมืองสวรรคโลก อำเภอสวรรคโลก จังหวัดสุโขทัย, 64110 Tambon Mueang Sawankhalok, Amphoe Sawankhalok, Chang Wat Sukhothai 64110, Thailand']",43.0 km,44 mins
9,ตรอน,"('ตรอน', 'อุตรดิตถ์')",เมืองอุตรดิตถ์,"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')","['F4J7+V4R, Wang Daeng, Tron District, Uttaradit 53140, Thailand']","['J3GW+8Q6, Pracha Nimit Rd, Tambon Tha It, Amphoe Mueang Uttaradit, Chang Wat Uttaradit 53000, Thailand']",19.3 km,25 mins
10,ตรอน,"('ตรอน', 'อุตรดิตถ์')",พิชัย,"('พิชัย', 'อุตรดิตถ์')","['F4J7+V4R, Wang Daeng, Tron District, Uttaradit 53140, Thailand']","['73PP+RX9, Chai Bumrung Rd, Tambon Nai Mueang, Amphoe Phichai, Chang Wat Uttaradit 53120, Thailand']",27.8 km,27 mins
11,ตรอน,"('ตรอน', 'อุตรดิตถ์')",ลับแล,"('ลับแล', 'อุตรดิตถ์')","['F4J7+V4R, Wang Daeng, Tron District, Uttaradit 53140, Thailand']","['83/1 ถนน ราษฎร์บำรุง Tambon Si Phanommat, Amphoe Laplae, Chang Wat Uttaradit 53130, Thailand']",25.2 km,30 mins
12,ตรอน,"('ตรอน', 'อุตรดิตถ์')",ทองแสนขัน,"('ทองแสนขัน', 'อุตรดิตถ์')","['F4J7+V4R, Wang Daeng, Tron District, Uttaradit 53140, Thailand']","['F8GM+394, Bo Thong, Thong Saen Khan District, Uttaradit 53230, Thailand']",29.7 km,32 mins
13,ท่าปลา,"('ท่าปลา', 'อุตรดิตถ์')",สูงเม่น,"('สูงเม่น', 'แพร่')","['Q9VG+5PF, Tha Pla, Tha Pla District, Uttaradit 53150, Thailand']","['3426+QMJ, Sung Men, Sung Men District, Phrae 54130, Thailand']",86.5 km,1 hour 13 mins
14,ท่าปลา,"('ท่าปลา', 'อุตรดิตถ์')",เด่นชัย,"('เด่นชัย', 'แพร่')","['Q9VG+5PF, Tha Pla, Tha Pla District, Uttaradit 53150, Thailand']","['1379 ถ.ยันตรกิจโกศล Tambon Den Chai, Amphoe Den Chai, Chang Wat Phrae 54110, Thailand']",78.9 km,1 hour 7 mins
