,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,ลอง,"('ลอง', 'แพร่')",สูงเม่น,"('สูงเม่น', 'แพร่')","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']","['3426+QMJ, Sung Men, Sung Men District, Phrae 54130, Thailand']",49.5 km,50 mins
1,ลอง,"('ลอง', 'แพร่')",เด่นชัย,"('เด่นชัย', 'แพร่')","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']","['1379 ถ.ยันตรกิจโกศล Tambon Den Chai, Amphoe Den Chai, Chang Wat Phrae 54110, Thailand']",37.2 km,39 mins
2,ลอง,"('ลอง', 'แพร่')",สอง,"('สอง', 'แพร่')","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']","['F5CM+3FF, Ban Klang, Song District, Phrae 54120, Thailand']",81.2 km,1 hour 21 mins
3,ลอง,"('ลอง', 'แพร่')",วังชิ้น,"('วังชิ้น', 'แพร่')","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']","['VJV3+VHV, ถนน เทศบาล 1, Tambon Wang Chin, Amphoe Wang Chin, Chang Wat Phrae 54160, Thailand']",39.1 km,35 mins
4,ลอง,"('ลอง', 'แพร่')",หนองม่วงไข่,"('หนองม่วงไข่', 'แพร่')","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']","['757Q+RQ9, Thetsaban 4 Rd, Tambon Nong Muang Khai, Amphoe Nong Muang Khai, Chang Wat Phrae 54170, Thailand']",57.6 km,58 mins
5,ลอง,"('ลอง', 'แพร่')",แม่ทะ,"('แม่ทะ', 'ลำปาง')","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']",53.9 km,50 mins
6,ลอง,"('ลอง', 'แพร่')",เมืองแพร่,"('เมืองแพร่', 'แพร่')","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']","['ที่ว่าการอำเภอเมืองแพร่ ถนน 44WR+5GH, Chaiyabun Rd, Tambon Nai Wiang, Amphoe Mueang Phrae, Chang Wat Phrae 54000, Thailand']",42.1 km,42 mins
7,ลอง,"('ลอง', 'แพร่')",แม่เมาะ,"('แม่เมาะ', 'ลำปาง')","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']","['7MG2+66G, Mae Mo, Mae Mo District, Lampang 52220, Thailand']",61.5 km,54 mins
8,สูงเม่น,"('สูงเม่น', 'แพร่')",ลอง,"('ลอง', 'แพร่')","['3426+QMJ, Sung Men, Sung Men District, Phrae 54130, Thailand']","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']",50.6 km,50 mins
9,สูงเม่น,"('สูงเม่น', 'แพร่')",เด่นชัย,"('เด่นชัย', 'แพร่')","['3426+QMJ, Sung Men, Sung Men District, Phrae 54130, Thailand']","['1379 ถ.ยันตรกิจโกศล Tambon Den Chai, Amphoe Den Chai, Chang Wat Phrae 54110, Thailand']",13.3 km,14 mins
10,สูงเม่น,"('สูงเม่น', 'แพร่')",ท่าปลา,"('ท่าปลา', 'อุตรดิตถ์')","['3426+QMJ, Sung Men, Sung Men District, Phrae 54130, Thailand']","['Q9VG+5PF, Tha Pla, Tha Pla District, Uttaradit 53150, Thailand']",87.6 km,1 hour 17 mins
11,สูงเม่น,"('สูงเม่น', 'แพร่')",เมืองแพร่,"('เมืองแพร่', 'แพร่')","['3426+QMJ, Sung Men, Sung Men District, Phrae 54130, Thailand']","['ที่ว่าการอำเภอเมืองแพร่ ถนน 44WR+5GH, Chaiyabun Rd, Tambon Nai Wiang, Amphoe Mueang Phrae, Chang Wat Phrae 54000, Thailand']",12.6 km,16 mins
12,เด่นชัย,"('เด่นชัย', 'แพร่')",ศรีสัชนาลัย,"('ศรีสัชนาลัย', 'สุโขทัย')","['1379 ถ.ยันตรกิจโกศล Tambon Den Chai, Amphoe Den Chai, Chang Wat Phrae 54110, Thailand']","['11430 Soi Thetsaban 3, Tambon Hat Siao, Amphoe Si Satchanalai, Chang Wat Sukhothai 64130, Thailand']",79.5 km,1 hour 11 mins
13,เด่นชัย,"('เด่นชัย', 'แพร่')",ลอง,"('ลอง', 'แพร่')","['1379 ถ.ยันตรกิจโกศล Tambon Den Chai, Amphoe Den Chai, Chang Wat Phrae 54110, Thailand']","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']",37.3 km,40 mins
14,เด่นชัย,"('เด่นชัย', 'แพร่')",สูงเม่น,"('สูงเม่น', 'แพร่')","['1379 ถ.ยันตรกิจโกศล Tambon Den Chai, Amphoe Den Chai, Chang Wat Phrae 54110, Thailand']","['3426+QMJ, Sung Men, Sung Men District, Phrae 54130, Thailand']",13.0 km,13 mins
15,เด่นชัย,"('เด่นชัย', 'แพร่')",วังชิ้น,"('วังชิ้น', 'แพร่')","['1379 ถ.ยันตรกิจโกศล Tambon Den Chai, Amphoe Den Chai, Chang Wat Phrae 54110, Thailand']","['VJV3+VHV, ถนน เทศบาล 1, Tambon Wang Chin, Amphoe Wang Chin, Chang Wat Phrae 54160, Thailand']",64.0 km,56 mins
16,เด่นชัย,"('เด่นชัย', 'แพร่')",เมืองอุตรดิตถ์,"('เมืองอุตรดิตถ์', 'อุตรดิตถ์')","['1379 ถ.ยันตรกิจโกศล Tambon Den Chai, Amphoe Den Chai, Chang Wat Phrae 54110, Thailand']","['J3GW+8Q6, Pracha Nimit Rd, Tambon Tha It, Amphoe Mueang Uttaradit, Chang Wat Uttaradit 53000, Thailand']",55.5 km,49 mins
