,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองน่าน,"('เมืองน่าน', 'น่าน')",บ้านหลวง,"('บ้านหลวง', 'น่าน')","['45 ม.6, อ.เมือง จ.น่าน, 55000 Tambon Chaiyasathan, Amphoe Mueang Nan, Chang Wat Nan 55000, Thailand']","['VC2Q+H7F, ALRO. Nan 46901 Rd, Tambon Suat, Amphoe Ban Luang, Chang Wat Nan 55190, Thailand']",41.1 km,46 mins
1,เมืองน่าน,"('เมืองน่าน', 'น่าน')",ท่าวังผา,"('ท่าวังผา', 'น่าน')","['45 ม.6, อ.เมือง จ.น่าน, 55000 Tambon Chaiyasathan, Amphoe Mueang Nan, Chang Wat Nan 55000, Thailand']","['4RC6+M8M, Tha Wang Pha, Tha Wang Pha District, Nan 55140, Thailand']",43.7 km,38 mins
2,เมืองน่าน,"('เมืองน่าน', 'น่าน')",เวียงสา,"('เวียงสา', 'น่าน')","['45 ม.6, อ.เมือง จ.น่าน, 55000 Tambon Chaiyasathan, Amphoe Mueang Nan, Chang Wat Nan 55000, Thailand']","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']",25.7 km,26 mins
3,เมืองน่าน,"('เมืองน่าน', 'น่าน')",สันติสุข,"('สันติสุข', 'น่าน')","['45 ม.6, อ.เมือง จ.น่าน, 55000 Tambon Chaiyasathan, Amphoe Mueang Nan, Chang Wat Nan 55000, Thailand']","['WW7R+76W, Du Phong, Santi Suk District, Nan 55210, Thailand']",37.9 km,46 mins
4,เมืองน่าน,"('เมืองน่าน', 'น่าน')",ภูเพียง,"('ภูเพียง', 'น่าน')","['45 ม.6, อ.เมือง จ.น่าน, 55000 Tambon Chaiyasathan, Amphoe Mueang Nan, Chang Wat Nan 55000, Thailand']","['PQVX+3M5, Tha Nao, Phu Phiang District, Nan 55000, Thailand']",11.3 km,19 mins
5,เมืองน่าน,"('เมืองน่าน', 'น่าน')",เชียงม่วน,"('เชียงม่วน', 'พะเยา')","['45 ม.6, อ.เมือง จ.น่าน, 55000 Tambon Chaiyasathan, Amphoe Mueang Nan, Chang Wat Nan 55000, Thailand']","['เลขที่ 1 หมู่ที่ 10 Tambon Chiang Muan, Amphoe Chiang Muan, Chang Wat Phayao 56160, Thailand']",60.6 km,1 hour 8 mins
6,เมืองน่าน,"('เมืองน่าน', 'น่าน')",ปง,"('ปง', 'พะเยา')","['45 ม.6, อ.เมือง จ.น่าน, 55000 Tambon Chaiyasathan, Amphoe Mueang Nan, Chang Wat Nan 55000, Thailand']","['56 หมู่ 3, ตำบลปง อำเภอปง จังหวัดพะเยา, 56140 Tambon Pong, Amphoe Pong, Chang Wat Phayao 56140, Thailand']",99.2 km,1 hour 43 mins
7,แม่จริม,"('แม่จริม', 'น่าน')",เวียงสา,"('เวียงสา', 'น่าน')","['131 1168, Tambon Nong Daeng, Amphoe Mae Charim, Chang Wat Nan 55170, Thailand']","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']",44.2 km,57 mins
8,แม่จริม,"('แม่จริม', 'น่าน')",สันติสุข,"('สันติสุข', 'น่าน')","['131 1168, Tambon Nong Daeng, Amphoe Mae Charim, Chang Wat Nan 55170, Thailand']","['WW7R+76W, Du Phong, Santi Suk District, Nan 55210, Thailand']",33.9 km,39 mins
9,แม่จริม,"('แม่จริม', 'น่าน')",บ่อเกลือ,"('บ่อเกลือ', 'น่าน')","['131 1168, Tambon Nong Daeng, Amphoe Mae Charim, Chang Wat Nan 55170, Thailand']","['45X5+F3X, Bo Kluea Tai, Bo Kluea District, Nan 55220, Thailand']",91.4 km,1 hour 55 mins
10,แม่จริม,"('แม่จริม', 'น่าน')",ภูเพียง,"('ภูเพียง', 'น่าน')","['131 1168, Tambon Nong Daeng, Amphoe Mae Charim, Chang Wat Nan 55170, Thailand']","['PQVX+3M5, Tha Nao, Phu Phiang District, Nan 55000, Thailand']",39.1 km,43 mins
11,บ้านหลวง,"('บ้านหลวง', 'น่าน')",สอง,"('สอง', 'แพร่')","['VC2Q+H7F, ALRO. Nan 46901 Rd, Tambon Suat, Amphoe Ban Luang, Chang Wat Nan 55190, Thailand']","['F5CM+3FF, Ban Klang, Song District, Phrae 54120, Thailand']",73.9 km,1 hour 14 mins
12,บ้านหลวง,"('บ้านหลวง', 'น่าน')",เมืองน่าน,"('เมืองน่าน', 'น่าน')","['VC2Q+H7F, ALRO. Nan 46901 Rd, Tambon Suat, Amphoe Ban Luang, Chang Wat Nan 55190, Thailand']","['45 ม.6, อ.เมือง จ.น่าน, 55000 Tambon Chaiyasathan, Amphoe Mueang Nan, Chang Wat Nan 55000, Thailand']",40.6 km,44 mins
13,บ้านหลวง,"('บ้านหลวง', 'น่าน')",เวียงสา,"('เวียงสา', 'น่าน')","['VC2Q+H7F, ALRO. Nan 46901 Rd, Tambon Suat, Amphoe Ban Luang, Chang Wat Nan 55190, Thailand']","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']",66.1 km,1 hour 9 mins
14,บ้านหลวง,"('บ้านหลวง', 'น่าน')",เชียงม่วน,"('เชียงม่วน', 'พะเยา')","['VC2Q+H7F, ALRO. Nan 46901 Rd, Tambon Suat, Amphoe Ban Luang, Chang Wat Nan 55190, Thailand']","['เลขที่ 1 หมู่ที่ 10 Tambon Chiang Muan, Amphoe Chiang Muan, Chang Wat Phayao 56160, Thailand']",20.4 km,26 mins
15,นาน้อย,"('นาน้อย', 'น่าน')",เวียงสา,"('เวียงสา', 'น่าน')","['8PG7+7RX, Na Noi, Na Noi District, Nan 55150, Thailand']","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']",39.4 km,41 mins
16,นาน้อย,"('นาน้อย', 'น่าน')",นาหมื่น,"('นาหมื่น', 'น่าน')","['8PG7+7RX, Na Noi, Na Noi District, Nan 55150, Thailand']","['อาคารสำนักงานเกษตรอำเภอนาหมื่น, ถนนเจ้าฟ้า, ตำบลนาทะนุง อำเภอนาหมื่น จังหวัดน่าน, 55180 Tambon Na Thanung, Amphoe Na Muen, Chang Wat Nan 55180, Thailand']",19.7 km,22 mins
17,นาน้อย,"('นาน้อย', 'น่าน')",ฟากท่า,"('ฟากท่า', 'อุตรดิตถ์')","['8PG7+7RX, Na Noi, Na Noi District, Nan 55150, Thailand']","['XVRH+VH4, Fak Tha, Fak Tha District, Uttaradit 53160, Thailand']",101 km,1 hour 55 mins
18,นาน้อย,"('นาน้อย', 'น่าน')",บ้านโคก,"('บ้านโคก', 'อุตรดิตถ์')","['8PG7+7RX, Na Noi, Na Noi District, Nan 55150, Thailand']","['23G9+558, Ban Khok, Ban Khok District, Uttaradit 53180, Thailand']",91.7 km,1 hour 46 mins
19,นาน้อย,"('นาน้อย', 'น่าน')",ร้องกวาง,"('ร้องกวาง', 'แพร่')","['8PG7+7RX, Na Noi, Na Noi District, Nan 55150, Thailand']","['88Q8+VXV, Rong Kwang, Rong Kwang District, Phrae 54140, Thailand']",88.9 km,1 hour 24 mins
20,ปัว,"('ปัว', 'น่าน')",ท่าวังผา,"('ท่าวังผา', 'น่าน')","['5WF8+JMJ, Pua, Pua District, Nan 55120, Thailand']","['4RC6+M8M, Tha Wang Pha, Tha Wang Pha District, Nan 55140, Thailand']",17.8 km,17 mins
21,ปัว,"('ปัว', 'น่าน')",ทุ่งช้าง,"('ทุ่งช้าง', 'น่าน')","['5WF8+JMJ, Pua, Pua District, Nan 55120, Thailand']","['9VPG+R8W, Thung Chang, Thung Chang District, Nan 55130, Thailand']",29.0 km,28 mins
22,ปัว,"('ปัว', 'น่าน')",เชียงกลาง,"('เชียงกลาง', 'น่าน')","['5WF8+JMJ, Pua, Pua District, Nan 55120, Thailand']","['73-73/1 Moo 11, Highway 1080 Road, Tambon Chiang Klang, Amphoe Chiang Klang, Nan, 55160, ตำบล เชียงกลาง อำเภอ เชียงกลาง น่าน 55160, Thailand']",19.7 km,21 mins
23,ปัว,"('ปัว', 'น่าน')",สันติสุข,"('สันติสุข', 'น่าน')","['5WF8+JMJ, Pua, Pua District, Nan 55120, Thailand']","['WW7R+76W, Du Phong, Santi Suk District, Nan 55210, Thailand']",35.9 km,43 mins
24,ปัว,"('ปัว', 'น่าน')",บ่อเกลือ,"('บ่อเกลือ', 'น่าน')","['5WF8+JMJ, Pua, Pua District, Nan 55120, Thailand']","['45X5+F3X, Bo Kluea Tai, Bo Kluea District, Nan 55220, Thailand']",47.0 km,1 hour 14 mins
25,ปัว,"('ปัว', 'น่าน')",สองแคว,"('สองแคว', 'น่าน')","['5WF8+JMJ, Pua, Pua District, Nan 55120, Thailand']","['9P52+V66, Na Rai Luang, Song Khwae District, Nan 55160, Thailand']",42.4 km,46 mins
26,ปัว,"('ปัว', 'น่าน')",เฉลิมพระเกียรติ,"('เฉลิมพระเกียรติ', 'น่าน')","['5WF8+JMJ, Pua, Pua District, Nan 55120, Thailand']","['H3HJ+XQP, Huai Kon, Chaloem Phra Kiat District, Nan 55130, Thailand']",79.2 km,1 hour 27 mins
27,ท่าวังผา,"('ท่าวังผา', 'น่าน')",เมืองน่าน,"('เมืองน่าน', 'น่าน')","['4RC6+M8M, Tha Wang Pha, Tha Wang Pha District, Nan 55140, Thailand']","['45 ม.6, อ.เมือง จ.น่าน, 55000 Tambon Chaiyasathan, Amphoe Mueang Nan, Chang Wat Nan 55000, Thailand']",43.7 km,40 mins
28,ท่าวังผา,"('ท่าวังผา', 'น่าน')",ปัว,"('ปัว', 'น่าน')","['4RC6+M8M, Tha Wang Pha, Tha Wang Pha District, Nan 55140, Thailand']","['5WF8+JMJ, Pua, Pua District, Nan 55120, Thailand']",16.2 km,16 mins
29,ท่าวังผา,"('ท่าวังผา', 'น่าน')",เชียงกลาง,"('เชียงกลาง', 'น่าน')","['4RC6+M8M, Tha Wang Pha, Tha Wang Pha District, Nan 55140, Thailand']","['73-73/1 Moo 11, Highway 1080 Road, Tambon Chiang Klang, Amphoe Chiang Klang, Nan, 55160, ตำบล เชียงกลาง อำเภอ เชียงกลาง น่าน 55160, Thailand']",22.6 km,26 mins
30,ท่าวังผา,"('ท่าวังผา', 'น่าน')",สันติสุข,"('สันติสุข', 'น่าน')","['4RC6+M8M, Tha Wang Pha, Tha Wang Pha District, Nan 55140, Thailand']","['WW7R+76W, Du Phong, Santi Suk District, Nan 55210, Thailand']",40.6 km,48 mins
31,ท่าวังผา,"('ท่าวังผา', 'น่าน')",สองแคว,"('สองแคว', 'น่าน')","['4RC6+M8M, Tha Wang Pha, Tha Wang Pha District, Nan 55140, Thailand']","['9P52+V66, Na Rai Luang, Song Khwae District, Nan 55160, Thailand']",32.9 km,33 mins
32,ท่าวังผา,"('ท่าวังผา', 'น่าน')",ปง,"('ปง', 'พะเยา')","['4RC6+M8M, Tha Wang Pha, Tha Wang Pha District, Nan 55140, Thailand']","['56 หมู่ 3, ตำบลปง อำเภอปง จังหวัดพะเยา, 56140 Tambon Pong, Amphoe Pong, Chang Wat Phayao 56140, Thailand']",120 km,2 hours 19 mins
33,เวียงสา,"('เวียงสา', 'น่าน')",สอง,"('สอง', 'แพร่')","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']","['F5CM+3FF, Ban Klang, Song District, Phrae 54120, Thailand']",95.2 km,1 hour 22 mins
34,เวียงสา,"('เวียงสา', 'น่าน')",เมืองน่าน,"('เมืองน่าน', 'น่าน')","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']","['45 ม.6, อ.เมือง จ.น่าน, 55000 Tambon Chaiyasathan, Amphoe Mueang Nan, Chang Wat Nan 55000, Thailand']",25.5 km,26 mins
35,เวียงสา,"('เวียงสา', 'น่าน')",แม่จริม,"('แม่จริม', 'น่าน')","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']","['131 1168, Tambon Nong Daeng, Amphoe Mae Charim, Chang Wat Nan 55170, Thailand']",47.7 km,1 hour 0 mins
36,เวียงสา,"('เวียงสา', 'น่าน')",บ้านหลวง,"('บ้านหลวง', 'น่าน')","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']","['VC2Q+H7F, ALRO. Nan 46901 Rd, Tambon Suat, Amphoe Ban Luang, Chang Wat Nan 55190, Thailand']",66.5 km,1 hour 10 mins
37,เวียงสา,"('เวียงสา', 'น่าน')",นาน้อย,"('นาน้อย', 'น่าน')","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']","['8PG7+7RX, Na Noi, Na Noi District, Nan 55150, Thailand']",39.3 km,41 mins
38,เวียงสา,"('เวียงสา', 'น่าน')",ภูเพียง,"('ภูเพียง', 'น่าน')","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']","['PQVX+3M5, Tha Nao, Phu Phiang District, Nan 55000, Thailand']",23.8 km,26 mins
39,เวียงสา,"('เวียงสา', 'น่าน')",บ้านโคก,"('บ้านโคก', 'อุตรดิตถ์')","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']","['23G9+558, Ban Khok, Ban Khok District, Uttaradit 53180, Thailand']",131 km,2 hours 27 mins
40,เวียงสา,"('เวียงสา', 'น่าน')",ร้องกวาง,"('ร้องกวาง', 'แพร่')","['HPXR+63R, Klang Wiang, Wiang Sa District, Nan 55110, Thailand']","['88Q8+VXV, Rong Kwang, Rong Kwang District, Phrae 54140, Thailand']",66.1 km,56 mins
41,ทุ่งช้าง,"('ทุ่งช้าง', 'น่าน')",ปัว,"('ปัว', 'น่าน')","['9VPG+R8W, Thung Chang, Thung Chang District, Nan 55130, Thailand']","['5WF8+JMJ, Pua, Pua District, Nan 55120, Thailand']",32.7 km,33 mins
42,ทุ่งช้าง,"('ทุ่งช้าง', 'น่าน')",เชียงกลาง,"('เชียงกลาง', 'น่าน')","['9VPG+R8W, Thung Chang, Thung Chang District, Nan 55130, Thailand']","['73-73/1 Moo 11, Highway 1080 Road, Tambon Chiang Klang, Amphoe Chiang Klang, Nan, 55160, ตำบล เชียงกลาง อำเภอ เชียงกลาง น่าน 55160, Thailand']",16.1 km,17 mins
