,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองพะเยา,"('เมืองพะเยา', 'พะเยา')",ดอกคำใต้,"('ดอกคำใต้', 'พะเยา')","['99 หมู่ 12, ตำบลจําป่าหวาย อำเภอเมือง จังหวัดพะเยา, 56000 Tambon Ban Tom, Amphoe Mueang Phayao, Chang Wat Phayao 56000, Thailand']","['อาคารที่ว่าการอำเภอดอกคำใต้, ถนนพะเยา-เชียงคำ, ตำบลดอกคำใต้ อำเภอดอกคำใต้ จังหวัดพะเยา, 56120 Tambon Don Si Chum, Amphoe Dok Khamtai, Chang Wat Phayao 56120, Thailand']",18.0 km,24 mins
1,เมืองพะเยา,"('เมืองพะเยา', 'พะเยา')",แม่ใจ,"('แม่ใจ', 'พะเยา')","['99 หมู่ 12, ตำบลจําป่าหวาย อำเภอเมือง จังหวัดพะเยา, 56000 Tambon Ban Tom, Amphoe Mueang Phayao, Chang Wat Phayao 56000, Thailand']","['9QGQ+G3, Si Thoi, Mae Chai District, Phayao 56130, Thailand']",24.1 km,22 mins
2,เมืองพะเยา,"('เมืองพะเยา', 'พะเยา')",ภูกามยาว,"('ภูกามยาว', 'พะเยา')","['99 หมู่ 12, ตำบลจําป่าหวาย อำเภอเมือง จังหวัดพะเยา, 56000 Tambon Ban Tom, Amphoe Mueang Phayao, Chang Wat Phayao 56000, Thailand']","['Highway 4010 , PA Sak , 56110 Phu Sang , Phayao, ตำบล ป่าสัก อำเภอ ภูซาง พะเยา 56110, Thailand']",83.8 km,1 hour 25 mins
3,เมืองพะเยา,"('เมืองพะเยา', 'พะเยา')",พาน,"('พาน', 'เชียงราย')","['99 หมู่ 12, ตำบลจําป่าหวาย อำเภอเมือง จังหวัดพะเยา, 56000 Tambon Ban Tom, Amphoe Mueang Phayao, Chang Wat Phayao 56000, Thailand']","['Soi Thetsaban 2 , Mueang Phan , 57120 Phan , Chiang Rai, ตำบล เมืองพาน อำเภอ พาน เชียงราย 57120, Thailand']",44.7 km,40 mins
4,เมืองพะเยา,"('เมืองพะเยา', 'พะเยา')",ป่าแดด,"('ป่าแดด', 'เชียงราย')","['99 หมู่ 12, ตำบลจําป่าหวาย อำเภอเมือง จังหวัดพะเยา, 56000 Tambon Ban Tom, Amphoe Mueang Phayao, Chang Wat Phayao 56000, Thailand']","['GX3R+JVR, Pa Daet, Pa Daet District, Chiang Rai 57190, Thailand']",50.6 km,54 mins
5,เมืองพะเยา,"('เมืองพะเยา', 'พะเยา')",งาว,"('งาว', 'ลำปาง')","['99 หมู่ 12, ตำบลจําป่าหวาย อำเภอเมือง จังหวัดพะเยา, 56000 Tambon Ban Tom, Amphoe Mueang Phayao, Chang Wat Phayao 56000, Thailand']","['QXHC+59J, Na Kae, Ngao District, Lampang 52110, Thailand']",53.2 km,51 mins
6,เมืองพะเยา,"('เมืองพะเยา', 'พะเยา')",วังเหนือ,"('วังเหนือ', 'ลำปาง')","['99 หมู่ 12, ตำบลจําป่าหวาย อำเภอเมือง จังหวัดพะเยา, 56000 Tambon Ban Tom, Amphoe Mueang Phayao, Chang Wat Phayao 56000, Thailand']","['685 ซอย ขุนวัง 5 Tambon Wang Nuea, Amphoe Wang Nuea, Chang Wat Lampang 52140, Thailand']",58.7 km,1 hour 0 mins
7,จุน,"('จุน', 'พะเยา')",เชียงคำ,"('เชียงคำ', 'พะเยา')","['361 หมู่ 1, ตำบลห้วยข้าวก่ำ อำเภอจุน จังหวัดพะเยา, 56150 Tambon Huai Khao Kam, Amphoe Chun, Chang Wat Phayao 56150, Thailand']","['309 Tanarak 2 Alley, Tambon Yuan, Amphoe Chiang Kham, Chang Wat Phayao 56110, Thailand']",29.9 km,29 mins
8,จุน,"('จุน', 'พะเยา')",ดอกคำใต้,"('ดอกคำใต้', 'พะเยา')","['361 หมู่ 1, ตำบลห้วยข้าวก่ำ อำเภอจุน จังหวัดพะเยา, 56150 Tambon Huai Khao Kam, Amphoe Chun, Chang Wat Phayao 56150, Thailand']","['อาคารที่ว่าการอำเภอดอกคำใต้, ถนนพะเยา-เชียงคำ, ตำบลดอกคำใต้ อำเภอดอกคำใต้ จังหวัดพะเยา, 56120 Tambon Don Si Chum, Amphoe Dok Khamtai, Chang Wat Phayao 56120, Thailand']",35.6 km,33 mins
9,จุน,"('จุน', 'พะเยา')",ปง,"('ปง', 'พะเยา')","['361 หมู่ 1, ตำบลห้วยข้าวก่ำ อำเภอจุน จังหวัดพะเยา, 56150 Tambon Huai Khao Kam, Amphoe Chun, Chang Wat Phayao 56150, Thailand']","['56 หมู่ 3, ตำบลปง อำเภอปง จังหวัดพะเยา, 56140 Tambon Pong, Amphoe Pong, Chang Wat Phayao 56140, Thailand']",30.7 km,30 mins
