,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองนครสวรรค์,"('เมืองนครสวรรค์', 'นครสวรรค์')",โกรกพระ,"('โกรกพระ', 'นครสวรรค์')","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']","['2 หมู่ 6, ถนนสุขาภิบาล 1, ตำบลโกรกพระ อำเภอโกรกพระ จังหวัดนครสวรรค์, 60170 Tambon Krok Phra, Amphoe Krok Phra, Chang Wat Nakhon Sawan 60170, Thailand']",21.4 km,29 mins
1,เมืองนครสวรรค์,"('เมืองนครสวรรค์', 'นครสวรรค์')",ชุมแสง,"('ชุมแสง', 'นครสวรรค์')","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']","['20/4, Saeng Manee Rd., Chum Saeng Chum Saeng Nakhon Sawan, 60120, ตำบล เกยไชย อำเภอ ชุมแสง นครสวรรค์ 60120, Thailand']",36.2 km,42 mins
2,เมืองนครสวรรค์,"('เมืองนครสวรรค์', 'นครสวรรค์')",บรรพตพิสัย,"('บรรพตพิสัย', 'นครสวรรค์')","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']","['WXPJ+CV5, Tha Ngio, Banphot Phisai District, Nakhon Sawan 60180, Thailand']",37.0 km,43 mins
3,เมืองนครสวรรค์,"('เมืองนครสวรรค์', 'นครสวรรค์')",เก้าเลี้ยว,"('เก้าเลี้ยว', 'นครสวรรค์')","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']","['V32H+4C, Kao Liao, Kao Liao District, Nakhon Sawan 60230, Thailand']",22.5 km,28 mins
4,เมืองนครสวรรค์,"('เมืองนครสวรรค์', 'นครสวรรค์')",ท่าตะโก,"('ท่าตะโก', 'นครสวรรค์')","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']","['JFRM+745, Tha Tako, Tha Tako District, Nakhon Sawan 60160, Thailand']",49.8 km,51 mins
5,เมืองนครสวรรค์,"('เมืองนครสวรรค์', 'นครสวรรค์')",พยุหะคีรี,"('พยุหะคีรี', 'นครสวรรค์')","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']","['F4PQ+VXJ, Yan Matsi, Phayuha Khiri District, Nakhon Sawan 60130, Thailand']",27.4 km,30 mins
6,เมืองนครสวรรค์,"('เมืองนครสวรรค์', 'นครสวรรค์')",ลาดยาว,"('ลาดยาว', 'นครสวรรค์')","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']","['QQ2Q+PQF, Lat Yao, Lat Yao District, Nakhon Sawan 60150, Thailand']",41.2 km,42 mins
7,เมืองนครสวรรค์,"('เมืองนครสวรรค์', 'นครสวรรค์')",สว่างอารมณ์,"('สว่างอารมณ์', 'อุทัยธานี')","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']","['HVM6+H93, Sawang Arom, Sawang Arom District, Uthai Thani 61150, Thailand']",52.5 km,55 mins
8,โกรกพระ,"('โกรกพระ', 'นครสวรรค์')",เมืองนครสวรรค์,"('เมืองนครสวรรค์', 'นครสวรรค์')","['2 หมู่ 6, ถนนสุขาภิบาล 1, ตำบลโกรกพระ อำเภอโกรกพระ จังหวัดนครสวรรค์, 60170 Tambon Krok Phra, Amphoe Krok Phra, Chang Wat Nakhon Sawan 60170, Thailand']","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']",21.6 km,28 mins
9,โกรกพระ,"('โกรกพระ', 'นครสวรรค์')",พยุหะคีรี,"('พยุหะคีรี', 'นครสวรรค์')","['2 หมู่ 6, ถนนสุขาภิบาล 1, ตำบลโกรกพระ อำเภอโกรกพระ จังหวัดนครสวรรค์, 60170 Tambon Krok Phra, Amphoe Krok Phra, Chang Wat Nakhon Sawan 60170, Thailand']","['F4PQ+VXJ, Yan Matsi, Phayuha Khiri District, Nakhon Sawan 60130, Thailand']",15.3 km,19 mins
