,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองอุทัยธานี,"('เมืองอุทัยธานี', 'อุทัยธานี')",เมืองชัยนาท,"('เมืองชัยนาท', 'ชัยนาท')","['Tha Chang Road , Uthai Mai , 61000 Mueang Uthai Thani , Uthai Thani, ตำบล อุทัยใหม่ อำเภอเมืองอุทัยธานี อุทัยธานี 61000, Thailand']","['328/9 ถนนลูกเสือ 2 Tambon Nai Muang, Amphoe Mueang Chai Nat, Chang Wat Chai Nat 17000, Thailand']",29.1 km,31 mins
1,เมืองอุทัยธานี,"('เมืองอุทัยธานี', 'อุทัยธานี')",มโนรมย์,"('มโนรมย์', 'ชัยนาท')","['Tha Chang Road , Uthai Mai , 61000 Mueang Uthai Thani , Uthai Thani, ตำบล อุทัยใหม่ อำเภอเมืองอุทัยธานี อุทัยธานี 61000, Thailand']","['20 Klong Nang Lao Alley, Tambon Khung Samphao, Amphoe Manorom, Chang Wat Chai Nat 17110, Thailand']",15.1 km,18 mins
2,เมืองอุทัยธานี,"('เมืองอุทัยธานี', 'อุทัยธานี')",วัดสิงห์,"('วัดสิงห์', 'ชัยนาท')","['Tha Chang Road , Uthai Mai , 61000 Mueang Uthai Thani , Uthai Thani, ตำบล อุทัยใหม่ อำเภอเมืองอุทัยธานี อุทัยธานี 61000, Thailand']","['724Q+463, Makham Thao, Wat Sing District, Chai Nat 17120, Thailand']",15.3 km,19 mins
3,เมืองอุทัยธานี,"('เมืองอุทัยธานี', 'อุทัยธานี')",โกรกพระ,"('โกรกพระ', 'นครสวรรค์')","['Tha Chang Road , Uthai Mai , 61000 Mueang Uthai Thani , Uthai Thani, ตำบล อุทัยใหม่ อำเภอเมืองอุทัยธานี อุทัยธานี 61000, Thailand']","['2 หมู่ 6, ถนนสุขาภิบาล 1, ตำบลโกรกพระ อำเภอโกรกพระ จังหวัดนครสวรรค์, 60170 Tambon Krok Phra, Amphoe Krok Phra, Chang Wat Nakhon Sawan 60170, Thailand']",24.0 km,25 mins
4,เมืองอุทัยธานี,"('เมืองอุทัยธานี', 'อุทัยธานี')",พยุหะคีรี,"('พยุหะคีรี', 'นครสวรรค์')","['Tha Chang Road , Uthai Mai , 61000 Mueang Uthai Thani , Uthai Thani, ตำบล อุทัยใหม่ อำเภอเมืองอุทัยธานี อุทัยธานี 61000, Thailand']","['F4PQ+VXJ, Yan Matsi, Phayuha Khiri District, Nakhon Sawan 60130, Thailand']",24.0 km,24 mins
5,เมืองอุทัยธานี,"('เมืองอุทัยธานี', 'อุทัยธานี')",ทัพทัน,"('ทัพทัน', 'อุทัยธานี')","['Tha Chang Road , Uthai Mai , 61000 Mueang Uthai Thani , Uthai Thani, ตำบล อุทัยใหม่ อำเภอเมืองอุทัยธานี อุทัยธานี 61000, Thailand']","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']",19.8 km,21 mins
6,เมืองอุทัยธานี,"('เมืองอุทัยธานี', 'อุทัยธานี')",หนองขาหย่าง,"('หนองขาหย่าง', 'อุทัยธานี')","['Tha Chang Road , Uthai Mai , 61000 Mueang Uthai Thani , Uthai Thani, ตำบล อุทัยใหม่ อำเภอเมืองอุทัยธานี อุทัยธานี 61000, Thailand']","['9W7H+JM5, Nong Phai, Nong Khayang District, Uthai Thani 61130, Thailand']",11.8 km,13 mins
7,ทัพทัน,"('ทัพทัน', 'อุทัยธานี')",โกรกพระ,"('โกรกพระ', 'นครสวรรค์')","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']","['2 หมู่ 6, ถนนสุขาภิบาล 1, ตำบลโกรกพระ อำเภอโกรกพระ จังหวัดนครสวรรค์, 60170 Tambon Krok Phra, Amphoe Krok Phra, Chang Wat Nakhon Sawan 60170, Thailand']",26.0 km,26 mins
8,ทัพทัน,"('ทัพทัน', 'อุทัยธานี')",ลาดยาว,"('ลาดยาว', 'นครสวรรค์')","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']","['QQ2Q+PQF, Lat Yao, Lat Yao District, Nakhon Sawan 60150, Thailand']",37.0 km,34 mins
9,ทัพทัน,"('ทัพทัน', 'อุทัยธานี')",เมืองอุทัยธานี,"('เมืองอุทัยธานี', 'อุทัยธานี')","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']","['Tha Chang Road , Uthai Mai , 61000 Mueang Uthai Thani , Uthai Thani, ตำบล อุทัยใหม่ อำเภอเมืองอุทัยธานี อุทัยธานี 61000, Thailand']",19.8 km,22 mins
10,ทัพทัน,"('ทัพทัน', 'อุทัยธานี')",สว่างอารมณ์,"('สว่างอารมณ์', 'อุทัยธานี')","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']","['HVM6+H93, Sawang Arom, Sawang Arom District, Uthai Thani 61150, Thailand']",14.8 km,15 mins
11,ทัพทัน,"('ทัพทัน', 'อุทัยธานี')",หนองฉาง,"('หนองฉาง', 'อุทัยธานี')","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']","['หมู่ 5, อาคารที่ว่าการอำเภอหนองฉาง, ตำบลหนองฉาง อำเภอหนองฉาง จังหวัดอุทัยธานี, 61110 หนองฉาง Tambon Nong Suang, Amphoe Nong Chang, Chang Wat Uthai Thani 61110, Thailand']",10.1 km,11 mins
12,ทัพทัน,"('ทัพทัน', 'อุทัยธานี')",หนองขาหย่าง,"('หนองขาหย่าง', 'อุทัยธานี')","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']","['9W7H+JM5, Nong Phai, Nong Khayang District, Uthai Thani 61130, Thailand']",20.4 km,19 mins
13,ทัพทัน,"('ทัพทัน', 'อุทัยธานี')",ลานสัก,"('ลานสัก', 'อุทัยธานี')","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']","['อาคารที่ว่าการอำเภอลานสัก, ตำบลลานสัก อำเภอลานสัก จังหวัดอุทัยธานี, 61160 Tambon Lan Sak, Amphoe Lan Sak, Chang Wat Uthai Thani 61160, Thailand']",37.5 km,37 mins
14,สว่างอารมณ์,"('สว่างอารมณ์', 'อุทัยธานี')",เมืองนครสวรรค์,"('เมืองนครสวรรค์', 'นครสวรรค์')","['HVM6+H93, Sawang Arom, Sawang Arom District, Uthai Thani 61150, Thailand']","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']",52.9 km,55 mins
15,สว่างอารมณ์,"('สว่างอารมณ์', 'อุทัยธานี')",โกรกพระ,"('โกรกพระ', 'นครสวรรค์')","['HVM6+H93, Sawang Arom, Sawang Arom District, Uthai Thani 61150, Thailand']","['2 หมู่ 6, ถนนสุขาภิบาล 1, ตำบลโกรกพระ อำเภอโกรกพระ จังหวัดนครสวรรค์, 60170 Tambon Krok Phra, Amphoe Krok Phra, Chang Wat Nakhon Sawan 60170, Thailand']",32.4 km,31 mins
16,สว่างอารมณ์,"('สว่างอารมณ์', 'อุทัยธานี')",ลาดยาว,"('ลาดยาว', 'นครสวรรค์')","['HVM6+H93, Sawang Arom, Sawang Arom District, Uthai Thani 61150, Thailand']","['QQ2Q+PQF, Lat Yao, Lat Yao District, Nakhon Sawan 60150, Thailand']",22.4 km,21 mins
17,สว่างอารมณ์,"('สว่างอารมณ์', 'อุทัยธานี')",ชุมตาบง,"('ชุมตาบง', 'นครสวรรค์')","['HVM6+H93, Sawang Arom, Sawang Arom District, Uthai Thani 61150, Thailand']","['80 Khrongkan Ban Thung Faek Mu 5 Rd, Tambon Chum Ta Bong, Amphoe Chum Ta Bong, Chang Wat Nakhon Sawan 60150, Thailand']",42.3 km,40 mins
18,สว่างอารมณ์,"('สว่างอารมณ์', 'อุทัยธานี')",ทัพทัน,"('ทัพทัน', 'อุทัยธานี')","['HVM6+H93, Sawang Arom, Sawang Arom District, Uthai Thani 61150, Thailand']","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']",14.9 km,15 mins
19,สว่างอารมณ์,"('สว่างอารมณ์', 'อุทัยธานี')",ลานสัก,"('ลานสัก', 'อุทัยธานี')","['HVM6+H93, Sawang Arom, Sawang Arom District, Uthai Thani 61150, Thailand']","['อาคารที่ว่าการอำเภอลานสัก, ตำบลลานสัก อำเภอลานสัก จังหวัดอุทัยธานี, 61160 Tambon Lan Sak, Amphoe Lan Sak, Chang Wat Uthai Thani 61160, Thailand']",52.3 km,48 mins
20,หนองฉาง,"('หนองฉาง', 'อุทัยธานี')",หนองมะโมง,"('หนองมะโมง', 'ชัยนาท')","['หมู่ 5, อาคารที่ว่าการอำเภอหนองฉาง, ตำบลหนองฉาง อำเภอหนองฉาง จังหวัดอุทัยธานี, 61110 หนองฉาง Tambon Nong Suang, Amphoe Nong Chang, Chang Wat Uthai Thani 61110, Thailand']","['หมู่ 1, อาคารที่ว่าการอำเภอหนองมะโมง, ตำบลหนองมะโมง อำเภอหนองมะโมง จังหวัดชัยนาท, 17100 Tambon Nong Mamong, Amphoe Nong Mamong, Chang Wat Chai Nat 17120, Thailand']",19.6 km,26 mins
21,หนองฉาง,"('หนองฉาง', 'อุทัยธานี')",ทัพทัน,"('ทัพทัน', 'อุทัยธานี')","['หมู่ 5, อาคารที่ว่าการอำเภอหนองฉาง, ตำบลหนองฉาง อำเภอหนองฉาง จังหวัดอุทัยธานี, 61110 หนองฉาง Tambon Nong Suang, Amphoe Nong Chang, Chang Wat Uthai Thani 61110, Thailand']","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']",10.0 km,10 mins
22,หนองฉาง,"('หนองฉาง', 'อุทัยธานี')",หนองขาหย่าง,"('หนองขาหย่าง', 'อุทัยธานี')","['หมู่ 5, อาคารที่ว่าการอำเภอหนองฉาง, ตำบลหนองฉาง อำเภอหนองฉาง จังหวัดอุทัยธานี, 61110 หนองฉาง Tambon Nong Suang, Amphoe Nong Chang, Chang Wat Uthai Thani 61110, Thailand']","['9W7H+JM5, Nong Phai, Nong Khayang District, Uthai Thani 61130, Thailand']",10.6 km,10 mins
23,หนองฉาง,"('หนองฉาง', 'อุทัยธานี')",บ้านไร่,"('บ้านไร่', 'อุทัยธานี')","['หมู่ 5, อาคารที่ว่าการอำเภอหนองฉาง, ตำบลหนองฉาง อำเภอหนองฉาง จังหวัดอุทัยธานี, 61110 หนองฉาง Tambon Nong Suang, Amphoe Nong Chang, Chang Wat Uthai Thani 61110, Thailand']","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']",58.5 km,55 mins
24,หนองฉาง,"('หนองฉาง', 'อุทัยธานี')",ลานสัก,"('ลานสัก', 'อุทัยธานี')","['หมู่ 5, อาคารที่ว่าการอำเภอหนองฉาง, ตำบลหนองฉาง อำเภอหนองฉาง จังหวัดอุทัยธานี, 61110 หนองฉาง Tambon Nong Suang, Amphoe Nong Chang, Chang Wat Uthai Thani 61110, Thailand']","['อาคารที่ว่าการอำเภอลานสัก, ตำบลลานสัก อำเภอลานสัก จังหวัดอุทัยธานี, 61160 Tambon Lan Sak, Amphoe Lan Sak, Chang Wat Uthai Thani 61160, Thailand']",32.3 km,31 mins
25,หนองฉาง,"('หนองฉาง', 'อุทัยธานี')",ห้วยคต,"('ห้วยคต', 'อุทัยธานี')","['หมู่ 5, อาคารที่ว่าการอำเภอหนองฉาง, ตำบลหนองฉาง อำเภอหนองฉาง จังหวัดอุทัยธานี, 61110 หนองฉาง Tambon Nong Suang, Amphoe Nong Chang, Chang Wat Uthai Thani 61110, Thailand']","['หมู่ 3, อาคารที่ว่าการอำเภอห้วยคต, ตำบลห้วยคต อำเภอห้วยคต จังหวัดอุทัยธานี, 61170 Tambon Huai Khot, Amphoe Huai Khot, Chang Wat Uthai Thani 61170, Thailand']",29.8 km,31 mins
26,หนองขาหย่าง,"('หนองขาหย่าง', 'อุทัยธานี')",หนองมะโมง,"('หนองมะโมง', 'ชัยนาท')","['9W7H+JM5, Nong Phai, Nong Khayang District, Uthai Thani 61130, Thailand']","['หมู่ 1, อาคารที่ว่าการอำเภอหนองมะโมง, ตำบลหนองมะโมง อำเภอหนองมะโมง จังหวัดชัยนาท, 17100 Tambon Nong Mamong, Amphoe Nong Mamong, Chang Wat Chai Nat 17120, Thailand']",16.5 km,21 mins
27,หนองขาหย่าง,"('หนองขาหย่าง', 'อุทัยธานี')",เมืองชัยนาท,"('เมืองชัยนาท', 'ชัยนาท')","['9W7H+JM5, Nong Phai, Nong Khayang District, Uthai Thani 61130, Thailand']","['328/9 ถนนลูกเสือ 2 Tambon Nai Muang, Amphoe Mueang Chai Nat, Chang Wat Chai Nat 17000, Thailand']",38.9 km,39 mins
28,หนองขาหย่าง,"('หนองขาหย่าง', 'อุทัยธานี')",มโนรมย์,"('มโนรมย์', 'ชัยนาท')","['9W7H+JM5, Nong Phai, Nong Khayang District, Uthai Thani 61130, Thailand']","['20 Klong Nang Lao Alley, Tambon Khung Samphao, Amphoe Manorom, Chang Wat Chai Nat 17110, Thailand']",25.0 km,26 mins
29,หนองขาหย่าง,"('หนองขาหย่าง', 'อุทัยธานี')",วัดสิงห์,"('วัดสิงห์', 'ชัยนาท')","['9W7H+JM5, Nong Phai, Nong Khayang District, Uthai Thani 61130, Thailand']","['724Q+463, Makham Thao, Wat Sing District, Chai Nat 17120, Thailand']",24.4 km,26 mins
30,หนองขาหย่าง,"('หนองขาหย่าง', 'อุทัยธานี')",เมืองอุทัยธานี,"('เมืองอุทัยธานี', 'อุทัยธานี')","['9W7H+JM5, Nong Phai, Nong Khayang District, Uthai Thani 61130, Thailand']","['Tha Chang Road , Uthai Mai , 61000 Mueang Uthai Thani , Uthai Thani, ตำบล อุทัยใหม่ อำเภอเมืองอุทัยธานี อุทัยธานี 61000, Thailand']",11.2 km,12 mins
31,หนองขาหย่าง,"('หนองขาหย่าง', 'อุทัยธานี')",ทัพทัน,"('ทัพทัน', 'อุทัยธานี')","['9W7H+JM5, Nong Phai, Nong Khayang District, Uthai Thani 61130, Thailand']","['300 หมู่ 1, ตำบลทัพทัน อำเภอทัพทัน จังหวัดอุทัยธานี, 61120 Tambon Thap Than, Amphoe Thap Than, Chang Wat Uthai Thani 61120, Thailand']",15.8 km,18 mins
32,หนองขาหย่าง,"('หนองขาหย่าง', 'อุทัยธานี')",หนองฉาง,"('หนองฉาง', 'อุทัยธานี')","['9W7H+JM5, Nong Phai, Nong Khayang District, Uthai Thani 61130, Thailand']","['หมู่ 5, อาคารที่ว่าการอำเภอหนองฉาง, ตำบลหนองฉาง อำเภอหนองฉาง จังหวัดอุทัยธานี, 61110 หนองฉาง Tambon Nong Suang, Amphoe Nong Chang, Chang Wat Uthai Thani 61110, Thailand']",11.8 km,11 mins
33,บ้านไร่,"('บ้านไร่', 'อุทัยธานี')",หันคา,"('หันคา', 'ชัยนาท')","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']","['X2J7+FW3, Hankha, Hankha District, Chai Nat 17130, Thailand']",66.1 km,1 hour 2 mins
34,บ้านไร่,"('บ้านไร่', 'อุทัยธานี')",หนองมะโมง,"('หนองมะโมง', 'ชัยนาท')","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']","['หมู่ 1, อาคารที่ว่าการอำเภอหนองมะโมง, ตำบลหนองมะโมง อำเภอหนองมะโมง จังหวัดชัยนาท, 17100 Tambon Nong Mamong, Amphoe Nong Mamong, Chang Wat Chai Nat 17120, Thailand']",54.3 km,52 mins
35,บ้านไร่,"('บ้านไร่', 'อุทัยธานี')",เนินขาม,"('เนินขาม', 'ชัยนาท')","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']","['XW66+RMP, Noen Kham, Noen Kham District, Chai Nat 17130, Thailand']",54.3 km,49 mins
36,บ้านไร่,"('บ้านไร่', 'อุทัยธานี')",วัดสิงห์,"('วัดสิงห์', 'ชัยนาท')","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']","['724Q+463, Makham Thao, Wat Sing District, Chai Nat 17120, Thailand']",68.2 km,1 hour 3 mins
37,บ้านไร่,"('บ้านไร่', 'อุทัยธานี')",แม่วงก์,"('แม่วงก์', 'นครสวรรค์')","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']","['Moo 21, Mo Chang Ngam, Tambon Mae Le, Amphoe Mae Wong, Nakhon Sawan, 60150, ตำบล แม่วงก์ อำเภอแม่วงก์ นครสวรรค์ 60150, Thailand']",95.3 km,1 hour 29 mins
38,บ้านไร่,"('บ้านไร่', 'อุทัยธานี')",แม่เปิน,"('แม่เปิน', 'นครสวรรค์')","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']","['MF59+3M6, Mae Poen, Mae Poen District, Nakhon Sawan 60150, Thailand']",89.1 km,1 hour 26 mins
39,บ้านไร่,"('บ้านไร่', 'อุทัยธานี')",หนองฉาง,"('หนองฉาง', 'อุทัยธานี')","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']","['หมู่ 5, อาคารที่ว่าการอำเภอหนองฉาง, ตำบลหนองฉาง อำเภอหนองฉาง จังหวัดอุทัยธานี, 61110 หนองฉาง Tambon Nong Suang, Amphoe Nong Chang, Chang Wat Uthai Thani 61110, Thailand']",58.5 km,55 mins
40,บ้านไร่,"('บ้านไร่', 'อุทัยธานี')",ลานสัก,"('ลานสัก', 'อุทัยธานี')","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']","['อาคารที่ว่าการอำเภอลานสัก, ตำบลลานสัก อำเภอลานสัก จังหวัดอุทัยธานี, 61160 Tambon Lan Sak, Amphoe Lan Sak, Chang Wat Uthai Thani 61160, Thailand']",53.5 km,53 mins
41,บ้านไร่,"('บ้านไร่', 'อุทัยธานี')",ห้วยคต,"('ห้วยคต', 'อุทัยธานี')","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']","['หมู่ 3, อาคารที่ว่าการอำเภอห้วยคต, ตำบลห้วยคต อำเภอห้วยคต จังหวัดอุทัยธานี, 61170 Tambon Huai Khot, Amphoe Huai Khot, Chang Wat Uthai Thani 61170, Thailand']",32.2 km,37 mins
