,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองตาก,"('เมืองตาก', 'ตาก')",พรานกระต่าย,"('พรานกระต่าย', 'กำแพงเพชร')","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']","['5, Tambon Phran Kratai, Amphoe Phran Kratai, Chang Wat Kamphaeng Phet 62110, Thailand']",68.3 km,1 hour 0 mins
1,เมืองตาก,"('เมืองตาก', 'ตาก')",โกสัมพีนคร,"('โกสัมพีนคร', 'กำแพงเพชร')","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']","['J8MX+9X7, Kosamphi, Kosamphi Nakhon District, Kamphaeng Phet 62000, Thailand']",43.4 km,37 mins
2,เมืองตาก,"('เมืองตาก', 'ตาก')",บ้านด่านลานหอย,"('บ้านด่านลานหอย', 'สุโขทัย')","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']","['อาคารที่ว่าการอำเภอบ้านด่านลานหอย, ถนนจรดวิถีถ่อง, ตำบลลานหอย อำเภอบ้านด่านลานหอย จังหวัดสุโขทัย, 64140 Tambon Lan Hoi, Amphoe Ban Dan Lan Hoi, Chang Wat Sukhothai 64140, Thailand']",53.6 km,42 mins
3,เมืองตาก,"('เมืองตาก', 'ตาก')",เถิน,"('เถิน', 'ลำปาง')","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']","['J6RR+8MC, Mae Pa, Thoen District, Lampang 52160, Thailand']",97.8 km,1 hour 13 mins
4,เมืองตาก,"('เมืองตาก', 'ตาก')",บ้านตาก,"('บ้านตาก', 'ตาก')","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']","['23VH+9JG, Tak Ok, Ban Tak District, Tak 63120, Thailand']",21.4 km,18 mins
5,เมืองตาก,"('เมืองตาก', 'ตาก')",สามเงา,"('สามเงา', 'ตาก')","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']","['Tak 6015 Rural Road , Sam Ngao , 63120 Sam Ngao , Tak, ตำบล สามเงา อำเภอสามเงา ตาก 63130, Thailand']",51.9 km,41 mins
6,เมืองตาก,"('เมืองตาก', 'ตาก')",แม่ระมาด,"('แม่ระมาด', 'ตาก')","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอแม่ระมาด, ตำบลแม่ระมาด อำเภอแม่ระมาด จังหวัดตาก, 63140 Tambon Mae Ramat, Amphoe Mae Ramat, Chang Wat Tak 63140, Thailand']",115 km,1 hour 54 mins
7,เมืองตาก,"('เมืองตาก', 'ตาก')",แม่สอด,"('แม่สอด', 'ตาก')","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']","['แผนกปกครอง Prasatwithi Rd, Tambon Mae Sot, Amphoe Mae Sot, Chang Wat Tak 63110, Thailand']",86.4 km,1 hour 32 mins
8,เมืองตาก,"('เมืองตาก', 'ตาก')",พบพระ,"('พบพระ', 'ตาก')","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']","['9MMR+W4J, Phop Phra, Phop Phra District, Tak 63160, Thailand']",130 km,2 hours 10 mins
9,เมืองตาก,"('เมืองตาก', 'ตาก')",วังเจ้า,"('วังเจ้า', 'ตาก')","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']","['222 Phahonyothin Rd, Tambon Chiang Thong, Amphoe Wang Chao, Chang Wat Tak 63000, Thailand']",31.8 km,29 mins
10,บ้านตาก,"('บ้านตาก', 'ตาก')",บ้านด่านลานหอย,"('บ้านด่านลานหอย', 'สุโขทัย')","['23VH+9JG, Tak Ok, Ban Tak District, Tak 63120, Thailand']","['อาคารที่ว่าการอำเภอบ้านด่านลานหอย, ถนนจรดวิถีถ่อง, ตำบลลานหอย อำเภอบ้านด่านลานหอย จังหวัดสุโขทัย, 64140 Tambon Lan Hoi, Amphoe Ban Dan Lan Hoi, Chang Wat Sukhothai 64140, Thailand']",73.2 km,56 mins
11,บ้านตาก,"('บ้านตาก', 'ตาก')",แม่พริก,"('แม่พริก', 'ลำปาง')","['23VH+9JG, Tak Ok, Ban Tak District, Tak 63120, Thailand']","['C5W5+GR8, Phrabat Wang Tuang, Mae Phrik District, Lampang 52230, Thailand']",50.9 km,38 mins
12,บ้านตาก,"('บ้านตาก', 'ตาก')",เถิน,"('เถิน', 'ลำปาง')","['23VH+9JG, Tak Ok, Ban Tak District, Tak 63120, Thailand']","['J6RR+8MC, Mae Pa, Thoen District, Lampang 52160, Thailand']",76.8 km,58 mins
13,บ้านตาก,"('บ้านตาก', 'ตาก')",เมืองตาก,"('เมืองตาก', 'ตาก')","['23VH+9JG, Tak Ok, Ban Tak District, Tak 63120, Thailand']","['V4JF+HF3, Nong Luang, Mueang Tak District, Tak 63000, Thailand']",21.8 km,20 mins
14,บ้านตาก,"('บ้านตาก', 'ตาก')",สามเงา,"('สามเงา', 'ตาก')","['23VH+9JG, Tak Ok, Ban Tak District, Tak 63120, Thailand']","['Tak 6015 Rural Road , Sam Ngao , 63120 Sam Ngao , Tak, ตำบล สามเงา อำเภอสามเงา ตาก 63130, Thailand']",30.9 km,25 mins
15,บ้านตาก,"('บ้านตาก', 'ตาก')",แม่ระมาด,"('แม่ระมาด', 'ตาก')","['23VH+9JG, Tak Ok, Ban Tak District, Tak 63120, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอแม่ระมาด, ตำบลแม่ระมาด อำเภอแม่ระมาด จังหวัดตาก, 63140 Tambon Mae Ramat, Amphoe Mae Ramat, Chang Wat Tak 63140, Thailand']",94.4 km,1 hour 50 mins
