,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,ศรีนคร,"('ศรีนคร', 'สุโขทัย')",ศรีสัชนาลัย,"('ศรีสัชนาลัย', 'สุโขทัย')","['8XXR+85V, Si Nakhon, Si Nakhon District, Sukhothai 64180, Thailand']","['11430 Soi Thetsaban 3, Tambon Hat Siao, Amphoe Si Satchanalai, Chang Wat Sukhothai 64130, Thailand']",43.0 km,42 mins
1,ศรีนคร,"('ศรีนคร', 'สุโขทัย')",สวรรคโลก,"('สวรรคโลก', 'สุโขทัย')","['8XXR+85V, Si Nakhon, Si Nakhon District, Sukhothai 64180, Thailand']","['อาคารที่ว่าการอำเภอสวรรคโลก, ถนนหน้าเมือง, ตำบลเมืองสวรรคโลก อำเภอสวรรคโลก จังหวัดสุโขทัย, 64110 Tambon Mueang Sawankhalok, Amphoe Sawankhalok, Chang Wat Sukhothai 64110, Thailand']",18.9 km,21 mins
2,ศรีนคร,"('ศรีนคร', 'สุโขทัย')",ตรอน,"('ตรอน', 'อุตรดิตถ์')","['8XXR+85V, Si Nakhon, Si Nakhon District, Sukhothai 64180, Thailand']","['F4J7+V4R, Wang Daeng, Tron District, Uttaradit 53140, Thailand']",24.2 km,24 mins
3,ศรีนคร,"('ศรีนคร', 'สุโขทัย')",พิชัย,"('พิชัย', 'อุตรดิตถ์')","['8XXR+85V, Si Nakhon, Si Nakhon District, Sukhothai 64180, Thailand']","['73PP+RX9, Chai Bumrung Rd, Tambon Nai Mueang, Amphoe Phichai, Chang Wat Uttaradit 53120, Thailand']",14.9 km,18 mins
4,ศรีนคร,"('ศรีนคร', 'สุโขทัย')",ลับแล,"('ลับแล', 'อุตรดิตถ์')","['8XXR+85V, Si Nakhon, Si Nakhon District, Sukhothai 64180, Thailand']","['83/1 ถนน ราษฎร์บำรุง Tambon Si Phanommat, Amphoe Laplae, Chang Wat Uttaradit 53130, Thailand']",41.7 km,44 mins
5,ทุ่งเสลี่ยม,"('ทุ่งเสลี่ยม', 'สุโขทัย')",บ้านด่านลานหอย,"('บ้านด่านลานหอย', 'สุโขทัย')","['8HC6+98X, Thung Saliam, Thung Saliam District, Sukhothai 64150, Thailand']","['อาคารที่ว่าการอำเภอบ้านด่านลานหอย, ถนนจรดวิถีถ่อง, ตำบลลานหอย อำเภอบ้านด่านลานหอย จังหวัดสุโขทัย, 64140 Tambon Lan Hoi, Amphoe Ban Dan Lan Hoi, Chang Wat Sukhothai 64140, Thailand']",42.5 km,45 mins
6,ทุ่งเสลี่ยม,"('ทุ่งเสลี่ยม', 'สุโขทัย')",ศรีสัชนาลัย,"('ศรีสัชนาลัย', 'สุโขทัย')","['8HC6+98X, Thung Saliam, Thung Saliam District, Sukhothai 64150, Thailand']","['11430 Soi Thetsaban 3, Tambon Hat Siao, Amphoe Si Satchanalai, Chang Wat Sukhothai 64130, Thailand']",45.4 km,41 mins
7,ทุ่งเสลี่ยม,"('ทุ่งเสลี่ยม', 'สุโขทัย')",ศรีสำโรง,"('ศรีสำโรง', 'สุโขทัย')","['8HC6+98X, Thung Saliam, Thung Saliam District, Sukhothai 64150, Thailand']","['5V76+RM8, Thetsaban 26 Rd, Tambon Khlong Tan, Amphoe Si Samrong, Chang Wat Sukhothai 64120, Thailand']",48.1 km,45 mins
8,ทุ่งเสลี่ยม,"('ทุ่งเสลี่ยม', 'สุโขทัย')",สวรรคโลก,"('สวรรคโลก', 'สุโขทัย')","['8HC6+98X, Thung Saliam, Thung Saliam District, Sukhothai 64150, Thailand']","['อาคารที่ว่าการอำเภอสวรรคโลก, ถนนหน้าเมือง, ตำบลเมืองสวรรคโลก อำเภอสวรรคโลก จังหวัดสุโขทัย, 64110 Tambon Mueang Sawankhalok, Amphoe Sawankhalok, Chang Wat Sukhothai 64110, Thailand']",31.9 km,32 mins
9,ทุ่งเสลี่ยม,"('ทุ่งเสลี่ยม', 'สุโขทัย')",เถิน,"('เถิน', 'ลำปาง')","['8HC6+98X, Thung Saliam, Thung Saliam District, Sukhothai 64150, Thailand']","['J6RR+8MC, Mae Pa, Thoen District, Lampang 52160, Thailand']",67.8 km,1 hour 2 mins
