,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองพิษณุโลก,"('เมืองพิษณุโลก', 'พิษณุโลก')",บางระกำ,"('บางระกำ', 'พิษณุโลก')","['7, Ban Khlong, อำเภอเมือง Chang Wat Phitsanulok 65000, Thailand']","['109/60-2 Soi Thetsaban 7, Tambon Bang Rakam, Amphoe Bang Rakam, Chang Wat Phitsanulok 65140, Thailand']",19.2 km,24 mins
1,เมืองพิษณุโลก,"('เมืองพิษณุโลก', 'พิษณุโลก')",บางกระทุ่ม,"('บางกระทุ่ม', 'พิษณุโลก')","['7, Ban Khlong, อำเภอเมือง Chang Wat Phitsanulok 65000, Thailand']","['152/5, ตำบลบางกระทุ่ม อำเภอบางกระทุ่ม จังหวัดพิษณุโลก, 65110 Tambon Bang Krathum, Amphoe Bang Krathum, Chang Wat Phitsanulok 65110, Thailand']",36.2 km,43 mins
2,เมืองพิษณุโลก,"('เมืองพิษณุโลก', 'พิษณุโลก')",พรหมพิราม,"('พรหมพิราม', 'พิษณุโลก')","['7, Ban Khlong, อำเภอเมือง Chang Wat Phitsanulok 65000, Thailand']","['หมู่ 1 วังวน, ตําบลวังวน อําเภอพรหมพิราม จังหวัดพิษณุโลก, 65150 Tambon Phrom Phiram, Amphoe Phrom Phiram, Chang Wat Phitsanulok 65150, Thailand']",27.1 km,32 mins
3,เมืองพิษณุโลก,"('เมืองพิษณุโลก', 'พิษณุโลก')",วัดโบสถ์,"('วัดโบสถ์', 'พิษณุโลก')","['7, Ban Khlong, อำเภอเมือง Chang Wat Phitsanulok 65000, Thailand']","['545/1-2 หมู่ 4, ตำบลวัดโบสถ์ อำเภอวัดโบสถ์ จังหวัดพิษณุโลก, 65160 Tambon Wat Bot, Amphoe Wat Bot, Chang Wat Phitsanulok 65160, Thailand']",27.5 km,27 mins
4,เมืองพิษณุโลก,"('เมืองพิษณุโลก', 'พิษณุโลก')",วังทอง,"('วังทอง', 'พิษณุโลก')","['7, Ban Khlong, อำเภอเมือง Chang Wat Phitsanulok 65000, Thailand']","['อาคารที่ว่าการอำเภอวังทอง, ถนนมิตรภาพ, ตำบลวังทอง อำเภอวังทอง จังหวัดพิษณุโลก, 65130 Tambon Wang Thong, Amphoe Wang Thong, Chang Wat Phitsanulok 65130, Thailand']",19.8 km,22 mins
5,เมืองพิษณุโลก,"('เมืองพิษณุโลก', 'พิษณุโลก')",สามง่าม,"('สามง่าม', 'พิจิตร')","['7, Ban Khlong, อำเภอเมือง Chang Wat Phitsanulok 65000, Thailand']","['G653+JRH, Sam Ngam, Sam Ngam District, Phichit 66140, Thailand']",47.1 km,45 mins
6,เมืองพิษณุโลก,"('เมืองพิษณุโลก', 'พิษณุโลก')",กงไกรลาศ,"('กงไกรลาศ', 'สุโขทัย')","['7, Ban Khlong, อำเภอเมือง Chang Wat Phitsanulok 65000, Thailand']","['XX2G+X8Q, Ban Krang, Kong Krailat District, Sukhothai 64170, Thailand']",37.5 km,35 mins
7,นครไทย,"('นครไทย', 'พิษณุโลก')",ชาติตระการ,"('ชาติตระการ', 'พิษณุโลก')","['4R2Q+54C, 248 Damri Rd, Tambon Nakhon Thai, Amphoe Nakhon Thai, Chang Wat Phitsanulok 65120, Thailand']","['7HGX+MHQ, Pa Daeng, Chat Trakan District, Phitsanulok 65170, Thailand']",35.7 km,33 mins
8,นครไทย,"('นครไทย', 'พิษณุโลก')",วังทอง,"('วังทอง', 'พิษณุโลก')","['4R2Q+54C, 248 Damri Rd, Tambon Nakhon Thai, Amphoe Nakhon Thai, Chang Wat Phitsanulok 65120, Thailand']","['อาคารที่ว่าการอำเภอวังทอง, ถนนมิตรภาพ, ตำบลวังทอง อำเภอวังทอง จังหวัดพิษณุโลก, 65130 Tambon Wang Thong, Amphoe Wang Thong, Chang Wat Phitsanulok 65130, Thailand']",78.9 km,1 hour 5 mins
9,นครไทย,"('นครไทย', 'พิษณุโลก')",หล่มเก่า,"('หล่มเก่า', 'เพชรบูรณ์')","['4R2Q+54C, 248 Damri Rd, Tambon Nakhon Thai, Amphoe Nakhon Thai, Chang Wat Phitsanulok 65120, Thailand']","['V6PH+7QC, Lom Kao, Lom Kao District, Phetchabun 67120, Thailand']",99.6 km,1 hour 31 mins
10,นครไทย,"('นครไทย', 'พิษณุโลก')",เขาค้อ,"('เขาค้อ', 'เพชรบูรณ์')","['4R2Q+54C, 248 Damri Rd, Tambon Nakhon Thai, Amphoe Nakhon Thai, Chang Wat Phitsanulok 65120, Thailand']","['76 หมู่ 2, ตำบลทุ่งสมอ อำเภอเขาค้อ จังหวัดเพชรบูรณ์, 67270 Tambon Khao Kho, Amphoe Khao Kho, Chang Wat Phetchabun 67270, Thailand']",81.2 km,1 hour 19 mins
11,นครไทย,"('นครไทย', 'พิษณุโลก')",นาแห้ว,"('นาแห้ว', 'เลย')","['4R2Q+54C, 248 Damri Rd, Tambon Nakhon Thai, Amphoe Nakhon Thai, Chang Wat Phitsanulok 65120, Thailand']","['F3P9+695, Na Haeo, Na Haeo District, Loei 42170, Thailand']",77.0 km,1 hour 21 mins
12,นครไทย,"('นครไทย', 'พิษณุโลก')",ด่านซ้าย,"('ด่านซ้าย', 'เลย')","['4R2Q+54C, 248 Damri Rd, Tambon Nakhon Thai, Amphoe Nakhon Thai, Chang Wat Phitsanulok 65120, Thailand']","['อาคารที่ว่าการอำเภอด่านซ้าย, ถนนแก้วอาสา, ตำบลด่านซ้าย อำเภอด่านซ้าย จังหวัดเลย, 42120 Tambon Dan Sai, Amphoe Dan Sai, Chang Wat Loei 42120, Thailand']",46.0 km,50 mins
13,ชาติตระการ,"('ชาติตระการ', 'พิษณุโลก')",นครไทย,"('นครไทย', 'พิษณุโลก')","['7HGX+MHQ, Pa Daeng, Chat Trakan District, Phitsanulok 65170, Thailand']","['4R2Q+54C, 248 Damri Rd, Tambon Nakhon Thai, Amphoe Nakhon Thai, Chang Wat Phitsanulok 65120, Thailand']",35.7 km,33 mins
14,ชาติตระการ,"('ชาติตระการ', 'พิษณุโลก')",วัดโบสถ์,"('วัดโบสถ์', 'พิษณุโลก')","['7HGX+MHQ, Pa Daeng, Chat Trakan District, Phitsanulok 65170, Thailand']","['545/1-2 หมู่ 4, ตำบลวัดโบสถ์ อำเภอวัดโบสถ์ จังหวัดพิษณุโลก, 65160 Tambon Wat Bot, Amphoe Wat Bot, Chang Wat Phitsanulok 65160, Thailand']",79.8 km,1 hour 7 mins
15,ชาติตระการ,"('ชาติตระการ', 'พิษณุโลก')",วังทอง,"('วังทอง', 'พิษณุโลก')","['7HGX+MHQ, Pa Daeng, Chat Trakan District, Phitsanulok 65170, Thailand']","['อาคารที่ว่าการอำเภอวังทอง, ถนนมิตรภาพ, ตำบลวังทอง อำเภอวังทอง จังหวัดพิษณุโลก, 65130 Tambon Wang Thong, Amphoe Wang Thong, Chang Wat Phitsanulok 65130, Thailand']",106 km,1 hour 28 mins
16,ชาติตระการ,"('ชาติตระการ', 'พิษณุโลก')",น้ำปาด,"('น้ำปาด', 'อุตรดิตถ์')","['7HGX+MHQ, Pa Daeng, Chat Trakan District, Phitsanulok 65170, Thailand']","['อาคารที่ว่าการอำเภอน้ำปาด, ถนนเพชรานุรักษ์, ตำบลแสนตอ อำเภอน้ำปาด จังหวัดอุตรดิตถ์, 53110 Tambon Saen To, Amphoe Nam Pat, Chang Wat Uttaradit 53110, Thailand']",97.6 km,1 hour 26 mins
17,ชาติตระการ,"('ชาติตระการ', 'พิษณุโลก')",ทองแสนขัน,"('ทองแสนขัน', 'อุตรดิตถ์')","['7HGX+MHQ, Pa Daeng, Chat Trakan District, Phitsanulok 65170, Thailand']","['F8GM+394, Bo Thong, Thong Saen Khan District, Uttaradit 53230, Thailand']",50.8 km,46 mins
18,ชาติตระการ,"('ชาติตระการ', 'พิษณุโลก')",นาแห้ว,"('นาแห้ว', 'เลย')","['7HGX+MHQ, Pa Daeng, Chat Trakan District, Phitsanulok 65170, Thailand']","['F3P9+695, Na Haeo, Na Haeo District, Loei 42170, Thailand']",75.9 km,1 hour 45 mins
