,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองพิจิตร,"('เมืองพิจิตร', 'พิจิตร')",บางกระทุ่ม,"('บางกระทุ่ม', 'พิษณุโลก')","['4/411ต.ในเมือง อ.เมือง Tambon Nai Mueang, Amphoe Mueang Phichit, Chang Wat Phichit 66000, Thailand']","['152/5, ตำบลบางกระทุ่ม อำเภอบางกระทุ่ม จังหวัดพิษณุโลก, 65110 Tambon Bang Krathum, Amphoe Bang Krathum, Chang Wat Phitsanulok 65110, Thailand']",23.1 km,29 mins
1,เมืองพิจิตร,"('เมืองพิจิตร', 'พิจิตร')",วังทรายพูน,"('วังทรายพูน', 'พิจิตร')","['4/411ต.ในเมือง อ.เมือง Tambon Nai Mueang, Amphoe Mueang Phichit, Chang Wat Phichit 66000, Thailand']","['สำนักทะเบียนอำเภอวังทรายพูน อาคารที่ว่าการอำเภอวังทรายพูน หมู่ที่ 16 Tambon Nong Phra, Amphoe Wang Sai Phun, Chang Wat Phichit 66180, Thailand']",27.8 km,32 mins
2,เมืองพิจิตร,"('เมืองพิจิตร', 'พิจิตร')",โพธิ์ประทับช้าง,"('โพธิ์ประทับช้าง', 'พิจิตร')","['4/411ต.ในเมือง อ.เมือง Tambon Nai Mueang, Amphoe Mueang Phichit, Chang Wat Phichit 66000, Thailand']","['876F+CWW, Pho Prathap Chang, Pho Prathap Chang District, Phichit 66190, Thailand']",20.9 km,23 mins
3,เมืองพิจิตร,"('เมืองพิจิตร', 'พิจิตร')",ตะพานหิน,"('ตะพานหิน', 'พิจิตร')","['4/411ต.ในเมือง อ.เมือง Tambon Nai Mueang, Amphoe Mueang Phichit, Chang Wat Phichit 66000, Thailand']","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']",28.7 km,27 mins
4,เมืองพิจิตร,"('เมืองพิจิตร', 'พิจิตร')",สามง่าม,"('สามง่าม', 'พิจิตร')","['4/411ต.ในเมือง อ.เมือง Tambon Nai Mueang, Amphoe Mueang Phichit, Chang Wat Phichit 66000, Thailand']","['G653+JRH, Sam Ngam, Sam Ngam District, Phichit 66140, Thailand']",19.8 km,21 mins
5,เมืองพิจิตร,"('เมืองพิจิตร', 'พิจิตร')",ทับคล้อ,"('ทับคล้อ', 'พิจิตร')","['4/411ต.ในเมือง อ.เมือง Tambon Nai Mueang, Amphoe Mueang Phichit, Chang Wat Phichit 66000, Thailand']","['5H6W+5J2, Thap Khlo, Thap Khlo District, Phichit 66150, Thailand']",54.4 km,53 mins
6,เมืองพิจิตร,"('เมืองพิจิตร', 'พิจิตร')",สากเหล็ก,"('สากเหล็ก', 'พิจิตร')","['4/411ต.ในเมือง อ.เมือง Tambon Nai Mueang, Amphoe Mueang Phichit, Chang Wat Phichit 66000, Thailand']","['GF59+VP8, Sak Lek, Sak Lek District, Phichit 66160, Thailand']",20.9 km,23 mins
7,วังทรายพูน,"('วังทรายพูน', 'พิจิตร')",เนินมะปราง,"('เนินมะปราง', 'พิษณุโลก')","['สำนักทะเบียนอำเภอวังทรายพูน อาคารที่ว่าการอำเภอวังทรายพูน หมู่ที่ 16 Tambon Nong Phra, Amphoe Wang Sai Phun, Chang Wat Phichit 66180, Thailand']","['HJ9P+96F, Noen Maprang, Noen Maprang District, Phitsanulok 65190, Thailand']",29.8 km,35 mins
8,วังทรายพูน,"('วังทรายพูน', 'พิจิตร')",เมืองพิจิตร,"('เมืองพิจิตร', 'พิจิตร')","['สำนักทะเบียนอำเภอวังทรายพูน อาคารที่ว่าการอำเภอวังทรายพูน หมู่ที่ 16 Tambon Nong Phra, Amphoe Wang Sai Phun, Chang Wat Phichit 66180, Thailand']","['4/411ต.ในเมือง อ.เมือง Tambon Nai Mueang, Amphoe Mueang Phichit, Chang Wat Phichit 66000, Thailand']",28.1 km,33 mins
9,วังทรายพูน,"('วังทรายพูน', 'พิจิตร')",ตะพานหิน,"('ตะพานหิน', 'พิจิตร')","['สำนักทะเบียนอำเภอวังทรายพูน อาคารที่ว่าการอำเภอวังทรายพูน หมู่ที่ 16 Tambon Nong Phra, Amphoe Wang Sai Phun, Chang Wat Phichit 66180, Thailand']","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']",34.0 km,39 mins
10,วังทรายพูน,"('วังทรายพูน', 'พิจิตร')",ทับคล้อ,"('ทับคล้อ', 'พิจิตร')","['สำนักทะเบียนอำเภอวังทรายพูน อาคารที่ว่าการอำเภอวังทรายพูน หมู่ที่ 16 Tambon Nong Phra, Amphoe Wang Sai Phun, Chang Wat Phichit 66180, Thailand']","['5H6W+5J2, Thap Khlo, Thap Khlo District, Phichit 66150, Thailand']",32.0 km,32 mins
11,วังทรายพูน,"('วังทรายพูน', 'พิจิตร')",สากเหล็ก,"('สากเหล็ก', 'พิจิตร')","['สำนักทะเบียนอำเภอวังทรายพูน อาคารที่ว่าการอำเภอวังทรายพูน หมู่ที่ 16 Tambon Nong Phra, Amphoe Wang Sai Phun, Chang Wat Phichit 66180, Thailand']","['GF59+VP8, Sak Lek, Sak Lek District, Phichit 66160, Thailand']",17.4 km,21 mins
12,วังทรายพูน,"('วังทรายพูน', 'พิจิตร')",วังโป่ง,"('วังโป่ง', 'เพชรบูรณ์')","['สำนักทะเบียนอำเภอวังทรายพูน อาคารที่ว่าการอำเภอวังทรายพูน หมู่ที่ 16 Tambon Nong Phra, Amphoe Wang Sai Phun, Chang Wat Phichit 66180, Thailand']","['อาคารที่ว่าการอำเภอวังโป่ง, ถนนชนแดน-วังหิน, ตำบลวังโป่ง อำเภอวังโป่ง จังหวัดเพชรบูรณ์, 67240 Tambon Wang Pong, Amphoe Wang Pong, Chang Wat Phetchabun 67240, Thailand']",38.0 km,40 mins
13,โพธิ์ประทับช้าง,"('โพธิ์ประทับช้าง', 'พิจิตร')",ไทรงาม,"('ไทรงาม', 'กำแพงเพชร')","['876F+CWW, Pho Prathap Chang, Pho Prathap Chang District, Phichit 66190, Thailand']","['FVFW+2H3, Kovit Pitsawong Alley, Tambon Sai Ngam, Amphoe Sai Ngam, Chang Wat Kamphaeng Phet 62150, Thailand']",69.3 km,57 mins
14,โพธิ์ประทับช้าง,"('โพธิ์ประทับช้าง', 'พิจิตร')",เมืองพิจิตร,"('เมืองพิจิตร', 'พิจิตร')","['876F+CWW, Pho Prathap Chang, Pho Prathap Chang District, Phichit 66190, Thailand']","['4/411ต.ในเมือง อ.เมือง Tambon Nai Mueang, Amphoe Mueang Phichit, Chang Wat Phichit 66000, Thailand']",21.8 km,25 mins
15,โพธิ์ประทับช้าง,"('โพธิ์ประทับช้าง', 'พิจิตร')",ตะพานหิน,"('ตะพานหิน', 'พิจิตร')","['876F+CWW, Pho Prathap Chang, Pho Prathap Chang District, Phichit 66190, Thailand']","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']",26.1 km,28 mins
16,โพธิ์ประทับช้าง,"('โพธิ์ประทับช้าง', 'พิจิตร')",บึงสามัคคี,"('บึงสามัคคี', 'กำแพงเพชร')","['876F+CWW, Pho Prathap Chang, Pho Prathap Chang District, Phichit 66190, Thailand']","['5XQH+C2W, Wang Cha-on, Bueng Samakkhi District, Kamphaeng Phet 62210, Thailand']",48.5 km,49 mins
17,โพธิ์ประทับช้าง,"('โพธิ์ประทับช้าง', 'พิจิตร')",สามง่าม,"('สามง่าม', 'พิจิตร')","['876F+CWW, Pho Prathap Chang, Pho Prathap Chang District, Phichit 66190, Thailand']","['G653+JRH, Sam Ngam, Sam Ngam District, Phichit 66140, Thailand']",33.9 km,33 mins
18,โพธิ์ประทับช้าง,"('โพธิ์ประทับช้าง', 'พิจิตร')",บึงนาราง,"('บึงนาราง', 'พิจิตร')","['876F+CWW, Pho Prathap Chang, Pho Prathap Chang District, Phichit 66190, Thailand']","['54CF+WWX, Huai Kaeo, Bueng Na Rang District, Phichit 66130, Thailand']",32.1 km,29 mins
19,ตะพานหิน,"('ตะพานหิน', 'พิจิตร')",เมืองพิจิตร,"('เมืองพิจิตร', 'พิจิตร')","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']","['4/411ต.ในเมือง อ.เมือง Tambon Nai Mueang, Amphoe Mueang Phichit, Chang Wat Phichit 66000, Thailand']",28.7 km,27 mins
20,ตะพานหิน,"('ตะพานหิน', 'พิจิตร')",วังทรายพูน,"('วังทรายพูน', 'พิจิตร')","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']","['สำนักทะเบียนอำเภอวังทรายพูน อาคารที่ว่าการอำเภอวังทรายพูน หมู่ที่ 16 Tambon Nong Phra, Amphoe Wang Sai Phun, Chang Wat Phichit 66180, Thailand']",39.3 km,46 mins
21,ตะพานหิน,"('ตะพานหิน', 'พิจิตร')",โพธิ์ประทับช้าง,"('โพธิ์ประทับช้าง', 'พิจิตร')","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']","['876F+CWW, Pho Prathap Chang, Pho Prathap Chang District, Phichit 66190, Thailand']",26.1 km,28 mins
22,ตะพานหิน,"('ตะพานหิน', 'พิจิตร')",บางมูลนาก,"('บางมูลนาก', 'พิจิตร')","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']","['อาคารที่ว่่าการอำเภอบางมูลนาก, ถนนประเทืองถิ่น, ตำบลบางมูลนาก อำเภอบางมูลนาก จังหวัดพิจิตร, 66120 Tambon Noen Makok, Amphoe Bang Mun Nak, Chang Wat Phichit 66120, Thailand']",26.0 km,26 mins
23,ตะพานหิน,"('ตะพานหิน', 'พิจิตร')",โพทะเล,"('โพทะเล', 'พิจิตร')","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']","['ศูนย์ดำรงธรรมอำเภอโพทะเล, Tambon Tha Bua, Amphoe Pho Thale, Chang Wat Phichit 66130, Thailand']",33.4 km,33 mins
24,ตะพานหิน,"('ตะพานหิน', 'พิจิตร')",ทับคล้อ,"('ทับคล้อ', 'พิจิตร')","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']","['5H6W+5J2, Thap Khlo, Thap Khlo District, Phichit 66150, Thailand']",26.0 km,28 mins
25,ตะพานหิน,"('ตะพานหิน', 'พิจิตร')",บึงนาราง,"('บึงนาราง', 'พิจิตร')","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']","['54CF+WWX, Huai Kaeo, Bueng Na Rang District, Phichit 66130, Thailand']",42.0 km,41 mins
26,ตะพานหิน,"('ตะพานหิน', 'พิจิตร')",ดงเจริญ,"('ดงเจริญ', 'พิจิตร')","['25, Hanumarn Road, Tambon Taphanhin, Amphoe Taphanhin, Phichit, 66110, ตำบล ตะพานหิน อำเภอ ตะพานหิน พิจิตร 66110, Thailand']","['ถนนเขาทราย - ตากฟ้า 2JHG+JRQ, Tambon Wang Ngio Tai, Amphoe Dong Charoen, Chang Wat Phichit 66210, Thailand']",37.3 km,39 mins
27,บางมูลนาก,"('บางมูลนาก', 'พิจิตร')",ชุมแสง,"('ชุมแสง', 'นครสวรรค์')","['อาคารที่ว่่าการอำเภอบางมูลนาก, ถนนประเทืองถิ่น, ตำบลบางมูลนาก อำเภอบางมูลนาก จังหวัดพิจิตร, 66120 Tambon Noen Makok, Amphoe Bang Mun Nak, Chang Wat Phichit 66120, Thailand']","['20/4, Saeng Manee Rd., Chum Saeng Chum Saeng Nakhon Sawan, 60120, ตำบล เกยไชย อำเภอ ชุมแสง นครสวรรค์ 60120, Thailand']",21.8 km,25 mins
