,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองเพชรบูรณ์,"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",เนินมะปราง,"('เนินมะปราง', 'พิษณุโลก')","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']","['HJ9P+96F, Noen Maprang, Noen Maprang District, Phitsanulok 65190, Thailand']",111 km,1 hour 56 mins
1,เมืองเพชรบูรณ์,"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",ชนแดน,"('ชนแดน', 'เพชรบูรณ์')","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']","['164/2 Tambon Chon Daen, Amphoe Chon Daen, Chang Wat Phetchabun 67150, Thailand']",53.9 km,1 hour 0 mins
2,เมืองเพชรบูรณ์,"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",หล่มสัก,"('หล่มสัก', 'เพชรบูรณ์')","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']","['อาคารที่ว่าการอำเภอหล่มสัก, ถนนวจี, ตำบลหล่มสัก อำเภอหล่มสัก จังหวัดเพชรบูรณ์, 67110 18/8 Wajee 7 Alley, Tan Diao, Amphoe Lom Sak, Chang Wat Phetchabun 67110, Thailand']",42.0 km,39 mins
3,เมืองเพชรบูรณ์,"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",หนองไผ่,"('หนองไผ่', 'เพชรบูรณ์')","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']","['เลขที่ 620 หมู่ที่ 2, ต.หนองไผ่ อ.หนองไผ่ จ.เพชรบูรณ์, 67140 Tambon Nong Phai, Amphoe Nong Phai, Chang Wat Phetchabun 67140, Thailand']",61.1 km,53 mins
4,เมืองเพชรบูรณ์,"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",วังโป่ง,"('วังโป่ง', 'เพชรบูรณ์')","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']","['อาคารที่ว่าการอำเภอวังโป่ง, ถนนชนแดน-วังหิน, ตำบลวังโป่ง อำเภอวังโป่ง จังหวัดเพชรบูรณ์, 67240 Tambon Wang Pong, Amphoe Wang Pong, Chang Wat Phetchabun 67240, Thailand']",74.2 km,1 hour 19 mins
5,เมืองเพชรบูรณ์,"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",เขาค้อ,"('เขาค้อ', 'เพชรบูรณ์')","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']","['76 หมู่ 2, ตำบลทุ่งสมอ อำเภอเขาค้อ จังหวัดเพชรบูรณ์, 67270 Tambon Khao Kho, Amphoe Khao Kho, Chang Wat Phetchabun 67270, Thailand']",52.0 km,1 hour 0 mins
6,เมืองเพชรบูรณ์,"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",หนองบัวแดง,"('หนองบัวแดง', 'ชัยภูมิ')","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']","['60 Moo.9, Suphawongramluk Road, Tambon Nong Bua Daeng, Amphoe Nong Bua Daeng, Chaiyaphum, 36210, ตำบล หนองบัวแดง อำเภอหนองบัวแดง ชัยภูมิ 36210, Thailand']",185 km,3 hours 5 mins
7,เมืองเพชรบูรณ์,"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",ภักดีชุมพล,"('ภักดีชุมพล', 'ชัยภูมิ')","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']","['WC3C+RJC, Chao Thong, Phakdi Chumphon District, Chaiyaphum 36260, Thailand']",127 km,2 hours 7 mins
8,เมืองเพชรบูรณ์,"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')",คอนสาร,"('คอนสาร', 'ชัยภูมิ')","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']","['บ้านพักนายอำเภอ, Tambon Khon San, Amphoe Khon San, Chang Wat Chaiyaphum 36180, Thailand']",132 km,2 hours 1 min
9,ชนแดน,"('ชนแดน', 'เพชรบูรณ์')",หนองบัว,"('หนองบัว', 'นครสวรรค์')","['164/2 Tambon Chon Daen, Amphoe Chon Daen, Chang Wat Phetchabun 67150, Thailand']","['VH7P+XM4, Nong Klap, Nong Bua District, Nakhon Sawan 60110, Thailand']",62.3 km,59 mins
10,ชนแดน,"('ชนแดน', 'เพชรบูรณ์')",ทับคล้อ,"('ทับคล้อ', 'พิจิตร')","['164/2 Tambon Chon Daen, Amphoe Chon Daen, Chang Wat Phetchabun 67150, Thailand']","['5H6W+5J2, Thap Khlo, Thap Khlo District, Phichit 66150, Thailand']",31.8 km,33 mins
11,ชนแดน,"('ชนแดน', 'เพชรบูรณ์')",ดงเจริญ,"('ดงเจริญ', 'พิจิตร')","['164/2 Tambon Chon Daen, Amphoe Chon Daen, Chang Wat Phetchabun 67150, Thailand']","['ถนนเขาทราย - ตากฟ้า 2JHG+JRQ, Tambon Wang Ngio Tai, Amphoe Dong Charoen, Chang Wat Phichit 66210, Thailand']",42.0 km,42 mins
12,ชนแดน,"('ชนแดน', 'เพชรบูรณ์')",เมืองเพชรบูรณ์,"('เมืองเพชรบูรณ์', 'เพชรบูรณ์')","['164/2 Tambon Chon Daen, Amphoe Chon Daen, Chang Wat Phetchabun 67150, Thailand']","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']",53.2 km,59 mins
13,ชนแดน,"('ชนแดน', 'เพชรบูรณ์')",หนองไผ่,"('หนองไผ่', 'เพชรบูรณ์')","['164/2 Tambon Chon Daen, Amphoe Chon Daen, Chang Wat Phetchabun 67150, Thailand']","['เลขที่ 620 หมู่ที่ 2, ต.หนองไผ่ อ.หนองไผ่ จ.เพชรบูรณ์, 67140 Tambon Nong Phai, Amphoe Nong Phai, Chang Wat Phetchabun 67140, Thailand']",40.9 km,40 mins
14,ชนแดน,"('ชนแดน', 'เพชรบูรณ์')",บึงสามพัน,"('บึงสามพัน', 'เพชรบูรณ์')","['164/2 Tambon Chon Daen, Amphoe Chon Daen, Chang Wat Phetchabun 67150, Thailand']","['Q2W5+JCP, Bueng Sam Phan, Bueng Sam Phan District, Phetchabun 67160, Thailand']",64.1 km,1 hour 0 mins
