,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองราชบุรี,"('เมืองราชบุรี', 'ราชบุรี')",บางคนที,"('บางคนที', 'สมุทรสงคราม')","['GRH7+G3R, Na Muang, Mueang Ratchaburi, Ratchaburi 70000, Thailand']","['FW9R+G5F, Bang Khonthi, Bang Khonthi District, Samut Songkhram 75120, Thailand']",23.0 km,31 mins
1,เมืองราชบุรี,"('เมืองราชบุรี', 'ราชบุรี')",อัมพวา,"('อัมพวา', 'สมุทรสงคราม')","['GRH7+G3R, Na Muang, Mueang Ratchaburi, Ratchaburi 70000, Thailand']","['CXF4+QWW, Amphawa, Amphawa District, Samut Songkhram 75110, Thailand']",27.5 km,41 mins
2,เมืองราชบุรี,"('เมืองราชบุรี', 'ราชบุรี')",จอมบึง,"('จอมบึง', 'ราชบุรี')","['GRH7+G3R, Na Muang, Mueang Ratchaburi, Ratchaburi 70000, Thailand']","['318 ถ. ราชบุรี - ผาปก Tambon Chom Bueng, Amphoe Chom Bueng, Chang Wat Ratchaburi 70150, Thailand']",29.4 km,35 mins
3,เมืองราชบุรี,"('เมืองราชบุรี', 'ราชบุรี')",ดำเนินสะดวก,"('ดำเนินสะดวก', 'ราชบุรี')","['GRH7+G3R, Na Muang, Mueang Ratchaburi, Ratchaburi 70000, Thailand']","['GX93+4R2, Damnoen Saduak, Damnoen Saduak District, Ratchaburi 70130, Thailand']",24.4 km,34 mins
4,เมืองราชบุรี,"('เมืองราชบุรี', 'ราชบุรี')",บางแพ,"('บางแพ', 'ราชบุรี')","['GRH7+G3R, Na Muang, Mueang Ratchaburi, Ratchaburi 70000, Thailand']","['MWRJ+G54, Bang Phae, Bang Phae District, Ratchaburi 70160, Thailand']",28.6 km,32 mins
5,เมืองราชบุรี,"('เมืองราชบุรี', 'ราชบุรี')",โพธาราม,"('โพธาราม', 'ราชบุรี')","['GRH7+G3R, Na Muang, Mueang Ratchaburi, Ratchaburi 70000, Thailand']","['MVR3+X9Q, Photharam, Photharam District, Ratchaburi 70120, Thailand']",23.4 km,28 mins
6,เมืองราชบุรี,"('เมืองราชบุรี', 'ราชบุรี')",ปากท่อ,"('ปากท่อ', 'ราชบุรี')","['GRH7+G3R, Na Muang, Mueang Ratchaburi, Ratchaburi 70000, Thailand']","['หมู่ 5, อาคารที่ว่าการอำเภอปากท่อ, ตำบลปากท่อ อำเภอปากท่อ จังหวัดราชบุรี, 70140 Tambon Don Sai, Amphoe Pak Tho, Chang Wat Ratchaburi 70140, Thailand']",21.2 km,22 mins
7,เมืองราชบุรี,"('เมืองราชบุรี', 'ราชบุรี')",วัดเพลง,"('วัดเพลง', 'ราชบุรี')","['GRH7+G3R, Na Muang, Mueang Ratchaburi, Ratchaburi 70000, Thailand']","['FV3P+GPQ, Wat Phleng, Wat Phleng District, Ratchaburi 70170, Thailand']",15.6 km,22 mins
8,จอมบึง,"('จอมบึง', 'ราชบุรี')",เมืองราชบุรี,"('เมืองราชบุรี', 'ราชบุรี')","['318 ถ. ราชบุรี - ผาปก Tambon Chom Bueng, Amphoe Chom Bueng, Chang Wat Ratchaburi 70150, Thailand']","['GRH7+G3R, Na Muang, Mueang Ratchaburi, Ratchaburi 70000, Thailand']",29.4 km,35 mins
9,จอมบึง,"('จอมบึง', 'ราชบุรี')",สวนผึ้ง,"('สวนผึ้ง', 'ราชบุรี')","['318 ถ. ราชบุรี - ผาปก Tambon Chom Bueng, Amphoe Chom Bueng, Chang Wat Ratchaburi 70150, Thailand']","['G8VQ+JWP ถ. ราชบุรี - ผาปก Tambon Suan Phueng, Amphoe Suan Phueng, Chang Wat Ratchaburi 70180, Thailand']",32.0 km,31 mins
10,จอมบึง,"('จอมบึง', 'ราชบุรี')",โพธาราม,"('โพธาราม', 'ราชบุรี')","['318 ถ. ราชบุรี - ผาปก Tambon Chom Bueng, Amphoe Chom Bueng, Chang Wat Ratchaburi 70150, Thailand']","['MVR3+X9Q, Photharam, Photharam District, Ratchaburi 70120, Thailand']",39.2 km,46 mins
11,จอมบึง,"('จอมบึง', 'ราชบุรี')",ปากท่อ,"('ปากท่อ', 'ราชบุรี')","['318 ถ. ราชบุรี - ผาปก Tambon Chom Bueng, Amphoe Chom Bueng, Chang Wat Ratchaburi 70150, Thailand']","['หมู่ 5, อาคารที่ว่าการอำเภอปากท่อ, ตำบลปากท่อ อำเภอปากท่อ จังหวัดราชบุรี, 70140 Tambon Don Sai, Amphoe Pak Tho, Chang Wat Ratchaburi 70140, Thailand']",47.8 km,48 mins
12,จอมบึง,"('จอมบึง', 'ราชบุรี')",บ้านคา,"('บ้านคา', 'ราชบุรี')","['318 ถ. ราชบุรี - ผาปก Tambon Chom Bueng, Amphoe Chom Bueng, Chang Wat Ratchaburi 70150, Thailand']","['CCJ5+4VG, Ban Kha, Ban Kha District, Ratchaburi 70180, Thailand']",35.9 km,34 mins
13,จอมบึง,"('จอมบึง', 'ราชบุรี')",ท่าม่วง,"('ท่าม่วง', 'กาญจนบุรี')","['318 ถ. ราชบุรี - ผาปก Tambon Chom Bueng, Amphoe Chom Bueng, Chang Wat Ratchaburi 70150, Thailand']","['XJ8Q+MGR, Tha Muang, Tha Muang District, Kanchanaburi 71110, Thailand']",48.7 km,52 mins
14,จอมบึง,"('จอมบึง', 'ราชบุรี')",ด่านมะขามเตี้ย,"('ด่านมะขามเตี้ย', 'กาญจนบุรี')","['318 ถ. ราชบุรี - ผาปก Tambon Chom Bueng, Amphoe Chom Bueng, Chang Wat Ratchaburi 70150, Thailand']","['VC36+96R, Dan Makham Tia, Dan Makham Tia District, Kanchanaburi 71260, Thailand']",41.5 km,40 mins
15,สวนผึ้ง,"('สวนผึ้ง', 'ราชบุรี')",จอมบึง,"('จอมบึง', 'ราชบุรี')","['G8VQ+JWP ถ. ราชบุรี - ผาปก Tambon Suan Phueng, Amphoe Suan Phueng, Chang Wat Ratchaburi 70180, Thailand']","['318 ถ. ราชบุรี - ผาปก Tambon Chom Bueng, Amphoe Chom Bueng, Chang Wat Ratchaburi 70150, Thailand']",32.0 km,32 mins
16,สวนผึ้ง,"('สวนผึ้ง', 'ราชบุรี')",บ้านคา,"('บ้านคา', 'ราชบุรี')","['G8VQ+JWP ถ. ราชบุรี - ผาปก Tambon Suan Phueng, Amphoe Suan Phueng, Chang Wat Ratchaburi 70180, Thailand']","['CCJ5+4VG, Ban Kha, Ban Kha District, Ratchaburi 70180, Thailand']",18.5 km,23 mins
17,สวนผึ้ง,"('สวนผึ้ง', 'ราชบุรี')",เมืองกาญจนบุรี,"('เมืองกาญจนบุรี', 'กาญจนบุรี')","['G8VQ+JWP ถ. ราชบุรี - ผาปก Tambon Suan Phueng, Amphoe Suan Phueng, Chang Wat Ratchaburi 70180, Thailand']","['328 Sangchuto Rd, Ban Tai, Amphoe Mueang Kanchanaburi, Chang Wat Kanchanaburi 71000, Thailand']",73.9 km,1 hour 15 mins
18,สวนผึ้ง,"('สวนผึ้ง', 'ราชบุรี')",ด่านมะขามเตี้ย,"('ด่านมะขามเตี้ย', 'กาญจนบุรี')","['G8VQ+JWP ถ. ราชบุรี - ผาปก Tambon Suan Phueng, Amphoe Suan Phueng, Chang Wat Ratchaburi 70180, Thailand']","['VC36+96R, Dan Makham Tia, Dan Makham Tia District, Kanchanaburi 71260, Thailand']",45.6 km,46 mins
19,ดำเนินสะดวก,"('ดำเนินสะดวก', 'ราชบุรี')",บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')","['GX93+4R2, Damnoen Saduak, Damnoen Saduak District, Ratchaburi 70130, Thailand']","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']",22.5 km,37 mins
20,ดำเนินสะดวก,"('ดำเนินสะดวก', 'ราชบุรี')",เมืองสมุทรสงคราม,"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')","['GX93+4R2, Damnoen Saduak, Damnoen Saduak District, Ratchaburi 70130, Thailand']","['ที่ว่าการ Soi Ekkachai, Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram 75000, Thailand']",19.8 km,21 mins
21,ดำเนินสะดวก,"('ดำเนินสะดวก', 'ราชบุรี')",บางคนที,"('บางคนที', 'สมุทรสงคราม')","['GX93+4R2, Damnoen Saduak, Damnoen Saduak District, Ratchaburi 70130, Thailand']","['FW9R+G5F, Bang Khonthi, Bang Khonthi District, Samut Songkhram 75120, Thailand']",8.6 km,14 mins
22,ดำเนินสะดวก,"('ดำเนินสะดวก', 'ราชบุรี')",อัมพวา,"('อัมพวา', 'สมุทรสงคราม')","['GX93+4R2, Damnoen Saduak, Damnoen Saduak District, Ratchaburi 70130, Thailand']","['CXF4+QWW, Amphawa, Amphawa District, Samut Songkhram 75110, Thailand']",14.7 km,16 mins
