,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองสุพรรณบุรี,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",ผักไห่,"('ผักไห่', 'พระนครศรีอยุธยา')","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอผักไห่, ตำบลผักไห่ อำเภอผักไห่ จังหวัดพระนครศรีอยุธยา, 13120 Tambon Phak Hai, Amphoe Phak Hai, Chang Wat Phra Nakhon Si Ayutthaya 13120, Thailand']",30.1 km,33 mins
1,เมืองสุพรรณบุรี,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",วิเศษชัยชาญ,"('วิเศษชัยชาญ', 'อ่างทอง')","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']","['H8VQ+V8X, San Chao Rong Thong, Wiset Chai Chan District, Ang Thong 14110, Thailand']",32.5 km,31 mins
2,เมืองสุพรรณบุรี,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",สามโก้,"('สามโก้', 'อ่างทอง')","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']","['J64V+7XC, Samko, Samko District, Ang Thong 14160, Thailand']",23.7 km,26 mins
3,เมืองสุพรรณบุรี,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",บางปลาม้า,"('บางปลาม้า', 'สุพรรณบุรี')","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']","['หมู่ 5, อาคารที่ว่าการอำเภอบางปลาม้า, ตำบลโคกคราม อำเภอบางปลาม้า จังหวัดสุพรรณบุรี, 72150 Tambon Khok Khram, Amphoe Bang Pla Ma, Chang Wat Suphan Buri 72150, Thailand']",13.3 km,16 mins
4,เมืองสุพรรณบุรี,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",ศรีประจันต์,"('ศรีประจันต์', 'สุพรรณบุรี')","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']","['J49V+WQP, Si Prachan, Si Prachan District, Suphan Buri 72140, Thailand']",18.6 km,19 mins
5,เมืองสุพรรณบุรี,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",ดอนเจดีย์,"('ดอนเจดีย์', 'สุพรรณบุรี')","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']","['J2PC+3F2, Don Chedi, Don Chedi District, Suphan Buri 72170, Thailand']",32.3 km,35 mins
6,เมืองสุพรรณบุรี,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",สองพี่น้อง,"('สองพี่น้อง', 'สุพรรณบุรี')","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']","['62FC+FCG, Soi Si Samran 2 Soi 1, Tambon Song Phi Nong, Amphoe Song Phi Nong, Chang Wat Suphan Buri 72110, Thailand']",36.3 km,41 mins
7,เมืองสุพรรณบุรี,"('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",อู่ทอง,"('อู่ทอง', 'สุพรรณบุรี')","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']","['1563/5 Malaiman Rd, Tambon U Thong, Amphoe U Thong, Chang Wat Suphan Buri 72160, Thailand']",33.2 km,37 mins
8,เดิมบางนางบวช,"('เดิมบางนางบวช', 'สุพรรณบุรี')",โพธิ์ทอง,"('โพธิ์ทอง', 'อ่างทอง')","['V33X+F5Q, Khao Phra, Doem Bang Nang Buat District, Suphan Buri 72120, Thailand']","['นายอำเภอ MC85+G9X, Tambon Ang Khao, Amphoe Pho Thong, Chang Wat Ang Thong 14120, Thailand']",45.4 km,46 mins
9,เดิมบางนางบวช,"('เดิมบางนางบวช', 'สุพรรณบุรี')",แสวงหา,"('แสวงหา', 'อ่างทอง')","['V33X+F5Q, Khao Phra, Doem Bang Nang Buat District, Suphan Buri 72120, Thailand']","['หมู่ 5 ถนน แสวงหา-ปากดง Tambon Sawaeng Ha, Amphoe Sawaeng Ha, Chang Wat Ang Thong 14150, Thailand']",31.7 km,32 mins
10,เดิมบางนางบวช,"('เดิมบางนางบวช', 'สุพรรณบุรี')",ค่ายบางระจัน,"('ค่ายบางระจัน', 'สิงห์บุรี')","['V33X+F5Q, Khao Phra, Doem Bang Nang Buat District, Suphan Buri 72120, Thailand']","['ถนนทีไมมีชือ, Sing ตำบล สิงห์ - Bang Rachan (Singburi) Amphoe Bang Rachan, Chang Wat Sing Buri 16130, Thailand']",37.1 km,41 mins
11,เดิมบางนางบวช,"('เดิมบางนางบวช', 'สุพรรณบุรี')",สรรคบุรี,"('สรรคบุรี', 'ชัยนาท')","['V33X+F5Q, Khao Phra, Doem Bang Nang Buat District, Suphan Buri 72120, Thailand']","['329 Napralan, Tambon Phraek Sriracha, Amphoe Sankhaburi, Chang Wat Chai Nat 17140, Thailand']",27.1 km,27 mins
12,เดิมบางนางบวช,"('เดิมบางนางบวช', 'สุพรรณบุรี')",หันคา,"('หันคา', 'ชัยนาท')","['V33X+F5Q, Khao Phra, Doem Bang Nang Buat District, Suphan Buri 72120, Thailand']","['X2J7+FW3, Hankha, Hankha District, Chai Nat 17130, Thailand']",20.6 km,22 mins
13,เดิมบางนางบวช,"('เดิมบางนางบวช', 'สุพรรณบุรี')",เนินขาม,"('เนินขาม', 'ชัยนาท')","['V33X+F5Q, Khao Phra, Doem Bang Nang Buat District, Suphan Buri 72120, Thailand']","['XW66+RMP, Noen Kham, Noen Kham District, Chai Nat 17130, Thailand']",31.9 km,32 mins
14,เดิมบางนางบวช,"('เดิมบางนางบวช', 'สุพรรณบุรี')",บางระจัน,"('บางระจัน', 'สิงห์บุรี')","['V33X+F5Q, Khao Phra, Doem Bang Nang Buat District, Suphan Buri 72120, Thailand']","['R826+37V 3032 Tambon Bang Rachan, Amphoe Khai Bang Rachan, Chang Wat Sing Buri 16150, Thailand']",32.9 km,31 mins
15,เดิมบางนางบวช,"('เดิมบางนางบวช', 'สุพรรณบุรี')",บ้านไร่,"('บ้านไร่', 'อุทัยธานี')","['V33X+F5Q, Khao Phra, Doem Bang Nang Buat District, Suphan Buri 72120, Thailand']","['ที่ว่าการอำเภอ อ บ้านไร่, Tambon Ban Rai, Amphoe Ban Rai, Chang Wat Uthai Thani 61140, Thailand']",84.8 km,1 hour 16 mins
