,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')",กำแพงแสน,"('กำแพงแสน', 'นครปฐม')","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']","['230, Tambon Thung Kraphang Hom, Amphoe Kamphaeng Saen, Chang Wat Nakhon Pathom 73140, Thailand']",26.8 km,29 mins
1,เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')",นครชัยศรี,"('นครชัยศรี', 'นครปฐม')","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']","['R52Q+F32, Phet Kasem Rd, Tambon Nakhon Chai Si, Amphoe Nakhon Chai Si, Chang Wat Nakhon Pathom 73120, Thailand']",14.3 km,18 mins
2,เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')",บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']",29.4 km,29 mins
3,เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')",ดอนตูม,"('ดอนตูม', 'นครปฐม')","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']","['X36J+5FX, Sam Ngam, Don Tum District, Nakhon Pathom 73150, Thailand']",19.5 km,25 mins
4,เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')",สามพราน,"('สามพราน', 'นครปฐม')","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']","['ที่ว่าการ Tambon Sam Phran, Amphoe Sam Phran, Chang Wat Nakhon Pathom 73110, Thailand']",22.2 km,25 mins
5,เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')",บ้านโป่ง,"('บ้านโป่ง', 'ราชบุรี')","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']","['RV7C+JF4, Ban Pong District, Ratchaburi 70110, Thailand']",24.0 km,29 mins
6,เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')",บางแพ,"('บางแพ', 'ราชบุรี')","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']","['MWRJ+G54, Bang Phae, Bang Phae District, Ratchaburi 70160, Thailand']",29.8 km,30 mins
7,เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')",โพธาราม,"('โพธาราม', 'ราชบุรี')","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']","['MVR3+X9Q, Photharam, Photharam District, Ratchaburi 70120, Thailand']",30.5 km,32 mins
8,เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')",ท่ามะกา,"('ท่ามะกา', 'กาญจนบุรี')","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']","['75/67, Tambon Tha Maka, Amphoe Tha Maka, Chang Wat Kanchanaburi 71120, Thailand']",40.8 km,44 mins
9,กำแพงแสน,"('กำแพงแสน', 'นครปฐม')",สองพี่น้อง,"('สองพี่น้อง', 'สุพรรณบุรี')","['230, Tambon Thung Kraphang Hom, Amphoe Kamphaeng Saen, Chang Wat Nakhon Pathom 73140, Thailand']","['62FC+FCG, Soi Si Samran 2 Soi 1, Tambon Song Phi Nong, Amphoe Song Phi Nong, Chang Wat Suphan Buri 72110, Thailand']",30.7 km,31 mins
10,กำแพงแสน,"('กำแพงแสน', 'นครปฐม')",เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')","['230, Tambon Thung Kraphang Hom, Amphoe Kamphaeng Saen, Chang Wat Nakhon Pathom 73140, Thailand']","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']",25.9 km,29 mins
