,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')",ป่าโมก,"('ป่าโมก', 'อ่างทอง')","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']","['FFQ2+F9F, Bang Pla Kot, Pa Mok District, Ang Thong 14130, Thailand']",17.0 km,17 mins
1,บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')",พระนครศรีอยุธยา,"('พระนครศรีอยุธยา', 'พระนครศรีอยุธยา')","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']","['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']",17.3 km,23 mins
2,บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')",ท่าเรือ,"('ท่าเรือ', 'พระนครศรีอยุธยา')","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']","['HP2H+M72, Tha Chao Sanuk, Tha Ruea District, Phra Nakhon Si Ayutthaya 13130, Thailand']",26.7 km,32 mins
3,บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')",นครหลวง,"('นครหลวง', 'พระนครศรีอยุธยา')","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']","['FJ74+J75, Nakhon Luang, Nakhon Luang District, Phra Nakhon Si Ayutthaya 13260, Thailand']",9.8 km,12 mins
4,บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')",บางบาล,"('บางบาล', 'พระนครศรีอยุธยา')","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']","['9FFP+H8Q, Saphan Thai, Bang Ban District, Phra Nakhon Si Ayutthaya 13250, Thailand']",17.9 km,21 mins
5,บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')",อุทัย,"('อุทัย', 'พระนครศรีอยุธยา')","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']","['8MM8+93F, Khan Ham, Uthai District, Phra Nakhon Si Ayutthaya 13210, Thailand']",25.6 km,26 mins
6,บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')",มหาราช,"('มหาราช', 'พระนครศรีอยุธยา')","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']","['GGMG+PVX, Hua Phai, Maha Rat District, Phra Nakhon Si Ayutthaya 13150, Thailand']",9.9 km,11 mins
7,บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')",เมืองอ่างทอง,"('เมืองอ่างทอง', 'อ่างทอง')","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']","['HFQ3+M9X, Bang Kaeo, Mueang Ang Thong District, Ang Thong 14000, Thailand']",20.0 km,23 mins
8,บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')",บ้านหมอ,"('บ้านหมอ', 'สระบุรี')","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']","['JP8G+6WC, Ban Mo, Ban Mo District, Saraburi 18130, Thailand']",33.3 km,39 mins
9,บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')",ดอนพุด,"('ดอนพุด', 'สระบุรี')","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']","['หมู่ที่ 3, ที่ว่าการ Tambon Don Phut, Amphoe Don Phut, Chang Wat Saraburi 18210, Thailand']",26.6 km,29 mins
