,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,กระทุ่มแบน,"('กระทุ่มแบน', 'สมุทรสาคร')",หนองแขม,"('หนองแขม', 'กรุงเทพมหานคร')","['M749+82G, Tha Mai, Krathum Baen District, Samut Sakhon 74110, Thailand']","['2257 Phet Kasem Rd, Khwaeng Nong Khang Phlu, Khet Nong Khaem, Krung Thep Maha Nakhon 10160, Thailand']",15.0 km,22 mins
1,กระทุ่มแบน,"('กระทุ่มแบน', 'สมุทรสาคร')",บางแค,"('บางแค', 'กรุงเทพมหานคร')","['M749+82G, Tha Mai, Krathum Baen District, Samut Sakhon 74110, Thailand']","['1 ซอย กาญจนาภิเษก 0010 แยก 2 Khwaeng Bang Khae, Khet Bang Khae, Krung Thep Maha Nakhon 10160, Thailand']",21.0 km,33 mins
2,กระทุ่มแบน,"('กระทุ่มแบน', 'สมุทรสาคร')",ทวีวัฒนา,"('ทวีวัฒนา', 'กรุงเทพมหานคร')","['M749+82G, Tha Mai, Krathum Baen District, Samut Sakhon 74110, Thailand']","['1 Soi Utthayan 5, Khwaeng Thawi Watthana, Khet Thawi Watthana, Krung Thep Maha Nakhon 10170, Thailand']",24.8 km,30 mins
3,กระทุ่มแบน,"('กระทุ่มแบน', 'สมุทรสาคร')",บางบอน,"('บางบอน', 'กรุงเทพมหานคร')","['M749+82G, Tha Mai, Krathum Baen District, Samut Sakhon 74110, Thailand']","['1 Ekkachai Rd, Bang Bon Tai, Khet Bang Bon, Krung Thep Maha Nakhon 10150, Thailand']",15.6 km,25 mins
4,กระทุ่มแบน,"('กระทุ่มแบน', 'สมุทรสาคร')",นครชัยศรี,"('นครชัยศรี', 'นครปฐม')","['M749+82G, Tha Mai, Krathum Baen District, Samut Sakhon 74110, Thailand']","['R52Q+F32, Phet Kasem Rd, Tambon Nakhon Chai Si, Amphoe Nakhon Chai Si, Chang Wat Nakhon Pathom 73120, Thailand']",28.2 km,36 mins
5,กระทุ่มแบน,"('กระทุ่มแบน', 'สมุทรสาคร')",บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')","['M749+82G, Tha Mai, Krathum Baen District, Samut Sakhon 74110, Thailand']","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']",23.2 km,34 mins
6,กระทุ่มแบน,"('กระทุ่มแบน', 'สมุทรสาคร')",สามพราน,"('สามพราน', 'นครปฐม')","['M749+82G, Tha Mai, Krathum Baen District, Samut Sakhon 74110, Thailand']","['ที่ว่าการ Tambon Sam Phran, Amphoe Sam Phran, Chang Wat Nakhon Pathom 73110, Thailand']",20.3 km,27 mins
7,กระทุ่มแบน,"('กระทุ่มแบน', 'สมุทรสาคร')",เมืองสมุทรสาคร,"('เมืองสมุทรสาคร', 'สมุทรสาคร')","['M749+82G, Tha Mai, Krathum Baen District, Samut Sakhon 74110, Thailand']","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']",16.3 km,26 mins
8,บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')",เมืองนครปฐม,"('เมืองนครปฐม', 'นครปฐม')","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']",29.8 km,31 mins
9,บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')",กระทุ่มแบน,"('กระทุ่มแบน', 'สมุทรสาคร')","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']","['M749+82G, Tha Mai, Krathum Baen District, Samut Sakhon 74110, Thailand']",21.2 km,31 mins
10,บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')",เมืองสมุทรสงคราม,"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']","['ที่ว่าการ Soi Ekkachai, Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram 75000, Thailand']",34.4 km,37 mins
11,บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')",บางคนที,"('บางคนที', 'สมุทรสงคราม')","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']","['FW9R+G5F, Bang Khonthi, Bang Khonthi District, Samut Songkhram 75120, Thailand']",29.6 km,45 mins
12,บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')",อัมพวา,"('อัมพวา', 'สมุทรสงคราม')","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']","['CXF4+QWW, Amphawa, Amphawa District, Samut Songkhram 75110, Thailand']",32.0 km,45 mins
13,บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')",สามพราน,"('สามพราน', 'นครปฐม')","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']","['ที่ว่าการ Tambon Sam Phran, Amphoe Sam Phran, Chang Wat Nakhon Pathom 73110, Thailand']",26.8 km,40 mins
14,บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')",เมืองสมุทรสาคร,"('เมืองสมุทรสาคร', 'สมุทรสาคร')","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']",25.5 km,31 mins
15,บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')",ดำเนินสะดวก,"('ดำเนินสะดวก', 'ราชบุรี')","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']","['GX93+4R2, Damnoen Saduak, Damnoen Saduak District, Ratchaburi 70130, Thailand']",22.8 km,38 mins
16,บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')",บางแพ,"('บางแพ', 'ราชบุรี')","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']","['MWRJ+G54, Bang Phae, Bang Phae District, Ratchaburi 70160, Thailand']",29.0 km,32 mins
17,เมืองสมุทรสาคร,"('เมืองสมุทรสาคร', 'สมุทรสาคร')",บางขุนเทียน,"('บางขุนเทียน', 'กรุงเทพมหานคร')","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']","['164 Rama 2 Rd, Khwaeng Samae Dam, Khet Bang Khun Thian, Krung Thep Maha Nakhon 10150, Thailand']",23.2 km,24 mins
18,เมืองสมุทรสาคร,"('เมืองสมุทรสาคร', 'สมุทรสาคร')",หนองแขม,"('หนองแขม', 'กรุงเทพมหานคร')","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']","['2257 Phet Kasem Rd, Khwaeng Nong Khang Phlu, Khet Nong Khaem, Krung Thep Maha Nakhon 10160, Thailand']",25.7 km,35 mins
19,เมืองสมุทรสาคร,"('เมืองสมุทรสาคร', 'สมุทรสาคร')",บางบอน,"('บางบอน', 'กรุงเทพมหานคร')","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']","['1 Ekkachai Rd, Bang Bon Tai, Khet Bang Bon, Krung Thep Maha Nakhon 10150, Thailand']",15.9 km,20 mins
20,เมืองสมุทรสาคร,"('เมืองสมุทรสาคร', 'สมุทรสาคร')",กระทุ่มแบน,"('กระทุ่มแบน', 'สมุทรสาคร')","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']","['M749+82G, Tha Mai, Krathum Baen District, Samut Sakhon 74110, Thailand']",15.5 km,24 mins
21,เมืองสมุทรสาคร,"('เมืองสมุทรสาคร', 'สมุทรสาคร')",บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']",27.0 km,32 mins
22,เมืองสมุทรสาคร,"('เมืองสมุทรสาคร', 'สมุทรสาคร')",เมืองสมุทรสงคราม,"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']","['ที่ว่าการ Soi Ekkachai, Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram 75000, Thailand']",37.8 km,35 mins
23,เมืองสมุทรสาคร,"('เมืองสมุทรสาคร', 'สมุทรสาคร')",ดำเนินสะดวก,"('ดำเนินสะดวก', 'ราชบุรี')","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']","['GX93+4R2, Damnoen Saduak, Damnoen Saduak District, Ratchaburi 70130, Thailand']",56.8 km,54 mins
