,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองสมุทรสงคราม,"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')","['ที่ว่าการ Soi Ekkachai, Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram 75000, Thailand']","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']",33.6 km,37 mins
1,เมืองสมุทรสงคราม,"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",บางคนที,"('บางคนที', 'สมุทรสงคราม')","['ที่ว่าการ Soi Ekkachai, Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram 75000, Thailand']","['FW9R+G5F, Bang Khonthi, Bang Khonthi District, Samut Songkhram 75120, Thailand']",13.2 km,20 mins
2,เมืองสมุทรสงคราม,"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",อัมพวา,"('อัมพวา', 'สมุทรสงคราม')","['ที่ว่าการ Soi Ekkachai, Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram 75000, Thailand']","['CXF4+QWW, Amphawa, Amphawa District, Samut Songkhram 75110, Thailand']",7.6 km,11 mins
3,เมืองสมุทรสงคราม,"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",เมืองสมุทรสาคร,"('เมืองสมุทรสาคร', 'สมุทรสาคร')","['ที่ว่าการ Soi Ekkachai, Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram 75000, Thailand']","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']",38.7 km,39 mins
4,เมืองสมุทรสงคราม,"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",ดำเนินสะดวก,"('ดำเนินสะดวก', 'ราชบุรี')","['ที่ว่าการ Soi Ekkachai, Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram 75000, Thailand']","['GX93+4R2, Damnoen Saduak, Damnoen Saduak District, Ratchaburi 70130, Thailand']",20.7 km,23 mins
5,เมืองสมุทรสงคราม,"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",บ้านแหลม,"('บ้านแหลม', 'เพชรบุรี')","['ที่ว่าการ Soi Ekkachai, Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram 75000, Thailand']","['6X2J+635, Ban Laem, Ban Laem District, Phetchaburi 76110, Thailand']",36.3 km,42 mins
6,บางคนที,"('บางคนที', 'สมุทรสงคราม')",บ้านแพ้ว,"('บ้านแพ้ว', 'สมุทรสาคร')","['FW9R+G5F, Bang Khonthi, Bang Khonthi District, Samut Songkhram 75120, Thailand']","['H4R5+63P, Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand']",30.4 km,47 mins
7,บางคนที,"('บางคนที', 'สมุทรสงคราม')",เมืองสมุทรสงคราม,"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')","['FW9R+G5F, Bang Khonthi, Bang Khonthi District, Samut Songkhram 75120, Thailand']","['ที่ว่าการ Soi Ekkachai, Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram 75000, Thailand']",12.3 km,19 mins
8,บางคนที,"('บางคนที', 'สมุทรสงคราม')",อัมพวา,"('อัมพวา', 'สมุทรสงคราม')","['FW9R+G5F, Bang Khonthi, Bang Khonthi District, Samut Songkhram 75120, Thailand']","['CXF4+QWW, Amphawa, Amphawa District, Samut Songkhram 75110, Thailand']",5.9 km,11 mins
9,บางคนที,"('บางคนที', 'สมุทรสงคราม')",เมืองราชบุรี,"('เมืองราชบุรี', 'ราชบุรี')","['FW9R+G5F, Bang Khonthi, Bang Khonthi District, Samut Songkhram 75120, Thailand']","['GRH7+G3R, Na Muang, Mueang Ratchaburi, Ratchaburi 70000, Thailand']",23.0 km,31 mins
