,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองนครศรีธรรมราช,"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",พรหมคีรี,"('พรหมคีรี', 'นครศรีธรรมราช')","['ที่ว่าการ, FXJ8+9WV ตำบล ปากพูน อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000, Thailand']","['148/1, Tambon Phrommalok, Amphoe Phrom Khiri, Nakhon Si Thammarat, 80320, อำเภอ พรหมคีรี นครศรีธรรมราช 80320, Thailand']",25.6 km,30 mins
1,เมืองนครศรีธรรมราช,"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",ลานสกา,"('ลานสกา', 'นครศรีธรรมราช')","['ที่ว่าการ, FXJ8+9WV ตำบล ปากพูน อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000, Thailand']","['9RC4+66P, Khao Kaeo, Lan Saka District, Nakhon Si Thammarat 80230, Thailand']",27.2 km,33 mins
2,เมืองนครศรีธรรมราช,"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",ท่าศาลา,"('ท่าศาลา', 'นครศรีธรรมราช')","['ที่ว่าการ, FXJ8+9WV ตำบล ปากพูน อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000, Thailand']","['MW8J+X92, Tha Sala, Tha Sala District, Nakhon Si Thammarat 80160, Thailand']",26.9 km,30 mins
3,เมืองนครศรีธรรมราช,"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",ปากพนัง,"('ปากพนัง', 'นครศรีธรรมราช')","['ที่ว่าการ, FXJ8+9WV ตำบล ปากพูน อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000, Thailand']","['9654+635, Pak Phanang Fangtawanok, Pak Phanang District, Nakhon Si Thammarat 80140, Thailand']",43.4 km,45 mins
4,เมืองนครศรีธรรมราช,"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",ร่อนพิบูลย์,"('ร่อนพิบูลย์', 'นครศรีธรรมราช')","['ที่ว่าการ, FXJ8+9WV ตำบล ปากพูน อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000, Thailand']","['5VH3+QXR, Ron Phibun, Ron Phibun District, Nakhon Si Thammarat 80130, Thailand']",41.4 km,46 mins
5,เมืองนครศรีธรรมราช,"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",พระพรหม,"('พระพรหม', 'นครศรีธรรมราช')","['ที่ว่าการ, FXJ8+9WV ตำบล ปากพูน อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000, Thailand']","['99/4 ตำบล นาพรุ หมู่ที่ 7 Tambon Na Phru, Amphoe Phra Phrom, Chang Wat Nakhon Si Thammarat 80000, Thailand']",25.6 km,32 mins
6,เมืองนครศรีธรรมราช,"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",เฉลิมพระเกียรติ,"('เฉลิมพระเกียรติ', 'นครศรีธรรมราช')","['ที่ว่าการ, FXJ8+9WV ตำบล ปากพูน อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000, Thailand']","['95/1 หมู่ที่ 11 Tambon Suan Luang, Amphoe Chaloem Phra Kiat, Chang Wat Nakhon Si Thammarat 80190, Thailand']",39.0 km,42 mins
7,พรหมคีรี,"('พรหมคีรี', 'นครศรีธรรมราช')",เมืองนครศรีธรรมราช,"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')","['148/1, Tambon Phrommalok, Amphoe Phrom Khiri, Nakhon Si Thammarat, 80320, อำเภอ พรหมคีรี นครศรีธรรมราช 80320, Thailand']","['ที่ว่าการ, FXJ8+9WV ตำบล ปากพูน อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000, Thailand']",22.9 km,27 mins
8,พรหมคีรี,"('พรหมคีรี', 'นครศรีธรรมราช')",ลานสกา,"('ลานสกา', 'นครศรีธรรมราช')","['148/1, Tambon Phrommalok, Amphoe Phrom Khiri, Nakhon Si Thammarat, 80320, อำเภอ พรหมคีรี นครศรีธรรมราช 80320, Thailand']","['9RC4+66P, Khao Kaeo, Lan Saka District, Nakhon Si Thammarat 80230, Thailand']",25.0 km,25 mins
9,พรหมคีรี,"('พรหมคีรี', 'นครศรีธรรมราช')",ฉวาง,"('ฉวาง', 'นครศรีธรรมราช')","['148/1, Tambon Phrommalok, Amphoe Phrom Khiri, Nakhon Si Thammarat, 80320, อำเภอ พรหมคีรี นครศรีธรรมราช 80320, Thailand']","['CGG3+CV6, Chawang District, Nakhon Si Thammarat 80260, Thailand']",67.0 km,1 hour 9 mins
