,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองกระบี่,"('เมืองกระบี่', 'กระบี่')",เขาพนม,"('เขาพนม', 'กระบี่')","['7 Khongkha Rd, Tambon Pak Nam, Amphoe Mueang Krabi, Chang Wat Krabi 81000, Thailand']","['728X+2XV Khao Phanom Exercise Park, Tambon Khao Phanom, Amphoe Khao Phanom, Chang Wat Krabi 81140, Thailand']",33.7 km,41 mins
1,เมืองกระบี่,"('เมืองกระบี่', 'กระบี่')",อ่าวลึก,"('อ่าวลึก', 'กระบี่')","['7 Khongkha Rd, Tambon Pak Nam, Amphoe Mueang Krabi, Chang Wat Krabi 81000, Thailand']","['4/17, Moo 2, Tambon Aowluktai, Amphoe Aoeluk, Krabi, 81110, ตำบล อ่าวลึกใต้ อำเภอ อ่าวลึก กระบี่ 81110, Thailand']",44.9 km,43 mins
2,เมืองกระบี่,"('เมืองกระบี่', 'กระบี่')",เหนือคลอง,"('เหนือคลอง', 'กระบี่')","['7 Khongkha Rd, Tambon Pak Nam, Amphoe Mueang Krabi, Chang Wat Krabi 81000, Thailand']","['958 Moo.2, Tambon Nuea Khlong, Amphoe Nuea Khlong, Krabi, 81130, ตำบล เหนือคลอง อำเภอเหนือคลอง กระบี่ 81130, Thailand']",17.8 km,28 mins
3,เขาพนม,"('เขาพนม', 'กระบี่')",ทุ่งใหญ่,"('ทุ่งใหญ่', 'นครศรีธรรมราช')","['728X+2XV Khao Phanom Exercise Park, Tambon Khao Phanom, Amphoe Khao Phanom, Chang Wat Krabi 81140, Thailand']","['79WF+GPG, Tha Yang, Thung Yai District, Nakhon Si Thammarat 80240, Thailand']",42.5 km,42 mins
4,เขาพนม,"('เขาพนม', 'กระบี่')",เมืองกระบี่,"('เมืองกระบี่', 'กระบี่')","['728X+2XV Khao Phanom Exercise Park, Tambon Khao Phanom, Amphoe Khao Phanom, Chang Wat Krabi 81140, Thailand']","['7 Khongkha Rd, Tambon Pak Nam, Amphoe Mueang Krabi, Chang Wat Krabi 81000, Thailand']",33.3 km,40 mins
5,เขาพนม,"('เขาพนม', 'กระบี่')",คลองท่อม,"('คลองท่อม', 'กระบี่')","['728X+2XV Khao Phanom Exercise Park, Tambon Khao Phanom, Amphoe Khao Phanom, Chang Wat Krabi 81140, Thailand']","['3, Tambon Khlong Thom Tai, Amphoe Khlong Thom, Krabi, 81120, ตำบล คลองท่อมใต้ อำเภอคลองท่อม กระบี่ 81120, Thailand']",45.9 km,40 mins
6,เขาพนม,"('เขาพนม', 'กระบี่')",อ่าวลึก,"('อ่าวลึก', 'กระบี่')","['728X+2XV Khao Phanom Exercise Park, Tambon Khao Phanom, Amphoe Khao Phanom, Chang Wat Krabi 81140, Thailand']","['4/17, Moo 2, Tambon Aowluktai, Amphoe Aoeluk, Krabi, 81110, ตำบล อ่าวลึกใต้ อำเภอ อ่าวลึก กระบี่ 81110, Thailand']",58.4 km,55 mins
7,เขาพนม,"('เขาพนม', 'กระบี่')",ปลายพระยา,"('ปลายพระยา', 'กระบี่')","['728X+2XV Khao Phanom Exercise Park, Tambon Khao Phanom, Amphoe Khao Phanom, Chang Wat Krabi 81140, Thailand']","['GVM7+6JP, Plai Phraya, Plai Phraya District, Krabi 81160, Thailand']",60.9 km,58 mins
8,เขาพนม,"('เขาพนม', 'กระบี่')",ลำทับ,"('ลำทับ', 'กระบี่')","['728X+2XV Khao Phanom Exercise Park, Tambon Khao Phanom, Amphoe Khao Phanom, Chang Wat Krabi 81140, Thailand']","['37FR+3R5 ถนนอนุสรณ์พระเศวต Tambon Lam Thap, Amphoe Lam Thap, Chang Wat Krabi 81120, Thailand']",53.3 km,51 mins
9,เขาพนม,"('เขาพนม', 'กระบี่')",เหนือคลอง,"('เหนือคลอง', 'กระบี่')","['728X+2XV Khao Phanom Exercise Park, Tambon Khao Phanom, Amphoe Khao Phanom, Chang Wat Krabi 81140, Thailand']","['958 Moo.2, Tambon Nuea Khlong, Amphoe Nuea Khlong, Krabi, 81130, ตำบล เหนือคลอง อำเภอเหนือคลอง กระบี่ 81130, Thailand']",23.6 km,23 mins
10,เขาพนม,"('เขาพนม', 'กระบี่')",พระแสง,"('พระแสง', 'สุราษฎร์ธานี')","['728X+2XV Khao Phanom Exercise Park, Tambon Khao Phanom, Amphoe Khao Phanom, Chang Wat Krabi 81140, Thailand']","['132 ม.1 ถนนวิภาวดี Tambon I Pan, Amphoe Phrasaeng, Chang Wat Surat Thani 84210, Thailand']",56.0 km,57 mins
