,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองสุราษฎร์ธานี,"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')",กาญจนดิษฐ์,"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')","['170 Talad Mai Rd, Tambon Talat, Amphoe Mueang Surat Thani, Chang Wat Surat Thani 84000, Thailand']","['5F8C+6C6, Kadae, Kanchanadit District, Surat Thani 84160, Thailand']",18.4 km,28 mins
1,เมืองสุราษฎร์ธานี,"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')",ท่าฉาง,"('ท่าฉาง', 'สุราษฎร์ธานี')","['170 Talad Mai Rd, Tambon Talat, Amphoe Mueang Surat Thani, Chang Wat Surat Thani 84000, Thailand']","['76J2+958, 4112, Tambon Khao Than, Amphoe Tha Chang, Chang Wat Surat Thani 84150, Thailand']",26.6 km,38 mins
2,เมืองสุราษฎร์ธานี,"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')",บ้านนาสาร,"('บ้านนาสาร', 'สุราษฎร์ธานี')","['170 Talad Mai Rd, Tambon Talat, Amphoe Mueang Surat Thani, Chang Wat Surat Thani 84000, Thailand']","['50 ถนนเทศบาล 1 Tambon Na San, Amphoe Ban Na San, Chang Wat Surat Thani 84120, Thailand']",42.5 km,51 mins
3,เมืองสุราษฎร์ธานี,"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')",พุนพิน,"('พุนพิน', 'สุราษฎร์ธานี')","['170 Talad Mai Rd, Tambon Talat, Amphoe Mueang Surat Thani, Chang Wat Surat Thani 84000, Thailand']","['466J+2MV, Phunphin District, Surat Thani 84130, Thailand']",13.7 km,23 mins
4,เมืองสุราษฎร์ธานี,"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')",บ้านนาเดิม,"('บ้านนาเดิม', 'สุราษฎร์ธานี')","['170 Talad Mai Rd, Tambon Talat, Amphoe Mueang Surat Thani, Chang Wat Surat Thani 84000, Thailand']","['หมู่ 2, อาคารที่ว่าการอำเภอบ้านนาเดิม, ตำบลบ้านนา อำเภอบ้านนาเดิม จังหวัดสุราษฎร์ธานี, 84240 Tambon Ban Na, Amphoe Ban Na Doem, Chang Wat Surat Thani 84240, Thailand']",38.9 km,45 mins
5,กาญจนดิษฐ์,"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')",สิชล,"('สิชล', 'นครศรีธรรมราช')","['5F8C+6C6, Kadae, Kanchanadit District, Surat Thani 84160, Thailand']","['XV7W+FHV, Thung Prang, Sichon District, Nakhon Si Thammarat 80120, Thailand']",58.9 km,48 mins
6,กาญจนดิษฐ์,"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')",ขนอม,"('ขนอม', 'นครศรีธรรมราช')","['5F8C+6C6, Kadae, Kanchanadit District, Surat Thani 84160, Thailand']","['6V36+WFM, Khanom District, Nakhon Si Thammarat 80210, Thailand']",56.0 km,48 mins
7,กาญจนดิษฐ์,"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')",นบพิตำ,"('นบพิตำ', 'นครศรีธรรมราช')","['5F8C+6C6, Kadae, Kanchanadit District, Surat Thani 84160, Thailand']","['PQ92+QMP, Nopphitam, Nopphitam District, Nakhon Si Thammarat 80160, Thailand']",103 km,1 hour 32 mins
8,กาญจนดิษฐ์,"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')",เมืองสุราษฎร์ธานี,"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')","['5F8C+6C6, Kadae, Kanchanadit District, Surat Thani 84160, Thailand']","['170 Talad Mai Rd, Tambon Talat, Amphoe Mueang Surat Thani, Chang Wat Surat Thani 84000, Thailand']",18.5 km,28 mins
9,กาญจนดิษฐ์,"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')",ดอนสัก,"('ดอนสัก', 'สุราษฎร์ธานี')","['5F8C+6C6, Kadae, Kanchanadit District, Surat Thani 84160, Thailand']","['8M8R+586, Don Sak, Don Sak District, Surat Thani 84220, Thailand']",46.1 km,40 mins
