,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองระนอง,"('เมืองระนอง', 'ระนอง')",พะโต๊ะ,"('พะโต๊ะ', 'ชุมพร')","['XJ4Q+R2R, Bang Rin, Mueang Ranong District, Ranong 85000, Thailand']","['8 Moo 1, Tambon Phato, Amphoe Phato, Chang Wat Chumphon 86180, Thailand']",51.0 km,50 mins
1,เมืองระนอง,"('เมืองระนอง', 'ระนอง')",ละอุ่น,"('ละอุ่น', 'ระนอง')","['XJ4Q+R2R, Bang Rin, Mueang Ranong District, Ranong 85000, Thailand']","['6 หมู่ 6, ตำบลละอุ่นใต้ อำเภอละอุ่น จังหวัดระนอง, 85130 Tambon La-un Tai, Amphoe La-un, Chang Wat Ranong 85130, Thailand']",33.5 km,41 mins
2,เมืองระนอง,"('เมืองระนอง', 'ระนอง')",กะเปอร์,"('กะเปอร์', 'ระนอง')","['XJ4Q+R2R, Bang Rin, Mueang Ranong District, Ranong 85000, Thailand']","['อาคารที่ว่าการอำเภอกะเปอร์, ถนนเพชรเกษม, ตำบลกะเปอร์ อำเภอกะเปอร์ จังหวัดระนอง, 85120 กะเปอร์ Tambon Kapoe, Amphoe Kapoe, Chang Wat Ranong 85120, Thailand']",51.6 km,46 mins
3,เมืองระนอง,"('เมืองระนอง', 'ระนอง')",กระบุรี,"('กระบุรี', 'ระนอง')","['XJ4Q+R2R, Bang Rin, Mueang Ranong District, Ranong 85000, Thailand']","['ศูนย์ดำรงธรรม, Tambon Nam Chuet Noi, Amphoe Kra Buri, Chang Wat Ranong 85110, Thailand']",63.2 km,59 mins
4,ละอุ่น,"('ละอุ่น', 'ระนอง')",หลังสวน,"('หลังสวน', 'ชุมพร')","['6 หมู่ 6, ตำบลละอุ่นใต้ อำเภอละอุ่น จังหวัดระนอง, 85130 Tambon La-un Tai, Amphoe La-un, Chang Wat Ranong 85130, Thailand']","['W3WH+5CH, Khan Ngoen, Lang Suan District, Chumphon 86110, Thailand']",82.8 km,1 hour 26 mins
5,ละอุ่น,"('ละอุ่น', 'ระนอง')",พะโต๊ะ,"('พะโต๊ะ', 'ชุมพร')","['6 หมู่ 6, ตำบลละอุ่นใต้ อำเภอละอุ่น จังหวัดระนอง, 85130 Tambon La-un Tai, Amphoe La-un, Chang Wat Ranong 85130, Thailand']","['8 Moo 1, Tambon Phato, Amphoe Phato, Chang Wat Chumphon 86180, Thailand']",83.5 km,1 hour 26 mins
6,ละอุ่น,"('ละอุ่น', 'ระนอง')",สวี,"('สวี', 'ชุมพร')","['6 หมู่ 6, ตำบลละอุ่นใต้ อำเภอละอุ่น จังหวัดระนอง, 85130 Tambon La-un Tai, Amphoe La-un, Chang Wat Ranong 85130, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอสวี, ตำบลสวี อำเภอสวี จังหวัดชุมพร, 86130 Tambon Sawi, Amphoe Sawi, Chang Wat Chumphon 86130, Thailand']",70.5 km,1 hour 14 mins
7,ละอุ่น,"('ละอุ่น', 'ระนอง')",ทุ่งตะโก,"('ทุ่งตะโก', 'ชุมพร')","['6 หมู่ 6, ตำบลละอุ่นใต้ อำเภอละอุ่น จังหวัดระนอง, 85130 Tambon La-un Tai, Amphoe La-un, Chang Wat Ranong 85130, Thailand']","['436M+62F, AH2, Tambon Thung Takhrai, Amphoe Thung Tako, Chang Wat Chumphon 86220, Thailand']",62.9 km,1 hour 7 mins
8,ละอุ่น,"('ละอุ่น', 'ระนอง')",เมืองระนอง,"('เมืองระนอง', 'ระนอง')","['6 หมู่ 6, ตำบลละอุ่นใต้ อำเภอละอุ่น จังหวัดระนอง, 85130 Tambon La-un Tai, Amphoe La-un, Chang Wat Ranong 85130, Thailand']","['XJ4Q+R2R, Bang Rin, Mueang Ranong District, Ranong 85000, Thailand']",33.4 km,40 mins
9,ละอุ่น,"('ละอุ่น', 'ระนอง')",กระบุรี,"('กระบุรี', 'ระนอง')","['6 หมู่ 6, ตำบลละอุ่นใต้ อำเภอละอุ่น จังหวัดระนอง, 85130 Tambon La-un Tai, Amphoe La-un, Chang Wat Ranong 85130, Thailand']","['ศูนย์ดำรงธรรม, Tambon Nam Chuet Noi, Amphoe Kra Buri, Chang Wat Ranong 85110, Thailand']",46.7 km,47 mins
