,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองชุมพร,"('เมืองชุมพร', 'ชุมพร')",ท่าแซะ,"('ท่าแซะ', 'ชุมพร')","['F5VH+4MM, Tha Taphao, Mueang Chumphon District, Chumphon 86000, Thailand']","['M57F+P37, Tha Sae, Tha Sae District, Chumphon 86140, Thailand']",24.2 km,28 mins
1,เมืองชุมพร,"('เมืองชุมพร', 'ชุมพร')",ปะทิว,"('ปะทิว', 'ชุมพร')","['F5VH+4MM, Tha Taphao, Mueang Chumphon District, Chumphon 86000, Thailand']","['หมู่ 7, อาคารที่ว่าการ, ตำบล บางสน อำเภอปะทิว ชุมพร 86160, Thailand']",32.6 km,37 mins
2,เมืองชุมพร,"('เมืองชุมพร', 'ชุมพร')",สวี,"('สวี', 'ชุมพร')","['F5VH+4MM, Tha Taphao, Mueang Chumphon District, Chumphon 86000, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอสวี, ตำบลสวี อำเภอสวี จังหวัดชุมพร, 86130 Tambon Sawi, Amphoe Sawi, Chang Wat Chumphon 86130, Thailand']",37.2 km,34 mins
3,เมืองชุมพร,"('เมืองชุมพร', 'ชุมพร')",กระบุรี,"('กระบุรี', 'ระนอง')","['F5VH+4MM, Tha Taphao, Mueang Chumphon District, Chumphon 86000, Thailand']","['ศูนย์ดำรงธรรม, Tambon Nam Chuet Noi, Amphoe Kra Buri, Chang Wat Ranong 85110, Thailand']",59.9 km,56 mins
4,ท่าแซะ,"('ท่าแซะ', 'ชุมพร')",เมืองชุมพร,"('เมืองชุมพร', 'ชุมพร')","['M57F+P37, Tha Sae, Tha Sae District, Chumphon 86140, Thailand']","['F5VH+4MM, Tha Taphao, Mueang Chumphon District, Chumphon 86000, Thailand']",24.1 km,28 mins
5,ท่าแซะ,"('ท่าแซะ', 'ชุมพร')",ปะทิว,"('ปะทิว', 'ชุมพร')","['M57F+P37, Tha Sae, Tha Sae District, Chumphon 86140, Thailand']","['หมู่ 7, อาคารที่ว่าการ, ตำบล บางสน อำเภอปะทิว ชุมพร 86160, Thailand']",23.1 km,25 mins
6,ท่าแซะ,"('ท่าแซะ', 'ชุมพร')",กระบุรี,"('กระบุรี', 'ระนอง')","['M57F+P37, Tha Sae, Tha Sae District, Chumphon 86140, Thailand']","['ศูนย์ดำรงธรรม, Tambon Nam Chuet Noi, Amphoe Kra Buri, Chang Wat Ranong 85110, Thailand']",75.4 km,1 hour 7 mins
7,ท่าแซะ,"('ท่าแซะ', 'ชุมพร')",บางสะพานน้อย,"('บางสะพานน้อย', 'ประจวบคีรีขันธ์')","['M57F+P37, Tha Sae, Tha Sae District, Chumphon 86140, Thailand']","['3CGR+3G8, Bang Saphan, Bang Saphan Noi District, Prachuap Khiri Khan 77170, Thailand']",66.1 km,55 mins
8,ปะทิว,"('ปะทิว', 'ชุมพร')",เมืองชุมพร,"('เมืองชุมพร', 'ชุมพร')","['หมู่ 7, อาคารที่ว่าการ, ตำบล บางสน อำเภอปะทิว ชุมพร 86160, Thailand']","['F5VH+4MM, Tha Taphao, Mueang Chumphon District, Chumphon 86000, Thailand']",32.6 km,37 mins
9,ปะทิว,"('ปะทิว', 'ชุมพร')",ท่าแซะ,"('ท่าแซะ', 'ชุมพร')","['หมู่ 7, อาคารที่ว่าการ, ตำบล บางสน อำเภอปะทิว ชุมพร 86160, Thailand']","['M57F+P37, Tha Sae, Tha Sae District, Chumphon 86140, Thailand']",23.2 km,25 mins
10,ปะทิว,"('ปะทิว', 'ชุมพร')",บางสะพานน้อย,"('บางสะพานน้อย', 'ประจวบคีรีขันธ์')","['หมู่ 7, อาคารที่ว่าการ, ตำบล บางสน อำเภอปะทิว ชุมพร 86160, Thailand']","['3CGR+3G8, Bang Saphan, Bang Saphan Noi District, Prachuap Khiri Khan 77170, Thailand']",58.7 km,1 hour 3 mins
11,หลังสวน,"('หลังสวน', 'ชุมพร')",ละแม,"('ละแม', 'ชุมพร')","['W3WH+5CH, Khan Ngoen, Lang Suan District, Chumphon 86110, Thailand']","['Q39R+5VP, Lamae, Lamae District, Chumphon 86170, Thailand']",24.8 km,23 mins
12,หลังสวน,"('หลังสวน', 'ชุมพร')",พะโต๊ะ,"('พะโต๊ะ', 'ชุมพร')","['W3WH+5CH, Khan Ngoen, Lang Suan District, Chumphon 86110, Thailand']","['8 Moo 1, Tambon Phato, Amphoe Phato, Chang Wat Chumphon 86180, Thailand']",48.4 km,50 mins
13,หลังสวน,"('หลังสวน', 'ชุมพร')",สวี,"('สวี', 'ชุมพร')","['W3WH+5CH, Khan Ngoen, Lang Suan District, Chumphon 86110, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอสวี, ตำบลสวี อำเภอสวี จังหวัดชุมพร, 86130 Tambon Sawi, Amphoe Sawi, Chang Wat Chumphon 86130, Thailand']",38.1 km,38 mins
14,หลังสวน,"('หลังสวน', 'ชุมพร')",ทุ่งตะโก,"('ทุ่งตะโก', 'ชุมพร')","['W3WH+5CH, Khan Ngoen, Lang Suan District, Chumphon 86110, Thailand']","['436M+62F, AH2, Tambon Thung Takhrai, Amphoe Thung Tako, Chang Wat Chumphon 86220, Thailand']",20.2 km,21 mins
