,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,ละงู,"('ละงู', 'สตูล')",ทุ่งหว้า,"('ทุ่งหว้า', 'สตูล')","['VR73+H2C, La-ngu, La-ngu District, Satun 91110, Thailand']","['3QR9+344, Thung Wa, Thung Wa District, Satun 91120, Thailand']",34.4 km,36 mins
1,ละงู,"('ละงู', 'สตูล')",มะนัง,"('มะนัง', 'สตูล')","['VR73+H2C, La-ngu, La-ngu District, Satun 91110, Thailand']","['XWXC+CMM, Palm Phatthana, Manang District, Satun 91130, Thailand']",26.7 km,35 mins
2,ละงู,"('ละงู', 'สตูล')",เมืองสตูล,"('เมืองสตูล', 'สตูล')","['VR73+H2C, La-ngu, La-ngu District, Satun 91110, Thailand']","['M32P+449, Khlong Khut, Mueang Satun District, Satun 91000, Thailand']",45.8 km,47 mins
3,ละงู,"('ละงู', 'สตูล')",ควนกาหลง,"('ควนกาหลง', 'สตูล')","['VR73+H2C, La-ngu, La-ngu District, Satun 91110, Thailand']","['ถนนทีไมมีชือ, Tambon Khuan Kalong, Amphoe Khuan Kalong, Chang Wat Satun 91130, Thailand']",33.3 km,31 mins
4,ละงู,"('ละงู', 'สตูล')",ท่าแพ,"('ท่าแพ', 'สตูล')","['VR73+H2C, La-ngu, La-ngu District, Satun 91110, Thailand']","['QXQC+W3V, Tha Phae, Tha Phae District, Satun 91150, Thailand']",23.3 km,23 mins
5,ทุ่งหว้า,"('ทุ่งหว้า', 'สตูล')",ละงู,"('ละงู', 'สตูล')","['3QR9+344, Thung Wa, Thung Wa District, Satun 91120, Thailand']","['VR73+H2C, La-ngu, La-ngu District, Satun 91110, Thailand']",34.4 km,37 mins
6,ทุ่งหว้า,"('ทุ่งหว้า', 'สตูล')",มะนัง,"('มะนัง', 'สตูล')","['3QR9+344, Thung Wa, Thung Wa District, Satun 91120, Thailand']","['XWXC+CMM, Palm Phatthana, Manang District, Satun 91130, Thailand']",26.0 km,30 mins
7,ทุ่งหว้า,"('ทุ่งหว้า', 'สตูล')",ปะเหลียน,"('ปะเหลียน', 'ตรัง')","['3QR9+344, Thung Wa, Thung Wa District, Satun 91120, Thailand']","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']",32.3 km,29 mins
8,ทุ่งหว้า,"('ทุ่งหว้า', 'สตูล')",ตะโหมด,"('ตะโหมด', 'พัทลุง')","['3QR9+344, Thung Wa, Thung Wa District, Satun 91120, Thailand']","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']",146 km,2 hours 8 mins
9,ทุ่งหว้า,"('ทุ่งหว้า', 'สตูล')",ควนกาหลง,"('ควนกาหลง', 'สตูล')","['3QR9+344, Thung Wa, Thung Wa District, Satun 91120, Thailand']","['ถนนทีไมมีชือ, Tambon Khuan Kalong, Amphoe Khuan Kalong, Chang Wat Satun 91130, Thailand']",61.7 km,58 mins
