,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองปัตตานี,"('เมืองปัตตานี', 'ปัตตานี')",หนองจิก,"('หนองจิก', 'ปัตตานี')","['V792+H3P, Sabarang, Mueang Pattani District, Pattani 94000, Thailand']","['R5VH+PFG, Tuyong, Nong Chik District, Pattani 94170, Thailand']",9.2 km,13 mins
1,เมืองปัตตานี,"('เมืองปัตตานี', 'ปัตตานี')",ยะหริ่ง,"('ยะหริ่ง', 'ปัตตานี')","['V792+H3P, Sabarang, Mueang Pattani District, Pattani 94000, Thailand']","['ศูนย์ดำรงธรรมอำเภอยะหริ่ง, Tambon Yamu, Amphoe Yaring, Chang Wat Pattani 94150, Thailand']",14.4 km,18 mins
2,เมืองปัตตานี,"('เมืองปัตตานี', 'ปัตตานี')",ยะรัง,"('ยะรัง', 'ปัตตานี')","['V792+H3P, Sabarang, Mueang Pattani District, Pattani 94000, Thailand']","['Q76V+2FG, Yarang, Yarang District, Pattani 94160, Thailand']",17.1 km,24 mins
3,โคกโพธิ์,"('โคกโพธิ์', 'ปัตตานี')",เทพา,"('เทพา', 'สงขลา')","['P3JW+2F8, Khok Pho, Khok Pho District, Pattani 94120, Thailand']","['RXH7+HV5, Thepha, Thepha District, Songkhla 90150, Thailand']",29.2 km,30 mins
4,โคกโพธิ์,"('โคกโพธิ์', 'ปัตตานี')",สะบ้าย้อย,"('สะบ้าย้อย', 'สงขลา')","['P3JW+2F8, Khok Pho, Khok Pho District, Pattani 94120, Thailand']","['JWGX+GGV, Saba Yoi, Saba Yoi District, Songkhla 90210, Thailand']",32.0 km,34 mins
5,โคกโพธิ์,"('โคกโพธิ์', 'ปัตตานี')",หนองจิก,"('หนองจิก', 'ปัตตานี')","['P3JW+2F8, Khok Pho, Khok Pho District, Pattani 94120, Thailand']","['R5VH+PFG, Tuyong, Nong Chik District, Pattani 94170, Thailand']",17.4 km,18 mins
6,โคกโพธิ์,"('โคกโพธิ์', 'ปัตตานี')",ยะรัง,"('ยะรัง', 'ปัตตานี')","['P3JW+2F8, Khok Pho, Khok Pho District, Pattani 94120, Thailand']","['Q76V+2FG, Yarang, Yarang District, Pattani 94160, Thailand']",26.4 km,33 mins
7,โคกโพธิ์,"('โคกโพธิ์', 'ปัตตานี')",แม่ลาน,"('แม่ลาน', 'ปัตตานี')","['P3JW+2F8, Khok Pho, Khok Pho District, Pattani 94120, Thailand']","['M66Q+9W3, Mae Lan, Mae Lan District, Pattani 94180, Thailand']",24.9 km,26 mins
8,โคกโพธิ์,"('โคกโพธิ์', 'ปัตตานี')",เมืองยะลา,"('เมืองยะลา', 'ยะลา')","['P3JW+2F8, Khok Pho, Khok Pho District, Pattani 94120, Thailand']","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']",36.4 km,41 mins
9,โคกโพธิ์,"('โคกโพธิ์', 'ปัตตานี')",ยะหา,"('ยะหา', 'ยะลา')","['P3JW+2F8, Khok Pho, Khok Pho District, Pattani 94120, Thailand']","['F4HM+8W9, Yaha, Yaha District, Yala 95120, Thailand']",41.7 km,43 mins
10,หนองจิก,"('หนองจิก', 'ปัตตานี')",เทพา,"('เทพา', 'สงขลา')","['R5VH+PFG, Tuyong, Nong Chik District, Pattani 94170, Thailand']","['RXH7+HV5, Thepha, Thepha District, Songkhla 90150, Thailand']",31.2 km,29 mins
11,หนองจิก,"('หนองจิก', 'ปัตตานี')",เมืองปัตตานี,"('เมืองปัตตานี', 'ปัตตานี')","['R5VH+PFG, Tuyong, Nong Chik District, Pattani 94170, Thailand']","['V792+H3P, Sabarang, Mueang Pattani District, Pattani 94000, Thailand']",9.0 km,15 mins
12,หนองจิก,"('หนองจิก', 'ปัตตานี')",โคกโพธิ์,"('โคกโพธิ์', 'ปัตตานี')","['R5VH+PFG, Tuyong, Nong Chik District, Pattani 94170, Thailand']","['P3JW+2F8, Khok Pho, Khok Pho District, Pattani 94120, Thailand']",18.5 km,21 mins
13,หนองจิก,"('หนองจิก', 'ปัตตานี')",ยะรัง,"('ยะรัง', 'ปัตตานี')","['R5VH+PFG, Tuyong, Nong Chik District, Pattani 94170, Thailand']","['Q76V+2FG, Yarang, Yarang District, Pattani 94160, Thailand']",27.2 km,28 mins
14,หนองจิก,"('หนองจิก', 'ปัตตานี')",แม่ลาน,"('แม่ลาน', 'ปัตตานี')","['R5VH+PFG, Tuyong, Nong Chik District, Pattani 94170, Thailand']","['M66Q+9W3, Mae Lan, Mae Lan District, Pattani 94180, Thailand']",28.3 km,25 mins
15,หนองจิก,"('หนองจิก', 'ปัตตานี')",เมืองยะลา,"('เมืองยะลา', 'ยะลา')","['R5VH+PFG, Tuyong, Nong Chik District, Pattani 94170, Thailand']","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']",43.6 km,40 mins
