,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองยะลา,"('เมืองยะลา', 'ยะลา')",สะบ้าย้อย,"('สะบ้าย้อย', 'สงขลา')","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']","['JWGX+GGV, Saba Yoi, Saba Yoi District, Songkhla 90210, Thailand']",55.4 km,59 mins
1,เมืองยะลา,"('เมืองยะลา', 'ยะลา')",โคกโพธิ์,"('โคกโพธิ์', 'ปัตตานี')","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']","['P3JW+2F8, Khok Pho, Khok Pho District, Pattani 94120, Thailand']",40.7 km,41 mins
2,เมืองยะลา,"('เมืองยะลา', 'ยะลา')",หนองจิก,"('หนองจิก', 'ปัตตานี')","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']","['R5VH+PFG, Tuyong, Nong Chik District, Pattani 94170, Thailand']",46.1 km,39 mins
3,เมืองยะลา,"('เมืองยะลา', 'ยะลา')",มายอ,"('มายอ', 'ปัตตานี')","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']","['PC96+F28, Mayo, Mayo District, Pattani 94140, Thailand']",33.6 km,44 mins
4,เมืองยะลา,"('เมืองยะลา', 'ยะลา')",ทุ่งยางแดง,"('ทุ่งยางแดง', 'ปัตตานี')","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']","['98 ม.1, Tambon Talo Maena, Amphoe Thung Yang Daeng, Chang Wat Pattani 94140, Thailand']",23.0 km,31 mins
5,เมืองยะลา,"('เมืองยะลา', 'ยะลา')",ยะรัง,"('ยะรัง', 'ปัตตานี')","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']","['Q76V+2FG, Yarang, Yarang District, Pattani 94160, Thailand']",26.8 km,36 mins
6,เมืองยะลา,"('เมืองยะลา', 'ยะลา')",แม่ลาน,"('แม่ลาน', 'ปัตตานี')","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']","['M66Q+9W3, Mae Lan, Mae Lan District, Pattani 94180, Thailand']",17.1 km,19 mins
7,เมืองยะลา,"('เมืองยะลา', 'ยะลา')",ยะหา,"('ยะหา', 'ยะลา')","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']","['F4HM+8W9, Yaha, Yaha District, Yala 95120, Thailand']",21.9 km,25 mins
8,เมืองยะลา,"('เมืองยะลา', 'ยะลา')",รามัน,"('รามัน', 'ยะลา')","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']","['FCHF+FP3, Kayuboko, Raman District, Yala 95140, Thailand']",24.1 km,28 mins
9,เมืองยะลา,"('เมืองยะลา', 'ยะลา')",กรงปีนัง,"('กรงปีนัง', 'ยะลา')","['4, ถนนจงรักษ์ 2, ตำบลสะเตง อำเภอเมือง จังหวัดยะลา, 95000 Tambon Sateng, Amphoe Mueang Yala, Chang Wat Yala 95000, Thailand']","['หมู่ 3, อาคารที่ว่าการอำเภอกรงปินัง, ตำบลสะเอะ อำเภอกรงปินัง จังหวัดยะลา, 95000 Tambon Sa-ae, Amphoe Krong Pinang, Chang Wat Yala 95000, Thailand']",20.8 km,23 mins
10,เบตง,"('เบตง', 'ยะลา')",ศรีสาคร,"('ศรีสาคร', 'นราธิวาส')","['Betong 94, Sukkayang Road, Tambon Betong, Amphoe Betong, Yala, 90110, อำเภอเบตง ยะลา 95110, Thailand']","['6FJX+3RX, Sa Ko, Si Sakhon District, Narathiwat 96210, Thailand']",129 km,2 hours 31 mins
11,เบตง,"('เบตง', 'ยะลา')",จะแนะ,"('จะแนะ', 'นราธิวาส')","['Betong 94, Sukkayang Road, Tambon Betong, Amphoe Betong, Yala, 90110, อำเภอเบตง ยะลา 95110, Thailand']","['หมู่ 3, ถนน จะ แนะ ดุ ซ ง ญ อ, ตำบล จะแนะ อำเภอ จะแนะ นราธิวาส 96220, Thailand']",176 km,3 hours 24 mins
12,เบตง,"('เบตง', 'ยะลา')",ธารโต,"('ธารโต', 'ยะลา')","['Betong 94, Sukkayang Road, Tambon Betong, Amphoe Betong, Yala, 90110, อำเภอเบตง ยะลา 95110, Thailand']","['558H+XQ6, Than To, Than To District, Yala 95150, Thailand']",68.9 km,1 hour 24 mins
