,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,ยี่งอ,"('ยี่งอ', 'นราธิวาส')",ระแงะ,"('ระแงะ', 'นราธิวาส')","['CP34+6J6, Yi-ngo, Yi-ngo District, Narathiwat 96180, Thailand']","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']",12.5 km,14 mins
1,ยี่งอ,"('ยี่งอ', 'นราธิวาส')",รือเสาะ,"('รือเสาะ', 'นราธิวาส')","['CP34+6J6, Yi-ngo, Yi-ngo District, Narathiwat 96180, Thailand']","['389/10 ม.1 ต Tambon Rueso Ok, Amphoe Rueso, Chang Wat Narathiwat 96150, Thailand']",30.1 km,34 mins
2,ยี่งอ,"('ยี่งอ', 'นราธิวาส')",เมืองนราธิวาส,"('เมืองนราธิวาส', 'นราธิวาส')","['CP34+6J6, Yi-ngo, Yi-ngo District, Narathiwat 96180, Thailand']","['CRGF+39X, Bang Nak, Mueang Narathiwat District, Narathiwat 96000, Thailand']",15.4 km,17 mins
3,ยี่งอ,"('ยี่งอ', 'นราธิวาส')",บาเจาะ,"('บาเจาะ', 'นราธิวาส')","['CP34+6J6, Yi-ngo, Yi-ngo District, Narathiwat 96180, Thailand']","['GM82+VRJ, Bacho, Bacho District, Narathiwat 96170, Thailand']",14.1 km,13 mins
4,ระแงะ,"('ระแงะ', 'นราธิวาส')",ยี่งอ,"('ยี่งอ', 'นราธิวาส')","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']","['CP34+6J6, Yi-ngo, Yi-ngo District, Narathiwat 96180, Thailand']",12.9 km,15 mins
5,ระแงะ,"('ระแงะ', 'นราธิวาส')",รือเสาะ,"('รือเสาะ', 'นราธิวาส')","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']","['389/10 ม.1 ต Tambon Rueso Ok, Amphoe Rueso, Chang Wat Narathiwat 96150, Thailand']",34.9 km,41 mins
6,ระแงะ,"('ระแงะ', 'นราธิวาส')",ศรีสาคร,"('ศรีสาคร', 'นราธิวาส')","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']","['6FJX+3RX, Sa Ko, Si Sakhon District, Narathiwat 96210, Thailand']",34.5 km,49 mins
7,ระแงะ,"('ระแงะ', 'นราธิวาส')",สุคิริน,"('สุคิริน', 'นราธิวาส')","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']","['WQQC+XHV, 4217, Tambon Sukhirin, Amphoe Sukhirin, Chang Wat Narathiwat 96190, Thailand']",48.9 km,59 mins
8,ระแงะ,"('ระแงะ', 'นราธิวาส')",สุไหงปาดี,"('สุไหงปาดี', 'นราธิวาส')","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']","['หมู่ 1, อาคารสำนักงานเกษตรอำเภอสุไหงปาดี, ถนนประชาชื่น 2, ตำบลปะลุรู อำเภอสุไหงปาดี จังหวัดนราธิวาส, 96140 Tambon Paluru, Amphoe Su-ngai Padi, Chang Wat Narathiwat 96140, Thailand']",37.1 km,41 mins
9,ระแงะ,"('ระแงะ', 'นราธิวาส')",จะแนะ,"('จะแนะ', 'นราธิวาส')","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']","['หมู่ 3, ถนน จะ แนะ ดุ ซ ง ญ อ, ตำบล จะแนะ อำเภอ จะแนะ นราธิวาส 96220, Thailand']",25.5 km,33 mins
10,ระแงะ,"('ระแงะ', 'นราธิวาส')",เมืองนราธิวาส,"('เมืองนราธิวาส', 'นราธิวาส')","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']","['CRGF+39X, Bang Nak, Mueang Narathiwat District, Narathiwat 96000, Thailand']",19.8 km,25 mins
11,ระแงะ,"('ระแงะ', 'นราธิวาส')",เจาะไอร้อง,"('เจาะไอร้อง', 'นราธิวาส')","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']","['6RF6+R4H, Chuap, Cho-airong District, Narathiwat 96130, Thailand']",13.8 km,19 mins
12,รือเสาะ,"('รือเสาะ', 'นราธิวาส')",ยี่งอ,"('ยี่งอ', 'นราธิวาส')","['389/10 ม.1 ต Tambon Rueso Ok, Amphoe Rueso, Chang Wat Narathiwat 96150, Thailand']","['CP34+6J6, Yi-ngo, Yi-ngo District, Narathiwat 96180, Thailand']",31.3 km,35 mins
13,รือเสาะ,"('รือเสาะ', 'นราธิวาส')",ระแงะ,"('ระแงะ', 'นราธิวาส')","['389/10 ม.1 ต Tambon Rueso Ok, Amphoe Rueso, Chang Wat Narathiwat 96150, Thailand']","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']",34.6 km,39 mins
14,รือเสาะ,"('รือเสาะ', 'นราธิวาส')",ศรีสาคร,"('ศรีสาคร', 'นราธิวาส')","['389/10 ม.1 ต Tambon Rueso Ok, Amphoe Rueso, Chang Wat Narathiwat 96150, Thailand']","['6FJX+3RX, Sa Ko, Si Sakhon District, Narathiwat 96210, Thailand']",19.4 km,25 mins
15,รือเสาะ,"('รือเสาะ', 'นราธิวาส')",บันนังสตา,"('บันนังสตา', 'ยะลา')","['389/10 ม.1 ต Tambon Rueso Ok, Amphoe Rueso, Chang Wat Narathiwat 96150, Thailand']","['7788+F25, Bannang Sata, Bannang Sata District, Yala 95130, Thailand']",52.7 km,1 hour 5 mins
16,รือเสาะ,"('รือเสาะ', 'นราธิวาส')",รามัน,"('รามัน', 'ยะลา')","['389/10 ม.1 ต Tambon Rueso Ok, Amphoe Rueso, Chang Wat Narathiwat 96150, Thailand']","['FCHF+FP3, Kayuboko, Raman District, Yala 95140, Thailand']",18.5 km,21 mins
17,รือเสาะ,"('รือเสาะ', 'นราธิวาส')",บาเจาะ,"('บาเจาะ', 'นราธิวาส')","['389/10 ม.1 ต Tambon Rueso Ok, Amphoe Rueso, Chang Wat Narathiwat 96150, Thailand']","['GM82+VRJ, Bacho, Bacho District, Narathiwat 96170, Thailand']",33.8 km,36 mins
18,ศรีสาคร,"('ศรีสาคร', 'นราธิวาส')",ระแงะ,"('ระแงะ', 'นราธิวาส')","['6FJX+3RX, Sa Ko, Si Sakhon District, Narathiwat 96210, Thailand']","['7PWH+HGJ, Tanyongmat, Ra-ngae District, Narathiwat 96130, Thailand']",34.5 km,48 mins
19,ศรีสาคร,"('ศรีสาคร', 'นราธิวาส')",รือเสาะ,"('รือเสาะ', 'นราธิวาส')","['6FJX+3RX, Sa Ko, Si Sakhon District, Narathiwat 96210, Thailand']","['389/10 ม.1 ต Tambon Rueso Ok, Amphoe Rueso, Chang Wat Narathiwat 96150, Thailand']",19.4 km,24 mins
20,ศรีสาคร,"('ศรีสาคร', 'นราธิวาส')",จะแนะ,"('จะแนะ', 'นราธิวาส')","['6FJX+3RX, Sa Ko, Si Sakhon District, Narathiwat 96210, Thailand']","['หมู่ 3, ถนน จะ แนะ ดุ ซ ง ญ อ, ตำบล จะแนะ อำเภอ จะแนะ นราธิวาส 96220, Thailand']",39.7 km,55 mins
21,ศรีสาคร,"('ศรีสาคร', 'นราธิวาส')",เบตง,"('เบตง', 'ยะลา')","['6FJX+3RX, Sa Ko, Si Sakhon District, Narathiwat 96210, Thailand']","['Betong 94, Sukkayang Road, Tambon Betong, Amphoe Betong, Yala, 90110, อำเภอเบตง ยะลา 95110, Thailand']",130 km,2 hours 29 mins
