,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')",พัฒนานิคม,"('พัฒนานิคม', 'ลพบุรี')","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['VX4R+922, Phatthana Nikhom, Phatthana Nikhom District, Lopburi 15140, Thailand']",41.4 km,42 mins
1,เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')",โคกสำโรง,"('โคกสำโรง', 'ลพบุรี')","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['ที่ว่าการอำเภอโคกสำโรง ถนน 245 Si Samrong Alley, Tambon Khok Samrong, Amphoe Khok Samrong, Chang Wat Lopburi 15120, Thailand']",36.8 km,37 mins
2,เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')",ท่าวุ้ง,"('ท่าวุ้ง', 'ลพบุรี')","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['หมู่ที่ 1 ถนน ลพบุรี - สิงห์บุรี Tambon Tha Wung, Amphoe Tha Wung, Chang Wat Lopburi 15150, Thailand']",16.1 km,21 mins
3,เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')",พรหมบุรี,"('พรหมบุรี', 'สิงห์บุรี')","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['3 Bangnamchaew, Phrom Buri, Amphoe Phrom Buri, Chang Wat Sing Buri 16120, Thailand']",26.9 km,34 mins
4,เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')",มหาราช,"('มหาราช', 'พระนครศรีอยุธยา')","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['GGMG+PVX, Hua Phai, Maha Rat District, Phra Nakhon Si Ayutthaya 13150, Thailand']",42.0 km,44 mins
5,เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')",บ้านแพรก,"('บ้านแพรก', 'พระนครศรีอยุธยา')","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['JHXM+53P ถนน เลียบคลองชลประทาน Tambon Ban Mai, Amphoe Ban Phraek, Chang Wat Phra Nakhon Si Ayutthaya 13240, Thailand']",24.8 km,27 mins
6,เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')",เมืองอ่างทอง,"('เมืองอ่างทอง', 'อ่างทอง')","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['HFQ3+M9X, Bang Kaeo, Mueang Ang Thong District, Ang Thong 14000, Thailand']",43.4 km,47 mins
7,เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')",ไชโย,"('ไชโย', 'อ่างทอง')","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['JFXH+MC5, Chorakhe Rong, Chaiyo, Ang Thong 14140, Thailand']",34.7 km,36 mins
8,เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')",บ้านหมี่,"('บ้านหมี่', 'ลพบุรี')","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['47, ถนนเทศบาล, ตำบลบ้านหมี่ อำเภอบ้านหมี่ จังหวัดลพบุรี, 15110 Tambon Ban Mi, Amphoe Ban Mi, Chang Wat Lopburi 15110, Thailand']",33.1 km,36 mins
9,เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')",บ้านหมอ,"('บ้านหมอ', 'สระบุรี')","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['JP8G+6WC, Ban Mo, Ban Mo District, Saraburi 18130, Thailand']",27.7 km,32 mins
