,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,ค่ายบางระจัน,"('ค่ายบางระจัน', 'สิงห์บุรี')",แสวงหา,"('แสวงหา', 'อ่างทอง')","['ถนนทีไมมีชือ, Sing ตำบล สิงห์ - Bang Rachan (Singburi) Amphoe Bang Rachan, Chang Wat Sing Buri 16130, Thailand']","['หมู่ 5 ถนน แสวงหา-ปากดง Tambon Sawaeng Ha, Amphoe Sawaeng Ha, Chang Wat Ang Thong 14150, Thailand']",30.1 km,34 mins
1,ค่ายบางระจัน,"('ค่ายบางระจัน', 'สิงห์บุรี')",พรหมบุรี,"('พรหมบุรี', 'สิงห์บุรี')","['ถนนทีไมมีชือ, Sing ตำบล สิงห์ - Bang Rachan (Singburi) Amphoe Bang Rachan, Chang Wat Sing Buri 16130, Thailand']","['3 Bangnamchaew, Phrom Buri, Amphoe Phrom Buri, Chang Wat Sing Buri 16120, Thailand']",23.1 km,27 mins
2,ค่ายบางระจัน,"('ค่ายบางระจัน', 'สิงห์บุรี')",เมืองสิงห์บุรี,"('เมืองสิงห์บุรี', 'สิงห์บุรี')","['ถนนทีไมมีชือ, Sing ตำบล สิงห์ - Bang Rachan (Singburi) Amphoe Bang Rachan, Chang Wat Sing Buri 16130, Thailand']","['ที่ว่าการอำเภอเมืองสิงห์บุรี ถนน VCQ3+8V8, Wilai Chit, Tambon Bang Phutsa, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand']",10.4 km,16 mins
3,ค่ายบางระจัน,"('ค่ายบางระจัน', 'สิงห์บุรี')",บางระจัน,"('บางระจัน', 'สิงห์บุรี')","['ถนนทีไมมีชือ, Sing ตำบล สิงห์ - Bang Rachan (Singburi) Amphoe Bang Rachan, Chang Wat Sing Buri 16130, Thailand']","['R826+37V 3032 Tambon Bang Rachan, Amphoe Khai Bang Rachan, Chang Wat Sing Buri 16150, Thailand']",18.3 km,25 mins
4,ค่ายบางระจัน,"('ค่ายบางระจัน', 'สิงห์บุรี')",ท่าช้าง,"('ท่าช้าง', 'สิงห์บุรี')","['ถนนทีไมมีชือ, Sing ตำบล สิงห์ - Bang Rachan (Singburi) Amphoe Bang Rachan, Chang Wat Sing Buri 16130, Thailand']","['Q96Q+MXX, Thon Samo, Tha Chang District, Sing Buri 16140, Thailand']",22.5 km,28 mins
5,ค่ายบางระจัน,"('ค่ายบางระจัน', 'สิงห์บุรี')",เดิมบางนางบวช,"('เดิมบางนางบวช', 'สุพรรณบุรี')","['ถนนทีไมมีชือ, Sing ตำบล สิงห์ - Bang Rachan (Singburi) Amphoe Bang Rachan, Chang Wat Sing Buri 16130, Thailand']","['V33X+F5Q, Khao Phra, Doem Bang Nang Buat District, Suphan Buri 72120, Thailand']",37.7 km,42 mins
6,ค่ายบางระจัน,"('ค่ายบางระจัน', 'สิงห์บุรี')",ศรีประจันต์,"('ศรีประจันต์', 'สุพรรณบุรี')","['ถนนทีไมมีชือ, Sing ตำบล สิงห์ - Bang Rachan (Singburi) Amphoe Bang Rachan, Chang Wat Sing Buri 16130, Thailand']","['J49V+WQP, Si Prachan, Si Prachan District, Suphan Buri 72140, Thailand']",47.0 km,54 mins
7,ค่ายบางระจัน,"('ค่ายบางระจัน', 'สิงห์บุรี')",สามชุก,"('สามชุก', 'สุพรรณบุรี')","['ถนนทีไมมีชือ, Sing ตำบล สิงห์ - Bang Rachan (Singburi) Amphoe Bang Rachan, Chang Wat Sing Buri 16130, Thailand']","['Q34V+4V4, Sam Chuk, Sam Chuk District, Suphan Buri 72130, Thailand']",39.5 km,43 mins
8,พรหมบุรี,"('พรหมบุรี', 'สิงห์บุรี')",โพธิ์ทอง,"('โพธิ์ทอง', 'อ่างทอง')","['3 Bangnamchaew, Phrom Buri, Amphoe Phrom Buri, Chang Wat Sing Buri 16120, Thailand']","['นายอำเภอ MC85+G9X, Tambon Ang Khao, Amphoe Pho Thong, Chang Wat Ang Thong 14120, Thailand']",21.1 km,23 mins
9,พรหมบุรี,"('พรหมบุรี', 'สิงห์บุรี')",เมืองลพบุรี,"('เมืองลพบุรี', 'ลพบุรี')","['3 Bangnamchaew, Phrom Buri, Amphoe Phrom Buri, Chang Wat Sing Buri 16120, Thailand']","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']",27.0 km,34 mins
10,พรหมบุรี,"('พรหมบุรี', 'สิงห์บุรี')",ท่าวุ้ง,"('ท่าวุ้ง', 'ลพบุรี')","['3 Bangnamchaew, Phrom Buri, Amphoe Phrom Buri, Chang Wat Sing Buri 16120, Thailand']","['หมู่ที่ 1 ถนน ลพบุรี - สิงห์บุรี Tambon Tha Wung, Amphoe Tha Wung, Chang Wat Lopburi 15150, Thailand']",11.2 km,18 mins
11,พรหมบุรี,"('พรหมบุรี', 'สิงห์บุรี')",ค่ายบางระจัน,"('ค่ายบางระจัน', 'สิงห์บุรี')","['3 Bangnamchaew, Phrom Buri, Amphoe Phrom Buri, Chang Wat Sing Buri 16120, Thailand']","['ถนนทีไมมีชือ, Sing ตำบล สิงห์ - Bang Rachan (Singburi) Amphoe Bang Rachan, Chang Wat Sing Buri 16130, Thailand']",27.4 km,32 mins
12,พรหมบุรี,"('พรหมบุรี', 'สิงห์บุรี')",ไชโย,"('ไชโย', 'อ่างทอง')","['3 Bangnamchaew, Phrom Buri, Amphoe Phrom Buri, Chang Wat Sing Buri 16120, Thailand']","['JFXH+MC5, Chorakhe Rong, Chaiyo, Ang Thong 14140, Thailand']",17.4 km,15 mins
13,พรหมบุรี,"('พรหมบุรี', 'สิงห์บุรี')",เมืองสิงห์บุรี,"('เมืองสิงห์บุรี', 'สิงห์บุรี')","['3 Bangnamchaew, Phrom Buri, Amphoe Phrom Buri, Chang Wat Sing Buri 16120, Thailand']","['ที่ว่าการอำเภอเมืองสิงห์บุรี ถนน VCQ3+8V8, Wilai Chit, Tambon Bang Phutsa, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand']",14.6 km,16 mins
