,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,สรรคบุรี,"('สรรคบุรี', 'ชัยนาท')",หันคา,"('หันคา', 'ชัยนาท')","['329 Napralan, Tambon Phraek Sriracha, Amphoe Sankhaburi, Chang Wat Chai Nat 17140, Thailand']","['X2J7+FW3, Hankha, Hankha District, Chai Nat 17130, Thailand']",21.5 km,23 mins
1,สรรคบุรี,"('สรรคบุรี', 'ชัยนาท')",บางระจัน,"('บางระจัน', 'สิงห์บุรี')","['329 Napralan, Tambon Phraek Sriracha, Amphoe Sankhaburi, Chang Wat Chai Nat 17140, Thailand']","['R826+37V 3032 Tambon Bang Rachan, Amphoe Khai Bang Rachan, Chang Wat Sing Buri 16150, Thailand']",38.8 km,38 mins
2,สรรคบุรี,"('สรรคบุรี', 'ชัยนาท')",อินทร์บุรี,"('อินทร์บุรี', 'สิงห์บุรี')","['329 Napralan, Tambon Phraek Sriracha, Amphoe Sankhaburi, Chang Wat Chai Nat 17140, Thailand']","['285G+FH9, In Buri, Sing Buri 16110, Thailand']",26.9 km,31 mins
3,สรรคบุรี,"('สรรคบุรี', 'ชัยนาท')",เมืองชัยนาท,"('เมืองชัยนาท', 'ชัยนาท')","['329 Napralan, Tambon Phraek Sriracha, Amphoe Sankhaburi, Chang Wat Chai Nat 17140, Thailand']","['328/9 ถนนลูกเสือ 2 Tambon Nai Muang, Amphoe Mueang Chai Nat, Chang Wat Chai Nat 17000, Thailand']",20.5 km,21 mins
4,สรรคบุรี,"('สรรคบุรี', 'ชัยนาท')",สรรพยา,"('สรรพยา', 'ชัยนาท')","['329 Napralan, Tambon Phraek Sriracha, Amphoe Sankhaburi, Chang Wat Chai Nat 17140, Thailand']","['หมู่ 4, ที่ว่าการ Tambon Sapphaya, Amphoe Sapphaya, Chang Wat Chai Nat 17150, Thailand']",14.8 km,18 mins
5,สรรคบุรี,"('สรรคบุรี', 'ชัยนาท')",เดิมบางนางบวช,"('เดิมบางนางบวช', 'สุพรรณบุรี')","['329 Napralan, Tambon Phraek Sriracha, Amphoe Sankhaburi, Chang Wat Chai Nat 17140, Thailand']","['V33X+F5Q, Khao Phra, Doem Bang Nang Buat District, Suphan Buri 72120, Thailand']",26.7 km,26 mins
6,หันคา,"('หันคา', 'ชัยนาท')",สรรคบุรี,"('สรรคบุรี', 'ชัยนาท')","['X2J7+FW3, Hankha, Hankha District, Chai Nat 17130, Thailand']","['329 Napralan, Tambon Phraek Sriracha, Amphoe Sankhaburi, Chang Wat Chai Nat 17140, Thailand']",22.0 km,23 mins
7,หันคา,"('หันคา', 'ชัยนาท')",หนองมะโมง,"('หนองมะโมง', 'ชัยนาท')","['X2J7+FW3, Hankha, Hankha District, Chai Nat 17130, Thailand']","['หมู่ 1, อาคารที่ว่าการอำเภอหนองมะโมง, ตำบลหนองมะโมง อำเภอหนองมะโมง จังหวัดชัยนาท, 17100 Tambon Nong Mamong, Amphoe Nong Mamong, Chang Wat Chai Nat 17120, Thailand']",50.1 km,53 mins
8,หันคา,"('หันคา', 'ชัยนาท')",เนินขาม,"('เนินขาม', 'ชัยนาท')","['X2J7+FW3, Hankha, Hankha District, Chai Nat 17130, Thailand']","['XW66+RMP, Noen Kham, Noen Kham District, Chai Nat 17130, Thailand']",13.2 km,18 mins
9,หันคา,"('หันคา', 'ชัยนาท')",เมืองชัยนาท,"('เมืองชัยนาท', 'ชัยนาท')","['X2J7+FW3, Hankha, Hankha District, Chai Nat 17130, Thailand']","['328/9 ถนนลูกเสือ 2 Tambon Nai Muang, Amphoe Mueang Chai Nat, Chang Wat Chai Nat 17000, Thailand']",39.0 km,37 mins
