Amper1,Amper2,Adjacent
"('ละงู', 'สตูล')","('ทุ่งหว้า', 'สตูล')",1
"('ละงู', 'สตูล')","('มะนัง', 'สตูล')",1
"('ละงู', 'สตูล')","('เมืองสตูล', 'สตูล')",1
"('ละงู', 'สตูล')","('ควนกาหลง', 'สตูล')",1
"('ละงู', 'สตูล')","('ท่าแพ', 'สตูล')",1
"('ทุ่งหว้า', 'สตูล')","('ละงู', 'สตูล')",1
"('ทุ่งหว้า', 'สตูล')","('มะนัง', 'สตูล')",1
"('ทุ่งหว้า', 'สตูล')","('ปะเหลียน', 'ตรัง')",1
"('ทุ่งหว้า', 'สตูล')","('รัตภูมิ', 'สงขลา')",1
"('ทุ่งหว้า', 'สตูล')","('ตะโหมด', 'พัทลุง')",1
"('ทุ่งหว้า', 'สตูล')","('ควนกาหลง', 'สตูล')",1
"('ทุ่งหว้า', 'สตูล')","('ป่าบอน', 'พัทลุง')",1
"('มะนัง', 'สตูล')","('ละงู', 'สตูล')",1
"('มะนัง', 'สตูล')","('ทุ่งหว้า', 'สตูล')",1
"('มะนัง', 'สตูล')","('ควนกาหลง', 'สตูล')",1
"('มะนัง', 'สตูล')","('ท่าแพ', 'สตูล')",1
"('มะนัง', 'สตูล')","('ป่าบอน', 'พัทลุง')",1
"('เมืองตรัง', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('ย่านตาขาว', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('สิเกา', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('ห้วยยอด', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('วังวิเศษ', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('นาโยง', 'ตรัง')",1
"('เมืองตรัง', 'ตรัง')","('ศรีบรรพต', 'พัทลุง')",1
"('เมืองตรัง', 'ตรัง')","('ศรีนครินทร์', 'พัทลุง')",1
"('กันตัง', 'ตรัง')","('เกาะลันตา', 'กระบี่')",1
"('กันตัง', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('กันตัง', 'ตรัง')","('ย่านตาขาว', 'ตรัง')",1
"('กันตัง', 'ตรัง')","('ปะเหลียน', 'ตรัง')",1
"('กันตัง', 'ตรัง')","('สิเกา', 'ตรัง')",1
"('กันตัง', 'ตรัง')","('วังวิเศษ', 'ตรัง')",1
"('กันตัง', 'ตรัง')","('หาดสำราญ', 'ตรัง')",1
"('เมืองสงขลา', 'สงขลา')","('จะนะ', 'สงขลา')",1
"('เมืองสงขลา', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('เมืองสงขลา', 'สงขลา')","('สิงหนคร', 'สงขลา')",1
"('เมืองสงขลา', 'สงขลา')","('นาหม่อม', 'สงขลา')",1
"('เมืองสงขลา', 'สงขลา')","('ควนเนียง', 'สงขลา')",1
"('เมืองสงขลา', 'สงขลา')","('บางกล่ำ', 'สงขลา')",1
"('ย่านตาขาว', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('ปะเหลียน', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('นาโยง', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('หาดสำราญ', 'ตรัง')",1
"('ย่านตาขาว', 'ตรัง')","('กงหรา', 'พัทลุง')",1
"('ย่านตาขาว', 'ตรัง')","('ศรีนครินทร์', 'พัทลุง')",1
"('ปะเหลียน', 'ตรัง')","('ทุ่งหว้า', 'สตูล')",1
"('ปะเหลียน', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('ปะเหลียน', 'ตรัง')","('ย่านตาขาว', 'ตรัง')",1
"('ปะเหลียน', 'ตรัง')","('ตะโหมด', 'พัทลุง')",1
"('ปะเหลียน', 'ตรัง')","('หาดสำราญ', 'ตรัง')",1
"('ปะเหลียน', 'ตรัง')","('กงหรา', 'พัทลุง')",1
"('ปะเหลียน', 'ตรัง')","('ป่าบอน', 'พัทลุง')",1
"('สิเกา', 'ตรัง')","('คลองท่อม', 'กระบี่')",1
"('สิเกา', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('สิเกา', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('สิเกา', 'ตรัง')","('วังวิเศษ', 'ตรัง')",1
"('ห้วยยอด', 'ตรัง')","('ชะอวด', 'นครศรีธรรมราช')",1
"('ห้วยยอด', 'ตรัง')","('ทุ่งสง', 'นครศรีธรรมราช')",1
"('ห้วยยอด', 'ตรัง')","('บางขัน', 'นครศรีธรรมราช')",1
"('ห้วยยอด', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('ห้วยยอด', 'ตรัง')","('วังวิเศษ', 'ตรัง')",1
"('ห้วยยอด', 'ตรัง')","('นาโยง', 'ตรัง')",1
"('ห้วยยอด', 'ตรัง')","('รัษฎา', 'ตรัง')",1
"('ห้วยยอด', 'ตรัง')","('ศรีบรรพต', 'พัทลุง')",1
"('ห้วยยอด', 'ตรัง')","('ป่าพยอม', 'พัทลุง')",1
"('ห้วยยอด', 'ตรัง')","('ศรีนครินทร์', 'พัทลุง')",1
"('วังวิเศษ', 'ตรัง')","('บางขัน', 'นครศรีธรรมราช')",1
"('วังวิเศษ', 'ตรัง')","('คลองท่อม', 'กระบี่')",1
"('วังวิเศษ', 'ตรัง')","('ลำทับ', 'กระบี่')",1
"('วังวิเศษ', 'ตรัง')","('เมืองตรัง', 'ตรัง')",1
"('วังวิเศษ', 'ตรัง')","('กันตัง', 'ตรัง')",1
"('วังวิเศษ', 'ตรัง')","('สิเกา', 'ตรัง')",1
"('วังวิเศษ', 'ตรัง')","('ห้วยยอด', 'ตรัง')",1
"('ควนขนุน', 'พัทลุง')","('ชะอวด', 'นครศรีธรรมราช')",1
"('ควนขนุน', 'พัทลุง')","('หัวไทร', 'นครศรีธรรมราช')",1
"('ควนขนุน', 'พัทลุง')","('กระแสสินธุ์', 'สงขลา')",1
"('ควนขนุน', 'พัทลุง')","('ระโนด', 'สงขลา')",1
"('ควนขนุน', 'พัทลุง')","('เมืองพัทลุง', 'พัทลุง')",1
"('ควนขนุน', 'พัทลุง')","('ศรีบรรพต', 'พัทลุง')",1
"('ควนขนุน', 'พัทลุง')","('ป่าพยอม', 'พัทลุง')",1
"('ควนขนุน', 'พัทลุง')","('ศรีนครินทร์', 'พัทลุง')",1
"('สทิงพระ', 'สงขลา')","('กระแสสินธุ์', 'สงขลา')",1
"('สทิงพระ', 'สงขลา')","('ระโนด', 'สงขลา')",1
"('สทิงพระ', 'สงขลา')","('สิงหนคร', 'สงขลา')",1
"('สทิงพระ', 'สงขลา')","('ปากพะยูน', 'พัทลุง')",1
"('จะนะ', 'สงขลา')","('เมืองสงขลา', 'สงขลา')",1
"('จะนะ', 'สงขลา')","('นาทวี', 'สงขลา')",1
"('จะนะ', 'สงขลา')","('เทพา', 'สงขลา')",1
"('จะนะ', 'สงขลา')","('สะเดา', 'สงขลา')",1
"('จะนะ', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('จะนะ', 'สงขลา')","('นาหม่อม', 'สงขลา')",1
"('นาทวี', 'สงขลา')","('จะนะ', 'สงขลา')",1
"('นาทวี', 'สงขลา')","('เทพา', 'สงขลา')",1
"('นาทวี', 'สงขลา')","('สะบ้าย้อย', 'สงขลา')",1
"('นาทวี', 'สงขลา')","('สะเดา', 'สงขลา')",1
"('นาทวี', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('เทพา', 'สงขลา')","('จะนะ', 'สงขลา')",1
"('เทพา', 'สงขลา')","('นาทวี', 'สงขลา')",1
"('เทพา', 'สงขลา')","('สะบ้าย้อย', 'สงขลา')",1
"('เทพา', 'สงขลา')","('โคกโพธิ์', 'ปัตตานี')",1
"('เทพา', 'สงขลา')","('หนองจิก', 'ปัตตานี')",1
"('สะบ้าย้อย', 'สงขลา')","('นาทวี', 'สงขลา')",1
"('สะบ้าย้อย', 'สงขลา')","('เทพา', 'สงขลา')",1
"('สะบ้าย้อย', 'สงขลา')","('โคกโพธิ์', 'ปัตตานี')",1
"('สะบ้าย้อย', 'สงขลา')","('เมืองยะลา', 'ยะลา')",1
"('สะบ้าย้อย', 'สงขลา')","('ยะหา', 'ยะลา')",1
"('สะบ้าย้อย', 'สงขลา')","('กาบัง', 'ยะลา')",1
"('กระแสสินธุ์', 'สงขลา')","('ควนขนุน', 'พัทลุง')",1
"('กระแสสินธุ์', 'สงขลา')","('สทิงพระ', 'สงขลา')",1
"('กระแสสินธุ์', 'สงขลา')","('ระโนด', 'สงขลา')",1
"('กระแสสินธุ์', 'สงขลา')","('เมืองพัทลุง', 'พัทลุง')",1
"('กระแสสินธุ์', 'สงขลา')","('เขาชัยสน', 'พัทลุง')",1
"('กระแสสินธุ์', 'สงขลา')","('ปากพะยูน', 'พัทลุง')",1
"('กระแสสินธุ์', 'สงขลา')","('บางแก้ว', 'พัทลุง')",1
"('รัตภูมิ', 'สงขลา')","('ทุ่งหว้า', 'สตูล')",1
"('รัตภูมิ', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('รัตภูมิ', 'สงขลา')","('ควนเนียง', 'สงขลา')",1
"('รัตภูมิ', 'สงขลา')","('บางกล่ำ', 'สงขลา')",1
"('รัตภูมิ', 'สงขลา')","('คลองหอยโข่ง', 'สงขลา')",1
"('รัตภูมิ', 'สงขลา')","('ควนกาหลง', 'สตูล')",1
"('รัตภูมิ', 'สงขลา')","('ปากพะยูน', 'พัทลุง')",1
"('รัตภูมิ', 'สงขลา')","('ป่าบอน', 'พัทลุง')",1
"('สะเดา', 'สงขลา')","('จะนะ', 'สงขลา')",1
"('สะเดา', 'สงขลา')","('นาทวี', 'สงขลา')",1
"('สะเดา', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('สะเดา', 'สงขลา')","('คลองหอยโข่ง', 'สงขลา')",1
"('สะเดา', 'สงขลา')","('เมืองสตูล', 'สตูล')",1
"('สะเดา', 'สงขลา')","('ควนโดน', 'สตูล')",1
"('สะเดา', 'สงขลา')","('ควนกาหลง', 'สตูล')",1
"('หาดใหญ่', 'สงขลา')","('เมืองสงขลา', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('จะนะ', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('นาทวี', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('รัตภูมิ', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('สะเดา', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('สิงหนคร', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('นาหม่อม', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('ควนเนียง', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('บางกล่ำ', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('คลองหอยโข่ง', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('ควนโดน', 'สตูล')",1
"('หาดใหญ่', 'สงขลา')","('ควนกาหลง', 'สตูล')",1
"('ตะโหมด', 'พัทลุง')","('ทุ่งหว้า', 'สตูล')",1
"('ตะโหมด', 'พัทลุง')","('ปะเหลียน', 'ตรัง')",1
"('ตะโหมด', 'พัทลุง')","('กงหรา', 'พัทลุง')",1
"('ตะโหมด', 'พัทลุง')","('เขาชัยสน', 'พัทลุง')",1
"('ตะโหมด', 'พัทลุง')","('ป่าบอน', 'พัทลุง')",1
"('ตะโหมด', 'พัทลุง')","('บางแก้ว', 'พัทลุง')",1
"('ระโนด', 'สงขลา')","('ชะอวด', 'นครศรีธรรมราช')",1
"('ระโนด', 'สงขลา')","('หัวไทร', 'นครศรีธรรมราช')",1
"('ระโนด', 'สงขลา')","('ควนขนุน', 'พัทลุง')",1
"('ระโนด', 'สงขลา')","('สทิงพระ', 'สงขลา')",1
"('ระโนด', 'สงขลา')","('กระแสสินธุ์', 'สงขลา')",1
"('ระโนด', 'สงขลา')","('เมืองพัทลุง', 'พัทลุง')",1
"('สิงหนคร', 'สงขลา')","('เมืองสงขลา', 'สงขลา')",1
"('สิงหนคร', 'สงขลา')","('สทิงพระ', 'สงขลา')",1
"('สิงหนคร', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('สิงหนคร', 'สงขลา')","('ควนเนียง', 'สงขลา')",1
"('สิงหนคร', 'สงขลา')","('บางกล่ำ', 'สงขลา')",1
