,ap_tn,pv_tn
0,พระนคร,กรุงเทพมหานคร
1,ดุสิต,กรุงเทพมหานคร
2,บางรัก,กรุงเทพมหานคร
3,พญาไท,กรุงเทพมหานคร
4,บ้านนา,นครนายก
5,องครักษ์,นครนายก
6,หนองจอก,กรุงเทพมหานคร
7,คลองเตย,กรุงเทพมหานคร
8,บางเขน,กรุงเทพมหานคร
9,พระโขนง,กรุงเทพมหานคร
10,บางกะปิ,กรุงเทพมหานคร
11,ปทุมวัน,กรุงเทพมหานคร
12,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร
13,มีนบุรี,กรุงเทพมหานคร
14,สัมพันธวงศ์,กรุงเทพมหานคร
15,ลาดกระบัง,กรุงเทพมหานคร
16,ยานนาวา,กรุงเทพมหานคร
17,ธนบุรี,กรุงเทพมหานคร
18,บางกอกใหญ่,กรุงเทพมหานคร
19,ห้วยขวาง,กรุงเทพมหานคร
20,คลองสาน,กรุงเทพมหานคร
21,ตลิ่งชัน,กรุงเทพมหานคร
22,บางกอกน้อย,กรุงเทพมหานคร
23,บางขุนเทียน,กรุงเทพมหานคร
24,ภาษีเจริญ,กรุงเทพมหานคร
25,หนองแขม,กรุงเทพมหานคร
26,ดอนเมือง,กรุงเทพมหานคร
27,ราษฎร์บูรณะ,กรุงเทพมหานคร
28,บางพลัด,กรุงเทพมหานคร
29,ดินแดง,กรุงเทพมหานคร
30,บึงกุ่ม,กรุงเทพมหานคร
31,สาทร,กรุงเทพมหานคร
32,บางซื่อ,กรุงเทพมหานคร
33,จตุจักร,กรุงเทพมหานคร
34,บางคอแหลม,กรุงเทพมหานคร
35,ประเวศ,กรุงเทพมหานคร
36,สวนหลวง,กรุงเทพมหานคร
37,จอมทอง,กรุงเทพมหานคร
38,ราชเทวี,กรุงเทพมหานคร
39,ลาดพร้าว,กรุงเทพมหานคร
40,วัฒนา,กรุงเทพมหานคร
41,บางแค,กรุงเทพมหานคร
42,หลักสี่,กรุงเทพมหานคร
43,สายไหม,กรุงเทพมหานคร
44,คันนายาว,กรุงเทพมหานคร
45,สะพานสูง,กรุงเทพมหานคร
46,วังทองหลาง,กรุงเทพมหานคร
47,คลองสามวา,กรุงเทพมหานคร
48,บางนา,กรุงเทพมหานคร
49,ทวีวัฒนา,กรุงเทพมหานคร
50,ทุ่งครุ,กรุงเทพมหานคร
51,หนองเสือ,ปทุมธานี
