Amper1,Amper2,Adjacent
"('เมืองกระบี่', 'กระบี่')","('เขาพนม', 'กระบี่')",1
"('เมืองกระบี่', 'กระบี่')","('อ่าวลึก', 'กระบี่')",1
"('เมืองกระบี่', 'กระบี่')","('เหนือคลอง', 'กระบี่')",1
"('เขาพนม', 'กระบี่')","('ทุ่งใหญ่', 'นครศรีธรรมราช')",1
"('เขาพนม', 'กระบี่')","('เมืองกระบี่', 'กระบี่')",1
"('เขาพนม', 'กระบี่')","('คลองท่อม', 'กระบี่')",1
"('เขาพนม', 'กระบี่')","('อ่าวลึก', 'กระบี่')",1
"('เขาพนม', 'กระบี่')","('ปลายพระยา', 'กระบี่')",1
"('เขาพนม', 'กระบี่')","('ลำทับ', 'กระบี่')",1
"('เขาพนม', 'กระบี่')","('เหนือคลอง', 'กระบี่')",1
"('เขาพนม', 'กระบี่')","('พระแสง', 'สุราษฎร์ธานี')",1
"('เขาพนม', 'กระบี่')","('ชัยบุรี', 'สุราษฎร์ธานี')",1
"('เกาะลันตา', 'กระบี่')","('คลองท่อม', 'กระบี่')",1
"('เกาะลันตา', 'กระบี่')","('เหนือคลอง', 'กระบี่')",1
"('คลองท่อม', 'กระบี่')","('เขาพนม', 'กระบี่')",1
"('คลองท่อม', 'กระบี่')","('เกาะลันตา', 'กระบี่')",1
"('คลองท่อม', 'กระบี่')","('ลำทับ', 'กระบี่')",1
"('คลองท่อม', 'กระบี่')","('เหนือคลอง', 'กระบี่')",1
"('คลองท่อม', 'กระบี่')","('สิเกา', 'ตรัง')",1
"('คลองท่อม', 'กระบี่')","('วังวิเศษ', 'ตรัง')",1
"('อ่าวลึก', 'กระบี่')","('เกาะยาว', 'พังงา')",1
