Amper1,Amper2,Adjacent
"('เมืองชลบุรี', 'ชลบุรี')","('บ้านบึง', 'ชลบุรี')",1
"('เมืองชลบุรี', 'ชลบุรี')","('พานทอง', 'ชลบุรี')",1
"('เมืองชลบุรี', 'ชลบุรี')","('ศรีราชา', 'ชลบุรี')",1
"('เมืองชลบุรี', 'ชลบุรี')","('บางปะกง', 'ฉะเชิงเทรา')",1
"('บ้านบึง', 'ชลบุรี')","('เมืองชลบุรี', 'ชลบุรี')",1
"('บ้านบึง', 'ชลบุรี')","('หนองใหญ่', 'ชลบุรี')",1
"('บ้านบึง', 'ชลบุรี')","('พานทอง', 'ชลบุรี')",1
"('บ้านบึง', 'ชลบุรี')","('พนัสนิคม', 'ชลบุรี')",1
"('บ้านบึง', 'ชลบุรี')","('ศรีราชา', 'ชลบุรี')",1
"('บ้านบึง', 'ชลบุรี')","('บ่อทอง', 'ชลบุรี')",1
"('บ้านบึง', 'ชลบุรี')","('เกาะจันทร์', 'ชลบุรี')",1
"('บ้านบึง', 'ชลบุรี')","('ปลวกแดง', 'ระยอง')",1
"('หนองใหญ่', 'ชลบุรี')","('บ้านบึง', 'ชลบุรี')",1
"('หนองใหญ่', 'ชลบุรี')","('ศรีราชา', 'ชลบุรี')",1
"('หนองใหญ่', 'ชลบุรี')","('บ่อทอง', 'ชลบุรี')",1
"('หนองใหญ่', 'ชลบุรี')","('วังจันทร์', 'ระยอง')",1
"('หนองใหญ่', 'ชลบุรี')","('ปลวกแดง', 'ระยอง')",1
"('บางละมุง', 'ชลบุรี')","('ศรีราชา', 'ชลบุรี')",1
"('บางละมุง', 'ชลบุรี')","('สัตหีบ', 'ชลบุรี')",1
"('บางละมุง', 'ชลบุรี')","('เมืองระยอง', 'ระยอง')",1
"('บางละมุง', 'ชลบุรี')","('บ้านฉาง', 'ระยอง')",1
"('บางละมุง', 'ชลบุรี')","('ปลวกแดง', 'ระยอง')",1
"('บางละมุง', 'ชลบุรี')","('นิคมพัฒนา', 'ระยอง')",1
"('พานทอง', 'ชลบุรี')","('เมืองชลบุรี', 'ชลบุรี')",1
"('พานทอง', 'ชลบุรี')","('บ้านบึง', 'ชลบุรี')",1
"('พานทอง', 'ชลบุรี')","('พนัสนิคม', 'ชลบุรี')",1
"('พานทอง', 'ชลบุรี')","('บางปะกง', 'ฉะเชิงเทรา')",1
"('พานทอง', 'ชลบุรี')","('บ้านโพธิ์', 'ฉะเชิงเทรา')",1
"('พนัสนิคม', 'ชลบุรี')","('บ้านบึง', 'ชลบุรี')",1
"('พนัสนิคม', 'ชลบุรี')","('พานทอง', 'ชลบุรี')",1
"('พนัสนิคม', 'ชลบุรี')","('บ้านโพธิ์', 'ฉะเชิงเทรา')",1
"('พนัสนิคม', 'ชลบุรี')","('แปลงยาว', 'ฉะเชิงเทรา')",1
"('พนัสนิคม', 'ชลบุรี')","('บ่อทอง', 'ชลบุรี')",1
"('พนัสนิคม', 'ชลบุรี')","('เกาะจันทร์', 'ชลบุรี')",1
"('ศรีราชา', 'ชลบุรี')","('เมืองชลบุรี', 'ชลบุรี')",1
"('ศรีราชา', 'ชลบุรี')","('บ้านบึง', 'ชลบุรี')",1
"('ศรีราชา', 'ชลบุรี')","('หนองใหญ่', 'ชลบุรี')",1
"('ศรีราชา', 'ชลบุรี')","('บางละมุง', 'ชลบุรี')",1
"('ศรีราชา', 'ชลบุรี')","('ปลวกแดง', 'ระยอง')",1
"('สัตหีบ', 'ชลบุรี')","('บางละมุง', 'ชลบุรี')",1
"('สัตหีบ', 'ชลบุรี')","('บ้านฉาง', 'ระยอง')",1
"('บ่อทอง', 'ชลบุรี')","('บ้านบึง', 'ชลบุรี')",1
"('บ่อทอง', 'ชลบุรี')","('หนองใหญ่', 'ชลบุรี')",1
"('บ่อทอง', 'ชลบุรี')","('พนัสนิคม', 'ชลบุรี')",1
"('บ่อทอง', 'ชลบุรี')","('แก่งหางแมว', 'จันทบุรี')",1
"('บ่อทอง', 'ชลบุรี')","('ท่าตะเกียบ', 'ฉะเชิงเทรา')",1
"('บ่อทอง', 'ชลบุรี')","('เกาะจันทร์', 'ชลบุรี')",1
"('บ่อทอง', 'ชลบุรี')","('วังจันทร์', 'ระยอง')",1
"('บ่อทอง', 'ชลบุรี')","('เขาชะเมา', 'ระยอง')",1
"('เกาะจันทร์', 'ชลบุรี')","('บ้านบึง', 'ชลบุรี')",1
"('เกาะจันทร์', 'ชลบุรี')","('พนัสนิคม', 'ชลบุรี')",1
"('เกาะจันทร์', 'ชลบุรี')","('สนามชัยเขต', 'ฉะเชิงเทรา')",1
"('เกาะจันทร์', 'ชลบุรี')","('แปลงยาว', 'ฉะเชิงเทรา')",1
"('เกาะจันทร์', 'ชลบุรี')","('ท่าตะเกียบ', 'ฉะเชิงเทรา')",1
"('เกาะจันทร์', 'ชลบุรี')","('บ่อทอง', 'ชลบุรี')",1
