Amper1,Amper2,Adjacent
"('เมืองระยอง', 'ระยอง')","('บางละมุง', 'ชลบุรี')",1
"('เมืองระยอง', 'ระยอง')","('บ้านฉาง', 'ระยอง')",1
"('เมืองระยอง', 'ระยอง')","('แกลง', 'ระยอง')",1
"('เมืองระยอง', 'ระยอง')","('วังจันทร์', 'ระยอง')",1
"('เมืองระยอง', 'ระยอง')","('บ้านค่าย', 'ระยอง')",1
"('เมืองระยอง', 'ระยอง')","('นิคมพัฒนา', 'ระยอง')",1
"('บ้านฉาง', 'ระยอง')","('บางละมุง', 'ชลบุรี')",1
"('บ้านฉาง', 'ระยอง')","('สัตหีบ', 'ชลบุรี')",1
"('บ้านฉาง', 'ระยอง')","('เมืองระยอง', 'ระยอง')",1
"('บ้านฉาง', 'ระยอง')","('นิคมพัฒนา', 'ระยอง')",1
"('แกลง', 'ระยอง')","('แก่งหางแมว', 'จันทบุรี')",1
"('แกลง', 'ระยอง')","('นายายอาม', 'จันทบุรี')",1
"('แกลง', 'ระยอง')","('เมืองระยอง', 'ระยอง')",1
"('แกลง', 'ระยอง')","('วังจันทร์', 'ระยอง')",1
"('แกลง', 'ระยอง')","('บ้านค่าย', 'ระยอง')",1
"('แกลง', 'ระยอง')","('เขาชะเมา', 'ระยอง')",1
"('วังจันทร์', 'ระยอง')","('หนองใหญ่', 'ชลบุรี')",1
"('วังจันทร์', 'ระยอง')","('บ่อทอง', 'ชลบุรี')",1
"('วังจันทร์', 'ระยอง')","('เมืองระยอง', 'ระยอง')",1
"('วังจันทร์', 'ระยอง')","('แกลง', 'ระยอง')",1
"('วังจันทร์', 'ระยอง')","('บ้านค่าย', 'ระยอง')",1
"('วังจันทร์', 'ระยอง')","('ปลวกแดง', 'ระยอง')",1
"('วังจันทร์', 'ระยอง')","('เขาชะเมา', 'ระยอง')",1
"('บ้านค่าย', 'ระยอง')","('เมืองระยอง', 'ระยอง')",1
"('บ้านค่าย', 'ระยอง')","('แกลง', 'ระยอง')",1
"('บ้านค่าย', 'ระยอง')","('วังจันทร์', 'ระยอง')",1
"('บ้านค่าย', 'ระยอง')","('ปลวกแดง', 'ระยอง')",1
"('บ้านค่าย', 'ระยอง')","('นิคมพัฒนา', 'ระยอง')",1
"('ปลวกแดง', 'ระยอง')","('บ้านบึง', 'ชลบุรี')",1
"('ปลวกแดง', 'ระยอง')","('หนองใหญ่', 'ชลบุรี')",1
"('ปลวกแดง', 'ระยอง')","('บางละมุง', 'ชลบุรี')",1
"('ปลวกแดง', 'ระยอง')","('ศรีราชา', 'ชลบุรี')",1
"('ปลวกแดง', 'ระยอง')","('วังจันทร์', 'ระยอง')",1
"('ปลวกแดง', 'ระยอง')","('บ้านค่าย', 'ระยอง')",1
"('ปลวกแดง', 'ระยอง')","('นิคมพัฒนา', 'ระยอง')",1
"('เขาชะเมา', 'ระยอง')","('แก่งหางแมว', 'จันทบุรี')",1
"('เขาชะเมา', 'ระยอง')","('นายายอาม', 'จันทบุรี')",1
"('เขาชะเมา', 'ระยอง')","('ท่าตะเกียบ', 'ฉะเชิงเทรา')",1
"('เขาชะเมา', 'ระยอง')","('บ่อทอง', 'ชลบุรี')",1
"('เขาชะเมา', 'ระยอง')","('แกลง', 'ระยอง')",1
"('เขาชะเมา', 'ระยอง')","('วังจันทร์', 'ระยอง')",1
"('นิคมพัฒนา', 'ระยอง')","('บางละมุง', 'ชลบุรี')",1
"('นิคมพัฒนา', 'ระยอง')","('เมืองระยอง', 'ระยอง')",1
"('นิคมพัฒนา', 'ระยอง')","('บ้านฉาง', 'ระยอง')",1
"('นิคมพัฒนา', 'ระยอง')","('บ้านค่าย', 'ระยอง')",1
"('นิคมพัฒนา', 'ระยอง')","('ปลวกแดง', 'ระยอง')",1
