Amper1,Amper2,Adjacent
"('แก่งหางแมว', 'จันทบุรี')","('วังสมบูรณ์', 'สระแก้ว')",1
"('แก่งหางแมว', 'จันทบุรี')","('นายายอาม', 'จันทบุรี')",1
"('แก่งหางแมว', 'จันทบุรี')","('เขาคิชฌกูฏ', 'จันทบุรี')",1
"('แก่งหางแมว', 'จันทบุรี')","('ท่าตะเกียบ', 'ฉะเชิงเทรา')",1
"('แก่งหางแมว', 'จันทบุรี')","('บ่อทอง', 'ชลบุรี')",1
"('แก่งหางแมว', 'จันทบุรี')","('แกลง', 'ระยอง')",1
"('แก่งหางแมว', 'จันทบุรี')","('เขาชะเมา', 'ระยอง')",1
"('แก่งหางแมว', 'จันทบุรี')","('ท่าใหม่', 'จันทบุรี')",1
"('แก่งหางแมว', 'จันทบุรี')","('สอยดาว', 'จันทบุรี')",1
"('นายายอาม', 'จันทบุรี')","('แก่งหางแมว', 'จันทบุรี')",1
"('นายายอาม', 'จันทบุรี')","('แกลง', 'ระยอง')",1
"('นายายอาม', 'จันทบุรี')","('เขาชะเมา', 'ระยอง')",1
"('นายายอาม', 'จันทบุรี')","('ท่าใหม่', 'จันทบุรี')",1
"('เขาคิชฌกูฏ', 'จันทบุรี')","('แก่งหางแมว', 'จันทบุรี')",1
"('เขาคิชฌกูฏ', 'จันทบุรี')","('เมืองจันทบุรี', 'จันทบุรี')",1
"('เขาคิชฌกูฏ', 'จันทบุรี')","('ท่าใหม่', 'จันทบุรี')",1
"('เขาคิชฌกูฏ', 'จันทบุรี')","('โป่งน้ำร้อน', 'จันทบุรี')",1
"('เขาคิชฌกูฏ', 'จันทบุรี')","('มะขาม', 'จันทบุรี')",1
"('เขาคิชฌกูฏ', 'จันทบุรี')","('สอยดาว', 'จันทบุรี')",1
"('เมืองจันทบุรี', 'จันทบุรี')","('เขาคิชฌกูฏ', 'จันทบุรี')",1
"('เมืองจันทบุรี', 'จันทบุรี')","('ขลุง', 'จันทบุรี')",1
"('เมืองจันทบุรี', 'จันทบุรี')","('ท่าใหม่', 'จันทบุรี')",1
"('เมืองจันทบุรี', 'จันทบุรี')","('มะขาม', 'จันทบุรี')",1
"('เมืองจันทบุรี', 'จันทบุรี')","('แหลมสิงห์', 'จันทบุรี')",1
"('ขลุง', 'จันทบุรี')","('เขาสมิง', 'ตราด')",1
"('ขลุง', 'จันทบุรี')","('บ่อไร่', 'ตราด')",1
"('ขลุง', 'จันทบุรี')","('แหลมงอบ', 'ตราด')",1
"('ขลุง', 'จันทบุรี')","('เมืองจันทบุรี', 'จันทบุรี')",1
"('ขลุง', 'จันทบุรี')","('โป่งน้ำร้อน', 'จันทบุรี')",1
"('ขลุง', 'จันทบุรี')","('มะขาม', 'จันทบุรี')",1
"('ขลุง', 'จันทบุรี')","('แหลมสิงห์', 'จันทบุรี')",1
"('ท่าใหม่', 'จันทบุรี')","('แก่งหางแมว', 'จันทบุรี')",1
"('ท่าใหม่', 'จันทบุรี')","('นายายอาม', 'จันทบุรี')",1
"('ท่าใหม่', 'จันทบุรี')","('เขาคิชฌกูฏ', 'จันทบุรี')",1
"('ท่าใหม่', 'จันทบุรี')","('เมืองจันทบุรี', 'จันทบุรี')",1
"('ท่าใหม่', 'จันทบุรี')","('มะขาม', 'จันทบุรี')",1
"('ท่าใหม่', 'จันทบุรี')","('แหลมสิงห์', 'จันทบุรี')",1
"('โป่งน้ำร้อน', 'จันทบุรี')","('เขาคิชฌกูฏ', 'จันทบุรี')",1
"('โป่งน้ำร้อน', 'จันทบุรี')","('บ่อไร่', 'ตราด')",1
"('โป่งน้ำร้อน', 'จันทบุรี')","('ขลุง', 'จันทบุรี')",1
"('โป่งน้ำร้อน', 'จันทบุรี')","('มะขาม', 'จันทบุรี')",1
"('โป่งน้ำร้อน', 'จันทบุรี')","('สอยดาว', 'จันทบุรี')",1
"('มะขาม', 'จันทบุรี')","('เขาคิชฌกูฏ', 'จันทบุรี')",1
"('มะขาม', 'จันทบุรี')","('เมืองจันทบุรี', 'จันทบุรี')",1
"('มะขาม', 'จันทบุรี')","('ขลุง', 'จันทบุรี')",1
"('มะขาม', 'จันทบุรี')","('ท่าใหม่', 'จันทบุรี')",1
"('มะขาม', 'จันทบุรี')","('โป่งน้ำร้อน', 'จันทบุรี')",1
"('แหลมสิงห์', 'จันทบุรี')","('เมืองจันทบุรี', 'จันทบุรี')",1
"('แหลมสิงห์', 'จันทบุรี')","('ขลุง', 'จันทบุรี')",1
"('แหลมสิงห์', 'จันทบุรี')","('ท่าใหม่', 'จันทบุรี')",1
"('สอยดาว', 'จันทบุรี')","('คลองหาด', 'สระแก้ว')",1
"('สอยดาว', 'จันทบุรี')","('วังสมบูรณ์', 'สระแก้ว')",1
"('สอยดาว', 'จันทบุรี')","('แก่งหางแมว', 'จันทบุรี')",1
"('สอยดาว', 'จันทบุรี')","('เขาคิชฌกูฏ', 'จันทบุรี')",1
"('สอยดาว', 'จันทบุรี')","('โป่งน้ำร้อน', 'จันทบุรี')",1
