Amper1,Amper2,Adjacent
"('นางรอง', 'บุรีรัมย์')","('เสิงสาง', 'นครราชสีมา')",1
"('นางรอง', 'บุรีรัมย์')","('หนองหงส์', 'บุรีรัมย์')",1
"('นางรอง', 'บุรีรัมย์')","('เมืองบุรีรัมย์', 'บุรีรัมย์')",1
"('นางรอง', 'บุรีรัมย์')","('หนองกี่', 'บุรีรัมย์')",1
"('นางรอง', 'บุรีรัมย์')","('ละหานทราย', 'บุรีรัมย์')",1
"('นางรอง', 'บุรีรัมย์')","('ประโคนชัย', 'บุรีรัมย์')",1
"('นางรอง', 'บุรีรัมย์')","('ปะคำ', 'บุรีรัมย์')",1
"('นางรอง', 'บุรีรัมย์')","('โนนสุวรรณ', 'บุรีรัมย์')",1
"('นางรอง', 'บุรีรัมย์')","('ชำนิ', 'บุรีรัมย์')",1
"('นางรอง', 'บุรีรัมย์')","('เฉลิมพระเกียรติ', 'บุรีรัมย์')",1
"('บ้านกรวด', 'บุรีรัมย์')","('พนมดงรัก', 'สุรินทร์')",1
"('บ้านกรวด', 'บุรีรัมย์')","('ละหานทราย', 'บุรีรัมย์')",1
"('บ้านกรวด', 'บุรีรัมย์')","('ประโคนชัย', 'บุรีรัมย์')",1
"('บ้านกรวด', 'บุรีรัมย์')","('ปราสาท', 'สุรินทร์')",1
"('พุทไธสง', 'บุรีรัมย์')","('หนองสองห้อง', 'ขอนแก่น')",1
"('พุทไธสง', 'บุรีรัมย์')","('เมืองยาง', 'นครราชสีมา')",1
"('พุทไธสง', 'บุรีรัมย์')","('คูเมือง', 'บุรีรัมย์')",1
"('พุทไธสง', 'บุรีรัมย์')","('นาโพธิ์', 'บุรีรัมย์')",1
"('พุทไธสง', 'บุรีรัมย์')","('บ้านใหม่ไชยพจน์', 'บุรีรัมย์')",1
"('พุทไธสง', 'บุรีรัมย์')","('แคนดง', 'บุรีรัมย์')",1
"('พุทไธสง', 'บุรีรัมย์')","('ชุมพลบุรี', 'สุรินทร์')",1
"('พุทไธสง', 'บุรีรัมย์')","('พยัคฆภูมิพิสัย', 'มหาสารคาม')",1
"('พุทไธสง', 'บุรีรัมย์')","('ยางสีสุราช', 'มหาสารคาม')",1
"('ลำปลายมาศ', 'บุรีรัมย์')","('ห้วยแถลง', 'นครราชสีมา')",1
"('ลำปลายมาศ', 'บุรีรัมย์')","('ชุมพวง', 'นครราชสีมา')",1
"('ลำปลายมาศ', 'บุรีรัมย์')","('หนองหงส์', 'บุรีรัมย์')",1
"('ลำปลายมาศ', 'บุรีรัมย์')","('ลำทะเมนชัย', 'นครราชสีมา')",1
"('ลำปลายมาศ', 'บุรีรัมย์')","('เมืองบุรีรัมย์', 'บุรีรัมย์')",1
"('ลำปลายมาศ', 'บุรีรัมย์')","('คูเมือง', 'บุรีรัมย์')",1
"('ลำปลายมาศ', 'บุรีรัมย์')","('ชำนิ', 'บุรีรัมย์')",1
"('สตึก', 'บุรีรัมย์')","('คูเมือง', 'บุรีรัมย์')",1
