Amper1,Amper2,Adjacent
"('เมืองอุบลราชธานี', 'อุบลราชธานี')","('เขื่องใน', 'อุบลราชธานี')",1
"('เมืองอุบลราชธานี', 'อุบลราชธานี')","('ม่วงสามสิบ', 'อุบลราชธานี')",1
"('เมืองอุบลราชธานี', 'อุบลราชธานี')","('วารินชำราบ', 'อุบลราชธานี')",1
"('เมืองอุบลราชธานี', 'อุบลราชธานี')","('ตาลสุม', 'อุบลราชธานี')",1
"('เมืองอุบลราชธานี', 'อุบลราชธานี')","('ดอนมดแดง', 'อุบลราชธานี')",1
"('เมืองอุบลราชธานี', 'อุบลราชธานี')","('สว่างวีระวงศ์', 'อุบลราชธานี')",1
"('เมืองอุบลราชธานี', 'อุบลราชธานี')","('กันทรารมย์', 'ศรีสะเกษ')",1
"('เมืองอุบลราชธานี', 'อุบลราชธานี')","('เหล่าเสือโก้ก', 'อุบลราชธานี')",1
"('ศรีเมืองใหม่', 'อุบลราชธานี')","('โขงเจียม', 'อุบลราชธานี')",1
"('ศรีเมืองใหม่', 'อุบลราชธานี')","('ตระการพืชผล', 'อุบลราชธานี')",1
"('ศรีเมืองใหม่', 'อุบลราชธานี')","('พิบูลมังสาหาร', 'อุบลราชธานี')",1
"('ศรีเมืองใหม่', 'อุบลราชธานี')","('ตาลสุม', 'อุบลราชธานี')",1
"('ศรีเมืองใหม่', 'อุบลราชธานี')","('โพธิ์ไทร', 'อุบลราชธานี')",1
"('โขงเจียม', 'อุบลราชธานี')","('ศรีเมืองใหม่', 'อุบลราชธานี')",1
"('โขงเจียม', 'อุบลราชธานี')","('พิบูลมังสาหาร', 'อุบลราชธานี')",1
"('โขงเจียม', 'อุบลราชธานี')","('โพธิ์ไทร', 'อุบลราชธานี')",1
"('โขงเจียม', 'อุบลราชธานี')","('สิรินธร', 'อุบลราชธานี')",1
"('เขื่องใน', 'อุบลราชธานี')","('เมืองอุบลราชธานี', 'อุบลราชธานี')",1
"('เขื่องใน', 'อุบลราชธานี')","('ม่วงสามสิบ', 'อุบลราชธานี')",1
"('เขื่องใน', 'อุบลราชธานี')","('วารินชำราบ', 'อุบลราชธานี')",1
"('เขื่องใน', 'อุบลราชธานี')","('ยางชุมน้อย', 'ศรีสะเกษ')",1
"('เขื่องใน', 'อุบลราชธานี')","('กันทรารมย์', 'ศรีสะเกษ')",1
"('เขื่องใน', 'อุบลราชธานี')","('คำเขื่อนแก้ว', 'ยโสธร')",1
"('เขื่องใน', 'อุบลราชธานี')","('มหาชนะชัย', 'ยโสธร')",1
"('เขื่องใน', 'อุบลราชธานี')","('ค้อวัง', 'ยโสธร')",1
