Amper1,Amper2,Adjacent
"('เมืองยโสธร', 'ยโสธร')","('พนมไพร', 'ร้อยเอ็ด')",1
"('เมืองยโสธร', 'ยโสธร')","('เสลภูมิ', 'ร้อยเอ็ด')",1
"('เมืองยโสธร', 'ยโสธร')","('ทรายมูล', 'ยโสธร')",1
"('เมืองยโสธร', 'ยโสธร')","('กุดชุม', 'ยโสธร')",1
"('เมืองยโสธร', 'ยโสธร')","('คำเขื่อนแก้ว', 'ยโสธร')",1
"('เมืองยโสธร', 'ยโสธร')","('ป่าติ้ว', 'ยโสธร')",1
"('ทรายมูล', 'ยโสธร')","('เสลภูมิ', 'ร้อยเอ็ด')",1
"('ทรายมูล', 'ยโสธร')","('เมืองยโสธร', 'ยโสธร')",1
"('ทรายมูล', 'ยโสธร')","('กุดชุม', 'ยโสธร')",1
"('ทรายมูล', 'ยโสธร')","('ป่าติ้ว', 'ยโสธร')",1
"('กุดชุม', 'ยโสธร')","('โพนทอง', 'ร้อยเอ็ด')",1
"('กุดชุม', 'ยโสธร')","('หนองพอก', 'ร้อยเอ็ด')",1
"('กุดชุม', 'ยโสธร')","('เสลภูมิ', 'ร้อยเอ็ด')",1
"('กุดชุม', 'ยโสธร')","('เมืองยโสธร', 'ยโสธร')",1
"('กุดชุม', 'ยโสธร')","('ทรายมูล', 'ยโสธร')",1
"('กุดชุม', 'ยโสธร')","('ป่าติ้ว', 'ยโสธร')",1
"('กุดชุม', 'ยโสธร')","('เลิงนกทา', 'ยโสธร')",1
"('กุดชุม', 'ยโสธร')","('ไทยเจริญ', 'ยโสธร')",1
"('คำเขื่อนแก้ว', 'ยโสธร')","('เขื่องใน', 'อุบลราชธานี')",1
"('คำเขื่อนแก้ว', 'ยโสธร')","('พนมไพร', 'ร้อยเอ็ด')",1
"('คำเขื่อนแก้ว', 'ยโสธร')","('เมืองยโสธร', 'ยโสธร')",1
"('คำเขื่อนแก้ว', 'ยโสธร')","('ป่าติ้ว', 'ยโสธร')",1
"('คำเขื่อนแก้ว', 'ยโสธร')","('มหาชนะชัย', 'ยโสธร')",1
"('คำเขื่อนแก้ว', 'ยโสธร')","('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",1
"('คำเขื่อนแก้ว', 'ยโสธร')","('หัวตะพาน', 'อำนาจเจริญ')",1
"('ป่าติ้ว', 'ยโสธร')","('เมืองยโสธร', 'ยโสธร')",1
"('ป่าติ้ว', 'ยโสธร')","('ทรายมูล', 'ยโสธร')",1
"('ป่าติ้ว', 'ยโสธร')","('กุดชุม', 'ยโสธร')",1
"('ป่าติ้ว', 'ยโสธร')","('คำเขื่อนแก้ว', 'ยโสธร')",1
"('ป่าติ้ว', 'ยโสธร')","('ไทยเจริญ', 'ยโสธร')",1
"('ป่าติ้ว', 'ยโสธร')","('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",1
"('ป่าติ้ว', 'ยโสธร')","('เสนางคนิคม', 'อำนาจเจริญ')",1
"('ป่าติ้ว', 'ยโสธร')","('หัวตะพาน', 'อำนาจเจริญ')",1
"('มหาชนะชัย', 'ยโสธร')","('ศิลาลาด', 'ศรีสะเกษ')",1
"('มหาชนะชัย', 'ยโสธร')","('เขื่องใน', 'อุบลราชธานี')",1
"('มหาชนะชัย', 'ยโสธร')","('พนมไพร', 'ร้อยเอ็ด')",1
"('มหาชนะชัย', 'ยโสธร')","('ราษีไศล', 'ศรีสะเกษ')",1
"('มหาชนะชัย', 'ยโสธร')","('คำเขื่อนแก้ว', 'ยโสธร')",1
"('มหาชนะชัย', 'ยโสธร')","('ค้อวัง', 'ยโสธร')",1
"('ค้อวัง', 'ยโสธร')","('เขื่องใน', 'อุบลราชธานี')",1
"('ค้อวัง', 'ยโสธร')","('ยางชุมน้อย', 'ศรีสะเกษ')",1
"('ค้อวัง', 'ยโสธร')","('ราษีไศล', 'ศรีสะเกษ')",1
"('ค้อวัง', 'ยโสธร')","('มหาชนะชัย', 'ยโสธร')",1
"('เลิงนกทา', 'ยโสธร')","('หนองพอก', 'ร้อยเอ็ด')",1
"('เลิงนกทา', 'ยโสธร')","('เมืองมุกดาหาร', 'มุกดาหาร')",1
"('เลิงนกทา', 'ยโสธร')","('นิคมคำสร้อย', 'มุกดาหาร')",1
"('เลิงนกทา', 'ยโสธร')","('ดอนตาล', 'มุกดาหาร')",1
"('เลิงนกทา', 'ยโสธร')","('กุดชุม', 'ยโสธร')",1
"('เลิงนกทา', 'ยโสธร')","('ไทยเจริญ', 'ยโสธร')",1
"('เลิงนกทา', 'ยโสธร')","('ชานุมาน', 'อำนาจเจริญ')",1
"('เลิงนกทา', 'ยโสธร')","('เสนางคนิคม', 'อำนาจเจริญ')",1
"('เลิงนกทา', 'ยโสธร')","('หนองสูง', 'มุกดาหาร')",1
"('ไทยเจริญ', 'ยโสธร')","('กุดชุม', 'ยโสธร')",1
"('ไทยเจริญ', 'ยโสธร')","('ป่าติ้ว', 'ยโสธร')",1
"('ไทยเจริญ', 'ยโสธร')","('เลิงนกทา', 'ยโสธร')",1
"('ไทยเจริญ', 'ยโสธร')","('เมืองอำนาจเจริญ', 'อำนาจเจริญ')",1
"('ไทยเจริญ', 'ยโสธร')","('เสนางคนิคม', 'อำนาจเจริญ')",1
