Amper1,Amper2,Adjacent
"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')","('นากลาง', 'หนองบัวลำภู')",1
"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')","('โนนสัง', 'หนองบัวลำภู')",1
"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')","('ศรีบุญเรือง', 'หนองบัวลำภู')",1
"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')","('กุดจับ', 'อุดรธานี')",1
"('เมืองหนองบัวลำภู', 'หนองบัวลำภู')","('หนองวัวซอ', 'อุดรธานี')",1
"('นากลาง', 'หนองบัวลำภู')","('เมืองหนองบัวลำภู', 'หนองบัวลำภู')",1
"('นากลาง', 'หนองบัวลำภู')","('ศรีบุญเรือง', 'หนองบัวลำภู')",1
"('นากลาง', 'หนองบัวลำภู')","('สุวรรณคูหา', 'หนองบัวลำภู')",1
"('นากลาง', 'หนองบัวลำภู')","('นาวัง', 'หนองบัวลำภู')",1
"('นากลาง', 'หนองบัวลำภู')","('กุดจับ', 'อุดรธานี')",1
"('นากลาง', 'หนองบัวลำภู')","('หนองวัวซอ', 'อุดรธานี')",1
"('นากลาง', 'หนองบัวลำภู')","('บ้านผือ', 'อุดรธานี')",1
"('นากลาง', 'หนองบัวลำภู')","('เอราวัณ', 'เลย')",1
"('นากลาง', 'หนองบัวลำภู')","('นาด้วง', 'เลย')",1
"('โนนสัง', 'หนองบัวลำภู')","('เมืองหนองบัวลำภู', 'หนองบัวลำภู')",1
"('โนนสัง', 'หนองบัวลำภู')","('ศรีบุญเรือง', 'หนองบัวลำภู')",1
"('โนนสัง', 'หนองบัวลำภู')","('อุบลรัตน์', 'ขอนแก่น')",1
"('โนนสัง', 'หนองบัวลำภู')","('ภูเวียง', 'ขอนแก่น')",1
"('โนนสัง', 'หนองบัวลำภู')","('เขาสวนกวาง', 'ขอนแก่น')",1
"('โนนสัง', 'หนองบัวลำภู')","('หนองนาคำ', 'ขอนแก่น')",1
"('โนนสัง', 'หนองบัวลำภู')","('หนองวัวซอ', 'อุดรธานี')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('เมืองหนองบัวลำภู', 'หนองบัวลำภู')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('นากลาง', 'หนองบัวลำภู')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('โนนสัง', 'หนองบัวลำภู')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('นาวัง', 'หนองบัวลำภู')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('ชุมแพ', 'ขอนแก่น')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('สีชมพู', 'ขอนแก่น')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('ภูเวียง', 'ขอนแก่น')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('หนองนาคำ', 'ขอนแก่น')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('ภูกระดึง', 'เลย')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('ผาขาว', 'เลย')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('เอราวัณ', 'เลย')",1
"('ศรีบุญเรือง', 'หนองบัวลำภู')","('เวียงเก่า', 'ขอนแก่น')",1
"('สุวรรณคูหา', 'หนองบัวลำภู')","('นากลาง', 'หนองบัวลำภู')",1
"('สุวรรณคูหา', 'หนองบัวลำภู')","('นาวัง', 'หนองบัวลำภู')",1
"('สุวรรณคูหา', 'หนองบัวลำภู')","('กุดจับ', 'อุดรธานี')",1
"('สุวรรณคูหา', 'หนองบัวลำภู')","('บ้านผือ', 'อุดรธานี')",1
"('สุวรรณคูหา', 'หนองบัวลำภู')","('น้ำโสม', 'อุดรธานี')",1
"('สุวรรณคูหา', 'หนองบัวลำภู')","('นาด้วง', 'เลย')",1
"('สุวรรณคูหา', 'หนองบัวลำภู')","('ปากชม', 'เลย')",1
"('นาวัง', 'หนองบัวลำภู')","('นากลาง', 'หนองบัวลำภู')",1
"('นาวัง', 'หนองบัวลำภู')","('ศรีบุญเรือง', 'หนองบัวลำภู')",1
"('นาวัง', 'หนองบัวลำภู')","('สุวรรณคูหา', 'หนองบัวลำภู')",1
"('นาวัง', 'หนองบัวลำภู')","('เอราวัณ', 'เลย')",1
"('นาวัง', 'หนองบัวลำภู')","('นาด้วง', 'เลย')",1
