Amper1,Amper2,Adjacent
"('เมืองอุดรธานี', 'อุดรธานี')","('กุดจับ', 'อุดรธานี')",1
"('เมืองอุดรธานี', 'อุดรธานี')","('หนองวัวซอ', 'อุดรธานี')",1
"('เมืองอุดรธานี', 'อุดรธานี')","('กุมภวาปี', 'อุดรธานี')",1
"('เมืองอุดรธานี', 'อุดรธานี')","('หนองหาน', 'อุดรธานี')",1
"('เมืองอุดรธานี', 'อุดรธานี')","('บ้านผือ', 'อุดรธานี')",1
"('เมืองอุดรธานี', 'อุดรธานี')","('เพ็ญ', 'อุดรธานี')",1
"('เมืองอุดรธานี', 'อุดรธานี')","('หนองแสง', 'อุดรธานี')",1
"('เมืองอุดรธานี', 'อุดรธานี')","('พิบูลย์รักษ์', 'อุดรธานี')",1
"('เมืองอุดรธานี', 'อุดรธานี')","('สระใคร', 'หนองคาย')",1
"('เมืองอุดรธานี', 'อุดรธานี')","('ประจักษ์ศิลปาคม', 'อุดรธานี')",1
"('กุดจับ', 'อุดรธานี')","('เมืองหนองบัวลำภู', 'หนองบัวลำภู')",1
"('กุดจับ', 'อุดรธานี')","('นากลาง', 'หนองบัวลำภู')",1
"('กุดจับ', 'อุดรธานี')","('สุวรรณคูหา', 'หนองบัวลำภู')",1
"('กุดจับ', 'อุดรธานี')","('เมืองอุดรธานี', 'อุดรธานี')",1
"('กุดจับ', 'อุดรธานี')","('หนองวัวซอ', 'อุดรธานี')",1
"('กุดจับ', 'อุดรธานี')","('บ้านผือ', 'อุดรธานี')",1
"('หนองวัวซอ', 'อุดรธานี')","('เมืองหนองบัวลำภู', 'หนองบัวลำภู')",1
"('หนองวัวซอ', 'อุดรธานี')","('นากลาง', 'หนองบัวลำภู')",1
"('หนองวัวซอ', 'อุดรธานี')","('โนนสัง', 'หนองบัวลำภู')",1
"('หนองวัวซอ', 'อุดรธานี')","('เขาสวนกวาง', 'ขอนแก่น')",1
"('หนองวัวซอ', 'อุดรธานี')","('เมืองอุดรธานี', 'อุดรธานี')",1
"('หนองวัวซอ', 'อุดรธานี')","('กุดจับ', 'อุดรธานี')",1
"('หนองวัวซอ', 'อุดรธานี')","('โนนสะอาด', 'อุดรธานี')",1
"('หนองวัวซอ', 'อุดรธานี')","('หนองแสง', 'อุดรธานี')",1
"('กุมภวาปี', 'อุดรธานี')","('กระนวน', 'ขอนแก่น')",1
"('กุมภวาปี', 'อุดรธานี')","('เขาสวนกวาง', 'ขอนแก่น')",1
"('กุมภวาปี', 'อุดรธานี')","('เมืองอุดรธานี', 'อุดรธานี')",1
"('กุมภวาปี', 'อุดรธานี')","('โนนสะอาด', 'อุดรธานี')",1
"('กุมภวาปี', 'อุดรธานี')","('หนองหาน', 'อุดรธานี')",1
"('กุมภวาปี', 'อุดรธานี')","('ศรีธาตุ', 'อุดรธานี')",1
"('กุมภวาปี', 'อุดรธานี')","('หนองแสง', 'อุดรธานี')",1
"('กุมภวาปี', 'อุดรธานี')","('ท่าคันโท', 'กาฬสินธุ์')",1
"('กุมภวาปี', 'อุดรธานี')","('กู่แก้ว', 'อุดรธานี')",1
"('กุมภวาปี', 'อุดรธานี')","('ประจักษ์ศิลปาคม', 'อุดรธานี')",1
"('โนนสะอาด', 'อุดรธานี')","('น้ำพอง', 'ขอนแก่น')",1
"('โนนสะอาด', 'อุดรธานี')","('กระนวน', 'ขอนแก่น')",1
"('โนนสะอาด', 'อุดรธานี')","('เขาสวนกวาง', 'ขอนแก่น')",1
"('โนนสะอาด', 'อุดรธานี')","('หนองวัวซอ', 'อุดรธานี')",1
"('โนนสะอาด', 'อุดรธานี')","('กุมภวาปี', 'อุดรธานี')",1
"('โนนสะอาด', 'อุดรธานี')","('ศรีธาตุ', 'อุดรธานี')",1
"('โนนสะอาด', 'อุดรธานี')","('หนองแสง', 'อุดรธานี')",1
"('หนองหาน', 'อุดรธานี')","('เมืองอุดรธานี', 'อุดรธานี')",1
"('หนองหาน', 'อุดรธานี')","('กุมภวาปี', 'อุดรธานี')",1
"('หนองหาน', 'อุดรธานี')","('ทุ่งฝน', 'อุดรธานี')",1
"('หนองหาน', 'อุดรธานี')","('ไชยวาน', 'อุดรธานี')",1
"('หนองหาน', 'อุดรธานี')","('เพ็ญ', 'อุดรธานี')",1
"('หนองหาน', 'อุดรธานี')","('พิบูลย์รักษ์', 'อุดรธานี')",1
"('หนองหาน', 'อุดรธานี')","('สว่างแดนดิน', 'สกลนคร')",1
"('หนองหาน', 'อุดรธานี')","('กู่แก้ว', 'อุดรธานี')",1
"('หนองหาน', 'อุดรธานี')","('ประจักษ์ศิลปาคม', 'อุดรธานี')",1
"('ทุ่งฝน', 'อุดรธานี')","('หนองหาน', 'อุดรธานี')",1
"('ทุ่งฝน', 'อุดรธานี')","('บ้านดุง', 'อุดรธานี')",1
"('ทุ่งฝน', 'อุดรธานี')","('เพ็ญ', 'อุดรธานี')",1
"('ทุ่งฝน', 'อุดรธานี')","('พิบูลย์รักษ์', 'อุดรธานี')",1
"('ทุ่งฝน', 'อุดรธานี')","('สว่างแดนดิน', 'สกลนคร')",1
"('ไชยวาน', 'อุดรธานี')","('หนองหาน', 'อุดรธานี')",1
"('ไชยวาน', 'อุดรธานี')","('ศรีธาตุ', 'อุดรธานี')",1
"('ไชยวาน', 'อุดรธานี')","('วังสามหมอ', 'อุดรธานี')",1
"('ไชยวาน', 'อุดรธานี')","('สว่างแดนดิน', 'สกลนคร')",1
"('ไชยวาน', 'อุดรธานี')","('ส่องดาว', 'สกลนคร')",1
"('ไชยวาน', 'อุดรธานี')","('กู่แก้ว', 'อุดรธานี')",1
"('ศรีธาตุ', 'อุดรธานี')","('กระนวน', 'ขอนแก่น')",1
"('ศรีธาตุ', 'อุดรธานี')","('กุมภวาปี', 'อุดรธานี')",1
"('ศรีธาตุ', 'อุดรธานี')","('โนนสะอาด', 'อุดรธานี')",1
"('ศรีธาตุ', 'อุดรธานี')","('ไชยวาน', 'อุดรธานี')",1
"('ศรีธาตุ', 'อุดรธานี')","('วังสามหมอ', 'อุดรธานี')",1
"('ศรีธาตุ', 'อุดรธานี')","('ท่าคันโท', 'กาฬสินธุ์')",1
"('ศรีธาตุ', 'อุดรธานี')","('กู่แก้ว', 'อุดรธานี')",1
"('วังสามหมอ', 'อุดรธานี')","('ไชยวาน', 'อุดรธานี')",1
"('วังสามหมอ', 'อุดรธานี')","('ศรีธาตุ', 'อุดรธานี')",1
"('วังสามหมอ', 'อุดรธานี')","('คำม่วง', 'กาฬสินธุ์')",1
"('วังสามหมอ', 'อุดรธานี')","('ท่าคันโท', 'กาฬสินธุ์')",1
"('วังสามหมอ', 'อุดรธานี')","('หนองกุงศรี', 'กาฬสินธุ์')",1
"('วังสามหมอ', 'อุดรธานี')","('สามชัย', 'กาฬสินธุ์')",1
"('วังสามหมอ', 'อุดรธานี')","('กุดบาก', 'สกลนคร')",1
"('วังสามหมอ', 'อุดรธานี')","('วาริชภูมิ', 'สกลนคร')",1
"('วังสามหมอ', 'อุดรธานี')","('นิคมน้ำอูน', 'สกลนคร')",1
"('วังสามหมอ', 'อุดรธานี')","('ส่องดาว', 'สกลนคร')",1
"('บ้านดุง', 'อุดรธานี')","('ทุ่งฝน', 'อุดรธานี')",1
"('บ้านดุง', 'อุดรธานี')","('เพ็ญ', 'อุดรธานี')",1
"('บ้านดุง', 'อุดรธานี')","('สร้างคอม', 'อุดรธานี')",1
"('บ้านดุง', 'อุดรธานี')","('พิบูลย์รักษ์', 'อุดรธานี')",1
"('บ้านดุง', 'อุดรธานี')","('โพนพิสัย', 'หนองคาย')",1
"('บ้านดุง', 'อุดรธานี')","('เฝ้าไร่', 'หนองคาย')",1
"('บ้านดุง', 'อุดรธานี')","('บ้านม่วง', 'สกลนคร')",1
"('บ้านดุง', 'อุดรธานี')","('สว่างแดนดิน', 'สกลนคร')",1
"('บ้านดุง', 'อุดรธานี')","('เจริญศิลป์', 'สกลนคร')",1
"('บ้านผือ', 'อุดรธานี')","('นากลาง', 'หนองบัวลำภู')",1
"('บ้านผือ', 'อุดรธานี')","('สุวรรณคูหา', 'หนองบัวลำภู')",1
"('บ้านผือ', 'อุดรธานี')","('เมืองอุดรธานี', 'อุดรธานี')",1
"('บ้านผือ', 'อุดรธานี')","('กุดจับ', 'อุดรธานี')",1
"('บ้านผือ', 'อุดรธานี')","('น้ำโสม', 'อุดรธานี')",1
"('บ้านผือ', 'อุดรธานี')","('เพ็ญ', 'อุดรธานี')",1
"('บ้านผือ', 'อุดรธานี')","('นายูง', 'อุดรธานี')",1
"('บ้านผือ', 'อุดรธานี')","('เมืองหนองคาย', 'หนองคาย')",1
"('บ้านผือ', 'อุดรธานี')","('ท่าบ่อ', 'หนองคาย')",1
"('บ้านผือ', 'อุดรธานี')","('ศรีเชียงใหม่', 'หนองคาย')",1
"('บ้านผือ', 'อุดรธานี')","('สังคม', 'หนองคาย')",1
"('บ้านผือ', 'อุดรธานี')","('สระใคร', 'หนองคาย')",1
"('บ้านผือ', 'อุดรธานี')","('โพธิ์ตาก', 'หนองคาย')",1
"('น้ำโสม', 'อุดรธานี')","('สุวรรณคูหา', 'หนองบัวลำภู')",1
"('น้ำโสม', 'อุดรธานี')","('บ้านผือ', 'อุดรธานี')",1
"('น้ำโสม', 'อุดรธานี')","('นายูง', 'อุดรธานี')",1
"('น้ำโสม', 'อุดรธานี')","('นาด้วง', 'เลย')",1
"('น้ำโสม', 'อุดรธานี')","('ปากชม', 'เลย')",1
"('เพ็ญ', 'อุดรธานี')","('เมืองอุดรธานี', 'อุดรธานี')",1
"('เพ็ญ', 'อุดรธานี')","('หนองหาน', 'อุดรธานี')",1
"('เพ็ญ', 'อุดรธานี')","('ทุ่งฝน', 'อุดรธานี')",1
"('เพ็ญ', 'อุดรธานี')","('บ้านดุง', 'อุดรธานี')",1
"('เพ็ญ', 'อุดรธานี')","('บ้านผือ', 'อุดรธานี')",1
"('เพ็ญ', 'อุดรธานี')","('สร้างคอม', 'อุดรธานี')",1
"('เพ็ญ', 'อุดรธานี')","('พิบูลย์รักษ์', 'อุดรธานี')",1
"('เพ็ญ', 'อุดรธานี')","('เมืองหนองคาย', 'หนองคาย')",1
"('เพ็ญ', 'อุดรธานี')","('โพนพิสัย', 'หนองคาย')",1
"('เพ็ญ', 'อุดรธานี')","('สระใคร', 'หนองคาย')",1
"('สร้างคอม', 'อุดรธานี')","('บ้านดุง', 'อุดรธานี')",1
"('สร้างคอม', 'อุดรธานี')","('เพ็ญ', 'อุดรธานี')",1
"('สร้างคอม', 'อุดรธานี')","('โพนพิสัย', 'หนองคาย')",1
"('หนองแสง', 'อุดรธานี')","('เขาสวนกวาง', 'ขอนแก่น')",1
"('หนองแสง', 'อุดรธานี')","('เมืองอุดรธานี', 'อุดรธานี')",1
"('หนองแสง', 'อุดรธานี')","('หนองวัวซอ', 'อุดรธานี')",1
"('หนองแสง', 'อุดรธานี')","('กุมภวาปี', 'อุดรธานี')",1
"('หนองแสง', 'อุดรธานี')","('โนนสะอาด', 'อุดรธานี')",1
"('นายูง', 'อุดรธานี')","('บ้านผือ', 'อุดรธานี')",1
"('นายูง', 'อุดรธานี')","('น้ำโสม', 'อุดรธานี')",1
"('นายูง', 'อุดรธานี')","('สังคม', 'หนองคาย')",1
"('นายูง', 'อุดรธานี')","('ปากชม', 'เลย')",1
"('พิบูลย์รักษ์', 'อุดรธานี')","('เมืองอุดรธานี', 'อุดรธานี')",1
"('พิบูลย์รักษ์', 'อุดรธานี')","('หนองหาน', 'อุดรธานี')",1
"('พิบูลย์รักษ์', 'อุดรธานี')","('ทุ่งฝน', 'อุดรธานี')",1
"('พิบูลย์รักษ์', 'อุดรธานี')","('บ้านดุง', 'อุดรธานี')",1
"('พิบูลย์รักษ์', 'อุดรธานี')","('เพ็ญ', 'อุดรธานี')",1
"('กู่แก้ว', 'อุดรธานี')","('กุมภวาปี', 'อุดรธานี')",1
"('กู่แก้ว', 'อุดรธานี')","('หนองหาน', 'อุดรธานี')",1
"('กู่แก้ว', 'อุดรธานี')","('ไชยวาน', 'อุดรธานี')",1
"('กู่แก้ว', 'อุดรธานี')","('ศรีธาตุ', 'อุดรธานี')",1
"('กู่แก้ว', 'อุดรธานี')","('ประจักษ์ศิลปาคม', 'อุดรธานี')",1
"('ประจักษ์ศิลปาคม', 'อุดรธานี')","('เมืองอุดรธานี', 'อุดรธานี')",1
"('ประจักษ์ศิลปาคม', 'อุดรธานี')","('กุมภวาปี', 'อุดรธานี')",1
"('ประจักษ์ศิลปาคม', 'อุดรธานี')","('หนองหาน', 'อุดรธานี')",1
"('ประจักษ์ศิลปาคม', 'อุดรธานี')","('กู่แก้ว', 'อุดรธานี')",1
