Amper1,Amper2,Adjacent
"('กุฉินารายณ์', 'กาฬสินธุ์')","('โพนทอง', 'ร้อยเอ็ด')",1
"('กุฉินารายณ์', 'กาฬสินธุ์')","('โพธิ์ชัย', 'ร้อยเอ็ด')",1
"('กุฉินารายณ์', 'กาฬสินธุ์')","('หนองพอก', 'ร้อยเอ็ด')",1
"('กุฉินารายณ์', 'กาฬสินธุ์')","('เขาวง', 'กาฬสินธุ์')",1
"('กุฉินารายณ์', 'กาฬสินธุ์')","('ห้วยผึ้ง', 'กาฬสินธุ์')",1
"('กุฉินารายณ์', 'กาฬสินธุ์')","('นาคู', 'กาฬสินธุ์')",1
"('กุฉินารายณ์', 'กาฬสินธุ์')","('ดอนจาน', 'กาฬสินธุ์')",1
"('กุฉินารายณ์', 'กาฬสินธุ์')","('คำชะอี', 'มุกดาหาร')",1
"('กุฉินารายณ์', 'กาฬสินธุ์')","('เมยวดี', 'ร้อยเอ็ด')",1
"('กุฉินารายณ์', 'กาฬสินธุ์')","('นามน', 'กาฬสินธุ์')",1
"('กุฉินารายณ์', 'กาฬสินธุ์')","('หนองสูง', 'มุกดาหาร')",1
"('เขาวง', 'กาฬสินธุ์')","('กุฉินารายณ์', 'กาฬสินธุ์')",1
"('เขาวง', 'กาฬสินธุ์')","('นาคู', 'กาฬสินธุ์')",1
"('เขาวง', 'กาฬสินธุ์')","('ดงหลวง', 'มุกดาหาร')",1
"('เขาวง', 'กาฬสินธุ์')","('คำชะอี', 'มุกดาหาร')",1
"('ยางตลาด', 'กาฬสินธุ์')","('ห้วยเม็ก', 'กาฬสินธุ์')",1
"('ยางตลาด', 'กาฬสินธุ์')","('หนองกุงศรี', 'กาฬสินธุ์')",1
"('ยางตลาด', 'กาฬสินธุ์')","('ฆ้องชัย', 'กาฬสินธุ์')",1
"('ยางตลาด', 'กาฬสินธุ์')","('โกสุมพิสัย', 'มหาสารคาม')",1
"('ยางตลาด', 'กาฬสินธุ์')","('กันทรวิชัย', 'มหาสารคาม')",1
"('ยางตลาด', 'กาฬสินธุ์')","('เชียงยืน', 'มหาสารคาม')",1
"('ยางตลาด', 'กาฬสินธุ์')","('ชื่นชม', 'มหาสารคาม')",1
"('ยางตลาด', 'กาฬสินธุ์')","('เมืองกาฬสินธุ์', 'กาฬสินธุ์')",1
"('ยางตลาด', 'กาฬสินธุ์')","('กมลาไสย', 'กาฬสินธุ์')",1
"('ห้วยเม็ก', 'กาฬสินธุ์')","('กระนวน', 'ขอนแก่น')",1
"('ห้วยเม็ก', 'กาฬสินธุ์')","('ซำสูง', 'ขอนแก่น')",1
"('ห้วยเม็ก', 'กาฬสินธุ์')","('ยางตลาด', 'กาฬสินธุ์')",1
"('ห้วยเม็ก', 'กาฬสินธุ์')","('ท่าคันโท', 'กาฬสินธุ์')",1
"('ห้วยเม็ก', 'กาฬสินธุ์')","('หนองกุงศรี', 'กาฬสินธุ์')",1
"('ห้วยเม็ก', 'กาฬสินธุ์')","('เชียงยืน', 'มหาสารคาม')",1
"('ห้วยเม็ก', 'กาฬสินธุ์')","('ชื่นชม', 'มหาสารคาม')",1
"('สหัสขันธ์', 'กาฬสินธุ์')","('คำม่วง', 'กาฬสินธุ์')",1
"('สหัสขันธ์', 'กาฬสินธุ์')","('หนองกุงศรี', 'กาฬสินธุ์')",1
"('สหัสขันธ์', 'กาฬสินธุ์')","('สมเด็จ', 'กาฬสินธุ์')",1
"('สหัสขันธ์', 'กาฬสินธุ์')","('สามชัย', 'กาฬสินธุ์')",1
"('สหัสขันธ์', 'กาฬสินธุ์')","('เมืองกาฬสินธุ์', 'กาฬสินธุ์')",1
"('สหัสขันธ์', 'กาฬสินธุ์')","('นามน', 'กาฬสินธุ์')",1
"('คำม่วง', 'กาฬสินธุ์')","('วังสามหมอ', 'อุดรธานี')",1
"('คำม่วง', 'กาฬสินธุ์')","('สหัสขันธ์', 'กาฬสินธุ์')",1
"('คำม่วง', 'กาฬสินธุ์')","('สมเด็จ', 'กาฬสินธุ์')",1
"('คำม่วง', 'กาฬสินธุ์')","('สามชัย', 'กาฬสินธุ์')",1
"('คำม่วง', 'กาฬสินธุ์')","('กุดบาก', 'สกลนคร')",1
"('คำม่วง', 'กาฬสินธุ์')","('นิคมน้ำอูน', 'สกลนคร')",1
"('คำม่วง', 'กาฬสินธุ์')","('ภูพาน', 'สกลนคร')",1
"('ท่าคันโท', 'กาฬสินธุ์')","('กระนวน', 'ขอนแก่น')",1
"('ท่าคันโท', 'กาฬสินธุ์')","('กุมภวาปี', 'อุดรธานี')",1
"('ท่าคันโท', 'กาฬสินธุ์')","('ศรีธาตุ', 'อุดรธานี')",1
"('ท่าคันโท', 'กาฬสินธุ์')","('วังสามหมอ', 'อุดรธานี')",1
