Amper1,Amper2,Adjacent
"('เมืองนนทบุรี', 'นนทบุรี')","('ดุสิต', 'กรุงเทพมหานคร')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('พญาไท', 'กรุงเทพมหานคร')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('ตลิ่งชัน', 'กรุงเทพมหานคร')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('ดอนเมือง', 'กรุงเทพมหานคร')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('บางพลัด', 'กรุงเทพมหานคร')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('บางซื่อ', 'กรุงเทพมหานคร')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('จตุจักร', 'กรุงเทพมหานคร')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('หลักสี่', 'กรุงเทพมหานคร')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('ทวีวัฒนา', 'กรุงเทพมหานคร')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('บางกรวย', 'นนทบุรี')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('บางใหญ่', 'นนทบุรี')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('บางบัวทอง', 'นนทบุรี')",1
"('เมืองนนทบุรี', 'นนทบุรี')","('ปากเกร็ด', 'นนทบุรี')",1
"('บางกรวย', 'นนทบุรี')","('พระนคร', 'กรุงเทพมหานคร')",1
"('บางกรวย', 'นนทบุรี')","('ดุสิต', 'กรุงเทพมหานคร')",1
"('บางกรวย', 'นนทบุรี')","('พญาไท', 'กรุงเทพมหานคร')",1
"('บางกรวย', 'นนทบุรี')","('ตลิ่งชัน', 'กรุงเทพมหานคร')",1
"('บางกรวย', 'นนทบุรี')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
"('บางกรวย', 'นนทบุรี')","('บางพลัด', 'กรุงเทพมหานคร')",1
"('บางกรวย', 'นนทบุรี')","('บางซื่อ', 'กรุงเทพมหานคร')",1
