Amper1,Amper2,Adjacent
"('เมืองลำพูน', 'ลำพูน')","('สันป่าตอง', 'เชียงใหม่')",1
"('เมืองลำพูน', 'ลำพูน')","('สันกำแพง', 'เชียงใหม่')",1
"('เมืองลำพูน', 'ลำพูน')","('หางดง', 'เชียงใหม่')",1
"('เมืองลำพูน', 'ลำพูน')","('สารภี', 'เชียงใหม่')",1
"('เมืองลำพูน', 'ลำพูน')","('แม่ออน', 'เชียงใหม่')",1
"('เมืองลำพูน', 'ลำพูน')","('แม่ทา', 'ลำพูน')",1
"('เมืองลำพูน', 'ลำพูน')","('ป่าซาง', 'ลำพูน')",1
"('เมืองลำพูน', 'ลำพูน')","('บ้านธิ', 'ลำพูน')",1
"('แม่ทา', 'ลำพูน')","('แม่ออน', 'เชียงใหม่')",1
"('แม่ทา', 'ลำพูน')","('เมืองลำพูน', 'ลำพูน')",1
"('แม่ทา', 'ลำพูน')","('บ้านโฮ่ง', 'ลำพูน')",1
"('แม่ทา', 'ลำพูน')","('ลี้', 'ลำพูน')",1
"('แม่ทา', 'ลำพูน')","('ทุ่งหัวช้าง', 'ลำพูน')",1
"('แม่ทา', 'ลำพูน')","('ป่าซาง', 'ลำพูน')",1
"('แม่ทา', 'ลำพูน')","('บ้านธิ', 'ลำพูน')",1
"('แม่ทา', 'ลำพูน')","('ห้างฉัตร', 'ลำปาง')",1
"('แม่ทา', 'ลำพูน')","('เมืองลำปาง', 'ลำปาง')",1
"('แม่ทา', 'ลำพูน')","('เสริมงาม', 'ลำปาง')",1
"('บ้านโฮ่ง', 'ลำพูน')","('ฮอด', 'เชียงใหม่')",1
"('บ้านโฮ่ง', 'ลำพูน')","('แม่ทา', 'ลำพูน')",1
"('บ้านโฮ่ง', 'ลำพูน')","('ลี้', 'ลำพูน')",1
"('บ้านโฮ่ง', 'ลำพูน')","('ทุ่งหัวช้าง', 'ลำพูน')",1
"('บ้านโฮ่ง', 'ลำพูน')","('ป่าซาง', 'ลำพูน')",1
"('บ้านโฮ่ง', 'ลำพูน')","('จอมทอง', 'เชียงใหม่')",1
"('บ้านโฮ่ง', 'ลำพูน')","('เวียงหนองล่อง', 'ลำพูน')",1
"('ลี้', 'ลำพูน')","('ฮอด', 'เชียงใหม่')",1
"('ลี้', 'ลำพูน')","('ดอยเต่า', 'เชียงใหม่')",1
"('ลี้', 'ลำพูน')","('แม่ทา', 'ลำพูน')",1
"('ลี้', 'ลำพูน')","('บ้านโฮ่ง', 'ลำพูน')",1
"('ลี้', 'ลำพูน')","('ทุ่งหัวช้าง', 'ลำพูน')",1
"('ลี้', 'ลำพูน')","('แม่พริก', 'ลำปาง')",1
"('ลี้', 'ลำพูน')","('จอมทอง', 'เชียงใหม่')",1
"('ลี้', 'ลำพูน')","('เถิน', 'ลำปาง')",1
"('ลี้', 'ลำพูน')","('สามเงา', 'ตาก')",1
"('ทุ่งหัวช้าง', 'ลำพูน')","('แม่ทา', 'ลำพูน')",1
"('ทุ่งหัวช้าง', 'ลำพูน')","('บ้านโฮ่ง', 'ลำพูน')",1
"('ทุ่งหัวช้าง', 'ลำพูน')","('ลี้', 'ลำพูน')",1
"('ทุ่งหัวช้าง', 'ลำพูน')","('สบปราบ', 'ลำปาง')",1
"('ทุ่งหัวช้าง', 'ลำพูน')","('เสริมงาม', 'ลำปาง')",1
"('ทุ่งหัวช้าง', 'ลำพูน')","('เถิน', 'ลำปาง')",1
"('ป่าซาง', 'ลำพูน')","('สันป่าตอง', 'เชียงใหม่')",1
"('ป่าซาง', 'ลำพูน')","('แม่วาง', 'เชียงใหม่')",1
"('ป่าซาง', 'ลำพูน')","('ดอยหล่อ', 'เชียงใหม่')",1
"('ป่าซาง', 'ลำพูน')","('เมืองลำพูน', 'ลำพูน')",1
"('ป่าซาง', 'ลำพูน')","('แม่ทา', 'ลำพูน')",1
"('ป่าซาง', 'ลำพูน')","('บ้านโฮ่ง', 'ลำพูน')",1
"('ป่าซาง', 'ลำพูน')","('จอมทอง', 'เชียงใหม่')",1
"('ป่าซาง', 'ลำพูน')","('เวียงหนองล่อง', 'ลำพูน')",1
"('บ้านธิ', 'ลำพูน')","('สันกำแพง', 'เชียงใหม่')",1
"('บ้านธิ', 'ลำพูน')","('สารภี', 'เชียงใหม่')",1
"('บ้านธิ', 'ลำพูน')","('แม่ออน', 'เชียงใหม่')",1
"('บ้านธิ', 'ลำพูน')","('เมืองลำพูน', 'ลำพูน')",1
"('บ้านธิ', 'ลำพูน')","('แม่ทา', 'ลำพูน')",1
"('เวียงหนองล่อง', 'ลำพูน')","('ดอยหล่อ', 'เชียงใหม่')",1
"('เวียงหนองล่อง', 'ลำพูน')","('บ้านโฮ่ง', 'ลำพูน')",1
"('เวียงหนองล่อง', 'ลำพูน')","('ป่าซาง', 'ลำพูน')",1
"('เวียงหนองล่อง', 'ลำพูน')","('จอมทอง', 'เชียงใหม่')",1
