Amper1,Amper2,Adjacent
"('แม่พริก', 'ลำปาง')","('ลี้', 'ลำพูน')",1
"('แม่พริก', 'ลำปาง')","('เถิน', 'ลำปาง')",1
"('แม่พริก', 'ลำปาง')","('บ้านตาก', 'ตาก')",1
"('แม่พริก', 'ลำปาง')","('สามเงา', 'ตาก')",1
"('แม่ทะ', 'ลำปาง')","('ลอง', 'แพร่')",1
"('แม่ทะ', 'ลำปาง')","('วังชิ้น', 'แพร่')",1
"('แม่ทะ', 'ลำปาง')","('สบปราบ', 'ลำปาง')",1
"('แม่ทะ', 'ลำปาง')","('ห้างฉัตร', 'ลำปาง')",1
"('แม่ทะ', 'ลำปาง')","('เมืองลำปาง', 'ลำปาง')",1
"('แม่ทะ', 'ลำปาง')","('แม่เมาะ', 'ลำปาง')",1
"('แม่ทะ', 'ลำปาง')","('เกาะคา', 'ลำปาง')",1
"('สบปราบ', 'ลำปาง')","('วังชิ้น', 'แพร่')",1
"('สบปราบ', 'ลำปาง')","('ทุ่งหัวช้าง', 'ลำพูน')",1
"('สบปราบ', 'ลำปาง')","('แม่ทะ', 'ลำปาง')",1
"('สบปราบ', 'ลำปาง')","('เกาะคา', 'ลำปาง')",1
"('สบปราบ', 'ลำปาง')","('เสริมงาม', 'ลำปาง')",1
"('สบปราบ', 'ลำปาง')","('เถิน', 'ลำปาง')",1
"('ห้างฉัตร', 'ลำปาง')","('แม่ทา', 'ลำพูน')",1
"('ห้างฉัตร', 'ลำปาง')","('แม่ทะ', 'ลำปาง')",1
"('ห้างฉัตร', 'ลำปาง')","('เมืองลำปาง', 'ลำปาง')",1
"('ห้างฉัตร', 'ลำปาง')","('เกาะคา', 'ลำปาง')",1
"('ห้างฉัตร', 'ลำปาง')","('เสริมงาม', 'ลำปาง')",1
"('เมืองปาน', 'ลำปาง')","('แม่ออน', 'เชียงใหม่')",1
"('เมืองปาน', 'ลำปาง')","('เวียงป่าเป้า', 'เชียงราย')",1
"('เมืองปาน', 'ลำปาง')","('ดอยสะเก็ด', 'เชียงใหม่')",1
"('เมืองปาน', 'ลำปาง')","('เมืองลำปาง', 'ลำปาง')",1
"('เมืองปาน', 'ลำปาง')","('แจ้ห่ม', 'ลำปาง')",1
"('เมืองปาน', 'ลำปาง')","('วังเหนือ', 'ลำปาง')",1
"('เมืองลำปาง', 'ลำปาง')","('แม่ออน', 'เชียงใหม่')",1
"('เมืองลำปาง', 'ลำปาง')","('แม่ทา', 'ลำพูน')",1
"('เมืองลำปาง', 'ลำปาง')","('แม่ทะ', 'ลำปาง')",1
"('เมืองลำปาง', 'ลำปาง')","('ห้างฉัตร', 'ลำปาง')",1
"('เมืองลำปาง', 'ลำปาง')","('เมืองปาน', 'ลำปาง')",1
"('เมืองลำปาง', 'ลำปาง')","('แม่เมาะ', 'ลำปาง')",1
"('เมืองลำปาง', 'ลำปาง')","('เกาะคา', 'ลำปาง')",1
"('เมืองลำปาง', 'ลำปาง')","('งาว', 'ลำปาง')",1
"('เมืองลำปาง', 'ลำปาง')","('แจ้ห่ม', 'ลำปาง')",1
"('แม่เมาะ', 'ลำปาง')","('ลอง', 'แพร่')",1
"('แม่เมาะ', 'ลำปาง')","('สอง', 'แพร่')",1
"('แม่เมาะ', 'ลำปาง')","('แม่ทะ', 'ลำปาง')",1
"('แม่เมาะ', 'ลำปาง')","('เมืองลำปาง', 'ลำปาง')",1
"('แม่เมาะ', 'ลำปาง')","('งาว', 'ลำปาง')",1
"('แม่เมาะ', 'ลำปาง')","('แจ้ห่ม', 'ลำปาง')",1
"('เกาะคา', 'ลำปาง')","('แม่ทะ', 'ลำปาง')",1
