Amper1,Amper2,Adjacent
"('ลอง', 'แพร่')","('สูงเม่น', 'แพร่')",1
"('ลอง', 'แพร่')","('เด่นชัย', 'แพร่')",1
"('ลอง', 'แพร่')","('สอง', 'แพร่')",1
"('ลอง', 'แพร่')","('วังชิ้น', 'แพร่')",1
"('ลอง', 'แพร่')","('หนองม่วงไข่', 'แพร่')",1
"('ลอง', 'แพร่')","('แม่ทะ', 'ลำปาง')",1
"('ลอง', 'แพร่')","('เมืองแพร่', 'แพร่')",1
"('ลอง', 'แพร่')","('แม่เมาะ', 'ลำปาง')",1
"('สูงเม่น', 'แพร่')","('ลอง', 'แพร่')",1
"('สูงเม่น', 'แพร่')","('เด่นชัย', 'แพร่')",1
"('สูงเม่น', 'แพร่')","('ท่าปลา', 'อุตรดิตถ์')",1
"('สูงเม่น', 'แพร่')","('เมืองแพร่', 'แพร่')",1
"('เด่นชัย', 'แพร่')","('ศรีสัชนาลัย', 'สุโขทัย')",1
"('เด่นชัย', 'แพร่')","('ลอง', 'แพร่')",1
"('เด่นชัย', 'แพร่')","('สูงเม่น', 'แพร่')",1
"('เด่นชัย', 'แพร่')","('วังชิ้น', 'แพร่')",1
"('เด่นชัย', 'แพร่')","('เมืองอุตรดิตถ์', 'อุตรดิตถ์')",1
"('เด่นชัย', 'แพร่')","('ท่าปลา', 'อุตรดิตถ์')",1
"('เด่นชัย', 'แพร่')","('ลับแล', 'อุตรดิตถ์')",1
"('สอง', 'แพร่')","('ลอง', 'แพร่')",1
"('สอง', 'แพร่')","('หนองม่วงไข่', 'แพร่')",1
"('สอง', 'แพร่')","('บ้านหลวง', 'น่าน')",1
"('สอง', 'แพร่')","('เวียงสา', 'น่าน')",1
"('สอง', 'แพร่')","('เชียงม่วน', 'พะเยา')",1
"('สอง', 'แพร่')","('ดอกคำใต้', 'พะเยา')",1
"('สอง', 'แพร่')","('เมืองแพร่', 'แพร่')",1
"('สอง', 'แพร่')","('ร้องกวาง', 'แพร่')",1
"('สอง', 'แพร่')","('แม่เมาะ', 'ลำปาง')",1
"('สอง', 'แพร่')","('งาว', 'ลำปาง')",1
"('วังชิ้น', 'แพร่')","('ศรีสัชนาลัย', 'สุโขทัย')",1
"('วังชิ้น', 'แพร่')","('ลอง', 'แพร่')",1
"('วังชิ้น', 'แพร่')","('เด่นชัย', 'แพร่')",1
"('วังชิ้น', 'แพร่')","('แม่ทะ', 'ลำปาง')",1
"('วังชิ้น', 'แพร่')","('สบปราบ', 'ลำปาง')",1
"('วังชิ้น', 'แพร่')","('ลับแล', 'อุตรดิตถ์')",1
"('วังชิ้น', 'แพร่')","('เถิน', 'ลำปาง')",1
"('หนองม่วงไข่', 'แพร่')","('ลอง', 'แพร่')",1
"('หนองม่วงไข่', 'แพร่')","('สอง', 'แพร่')",1
"('หนองม่วงไข่', 'แพร่')","('เมืองแพร่', 'แพร่')",1
"('หนองม่วงไข่', 'แพร่')","('ร้องกวาง', 'แพร่')",1
"('เมืองแพร่', 'แพร่')","('ลอง', 'แพร่')",1
"('เมืองแพร่', 'แพร่')","('สูงเม่น', 'แพร่')",1
"('เมืองแพร่', 'แพร่')","('สอง', 'แพร่')",1
"('เมืองแพร่', 'แพร่')","('หนองม่วงไข่', 'แพร่')",1
"('เมืองแพร่', 'แพร่')","('นาหมื่น', 'น่าน')",1
"('เมืองแพร่', 'แพร่')","('ท่าปลา', 'อุตรดิตถ์')",1
"('เมืองแพร่', 'แพร่')","('ร้องกวาง', 'แพร่')",1
"('ร้องกวาง', 'แพร่')","('สอง', 'แพร่')",1
"('ร้องกวาง', 'แพร่')","('หนองม่วงไข่', 'แพร่')",1
"('ร้องกวาง', 'แพร่')","('นาน้อย', 'น่าน')",1
"('ร้องกวาง', 'แพร่')","('เวียงสา', 'น่าน')",1
"('ร้องกวาง', 'แพร่')","('นาหมื่น', 'น่าน')",1
"('ร้องกวาง', 'แพร่')","('เมืองแพร่', 'แพร่')",1
