Amper1,Amper2,Adjacent
"('เมืองน่าน', 'น่าน')","('บ้านหลวง', 'น่าน')",1
"('เมืองน่าน', 'น่าน')","('ท่าวังผา', 'น่าน')",1
"('เมืองน่าน', 'น่าน')","('เวียงสา', 'น่าน')",1
"('เมืองน่าน', 'น่าน')","('สันติสุข', 'น่าน')",1
"('เมืองน่าน', 'น่าน')","('ภูเพียง', 'น่าน')",1
"('เมืองน่าน', 'น่าน')","('เชียงม่วน', 'พะเยา')",1
"('เมืองน่าน', 'น่าน')","('ปง', 'พะเยา')",1
"('แม่จริม', 'น่าน')","('เวียงสา', 'น่าน')",1
"('แม่จริม', 'น่าน')","('สันติสุข', 'น่าน')",1
"('แม่จริม', 'น่าน')","('บ่อเกลือ', 'น่าน')",1
"('แม่จริม', 'น่าน')","('ภูเพียง', 'น่าน')",1
"('บ้านหลวง', 'น่าน')","('สอง', 'แพร่')",1
"('บ้านหลวง', 'น่าน')","('เมืองน่าน', 'น่าน')",1
"('บ้านหลวง', 'น่าน')","('เวียงสา', 'น่าน')",1
"('บ้านหลวง', 'น่าน')","('เชียงม่วน', 'พะเยา')",1
"('นาน้อย', 'น่าน')","('เวียงสา', 'น่าน')",1
"('นาน้อย', 'น่าน')","('นาหมื่น', 'น่าน')",1
"('นาน้อย', 'น่าน')","('ฟากท่า', 'อุตรดิตถ์')",1
"('นาน้อย', 'น่าน')","('บ้านโคก', 'อุตรดิตถ์')",1
"('นาน้อย', 'น่าน')","('ร้องกวาง', 'แพร่')",1
"('ปัว', 'น่าน')","('ท่าวังผา', 'น่าน')",1
"('ปัว', 'น่าน')","('ทุ่งช้าง', 'น่าน')",1
"('ปัว', 'น่าน')","('เชียงกลาง', 'น่าน')",1
"('ปัว', 'น่าน')","('สันติสุข', 'น่าน')",1
"('ปัว', 'น่าน')","('บ่อเกลือ', 'น่าน')",1
"('ปัว', 'น่าน')","('สองแคว', 'น่าน')",1
"('ปัว', 'น่าน')","('เฉลิมพระเกียรติ', 'น่าน')",1
"('ท่าวังผา', 'น่าน')","('เมืองน่าน', 'น่าน')",1
"('ท่าวังผา', 'น่าน')","('ปัว', 'น่าน')",1
"('ท่าวังผา', 'น่าน')","('เชียงกลาง', 'น่าน')",1
"('ท่าวังผา', 'น่าน')","('สันติสุข', 'น่าน')",1
"('ท่าวังผา', 'น่าน')","('สองแคว', 'น่าน')",1
"('ท่าวังผา', 'น่าน')","('ปง', 'พะเยา')",1
"('เวียงสา', 'น่าน')","('สอง', 'แพร่')",1
"('เวียงสา', 'น่าน')","('เมืองน่าน', 'น่าน')",1
"('เวียงสา', 'น่าน')","('แม่จริม', 'น่าน')",1
"('เวียงสา', 'น่าน')","('บ้านหลวง', 'น่าน')",1
"('เวียงสา', 'น่าน')","('นาน้อย', 'น่าน')",1
"('เวียงสา', 'น่าน')","('ภูเพียง', 'น่าน')",1
"('เวียงสา', 'น่าน')","('บ้านโคก', 'อุตรดิตถ์')",1
"('เวียงสา', 'น่าน')","('ร้องกวาง', 'แพร่')",1
"('ทุ่งช้าง', 'น่าน')","('ปัว', 'น่าน')",1
"('ทุ่งช้าง', 'น่าน')","('เชียงกลาง', 'น่าน')",1
"('ทุ่งช้าง', 'น่าน')","('บ่อเกลือ', 'น่าน')",1
"('ทุ่งช้าง', 'น่าน')","('สองแคว', 'น่าน')",1
"('ทุ่งช้าง', 'น่าน')","('เฉลิมพระเกียรติ', 'น่าน')",1
"('เชียงกลาง', 'น่าน')","('ปัว', 'น่าน')",1
"('เชียงกลาง', 'น่าน')","('ท่าวังผา', 'น่าน')",1
