Amper1,Amper2,Adjacent
"('เมืองพะเยา', 'พะเยา')","('ดอกคำใต้', 'พะเยา')",1
"('เมืองพะเยา', 'พะเยา')","('แม่ใจ', 'พะเยา')",1
"('เมืองพะเยา', 'พะเยา')","('ภูกามยาว', 'พะเยา')",1
"('เมืองพะเยา', 'พะเยา')","('พาน', 'เชียงราย')",1
"('เมืองพะเยา', 'พะเยา')","('ป่าแดด', 'เชียงราย')",1
"('เมืองพะเยา', 'พะเยา')","('งาว', 'ลำปาง')",1
"('เมืองพะเยา', 'พะเยา')","('วังเหนือ', 'ลำปาง')",1
"('จุน', 'พะเยา')","('เชียงคำ', 'พะเยา')",1
"('จุน', 'พะเยา')","('ดอกคำใต้', 'พะเยา')",1
"('จุน', 'พะเยา')","('ปง', 'พะเยา')",1
"('จุน', 'พะเยา')","('เทิง', 'เชียงราย')",1
"('จุน', 'พะเยา')","('ป่าแดด', 'เชียงราย')",1
"('เชียงคำ', 'พะเยา')","('สองแคว', 'น่าน')",1
"('เชียงคำ', 'พะเยา')","('จุน', 'พะเยา')",1
"('เชียงคำ', 'พะเยา')","('ปง', 'พะเยา')",1
"('เชียงคำ', 'พะเยา')","('ภูซาง', 'พะเยา')",1
"('เชียงคำ', 'พะเยา')","('เทิง', 'เชียงราย')",1
"('เชียงม่วน', 'พะเยา')","('สอง', 'แพร่')",1
"('เชียงม่วน', 'พะเยา')","('เมืองน่าน', 'น่าน')",1
"('เชียงม่วน', 'พะเยา')","('บ้านหลวง', 'น่าน')",1
"('เชียงม่วน', 'พะเยา')","('ดอกคำใต้', 'พะเยา')",1
"('เชียงม่วน', 'พะเยา')","('ปง', 'พะเยา')",1
"('เชียงม่วน', 'พะเยา')","('งาว', 'ลำปาง')",1
"('ดอกคำใต้', 'พะเยา')","('สอง', 'แพร่')",1
"('ดอกคำใต้', 'พะเยา')","('เมืองพะเยา', 'พะเยา')",1
"('ดอกคำใต้', 'พะเยา')","('จุน', 'พะเยา')",1
"('ดอกคำใต้', 'พะเยา')","('เชียงม่วน', 'พะเยา')",1
"('ดอกคำใต้', 'พะเยา')","('ปง', 'พะเยา')",1
"('ดอกคำใต้', 'พะเยา')","('ภูกามยาว', 'พะเยา')",1
"('ดอกคำใต้', 'พะเยา')","('ป่าแดด', 'เชียงราย')",1
"('ดอกคำใต้', 'พะเยา')","('งาว', 'ลำปาง')",1
"('ปง', 'พะเยา')","('เมืองน่าน', 'น่าน')",1
"('ปง', 'พะเยา')","('ท่าวังผา', 'น่าน')",1
"('ปง', 'พะเยา')","('สองแคว', 'น่าน')",1
"('ปง', 'พะเยา')","('จุน', 'พะเยา')",1
"('ปง', 'พะเยา')","('เชียงคำ', 'พะเยา')",1
"('ปง', 'พะเยา')","('เชียงม่วน', 'พะเยา')",1
"('ปง', 'พะเยา')","('ดอกคำใต้', 'พะเยา')",1
"('แม่ใจ', 'พะเยา')","('เมืองพะเยา', 'พะเยา')",1
"('แม่ใจ', 'พะเยา')","('ภูกามยาว', 'พะเยา')",1
"('แม่ใจ', 'พะเยา')","('พาน', 'เชียงราย')",1
"('แม่ใจ', 'พะเยา')","('ป่าแดด', 'เชียงราย')",1
"('แม่ใจ', 'พะเยา')","('วังเหนือ', 'ลำปาง')",1
"('ภูซาง', 'พะเยา')","('เชียงคำ', 'พะเยา')",1
"('ภูซาง', 'พะเยา')","('เทิง', 'เชียงราย')",1
"('ภูกามยาว', 'พะเยา')","('เมืองพะเยา', 'พะเยา')",1
"('ภูกามยาว', 'พะเยา')","('ดอกคำใต้', 'พะเยา')",1
"('ภูกามยาว', 'พะเยา')","('แม่ใจ', 'พะเยา')",1
"('ภูกามยาว', 'พะเยา')","('พาน', 'เชียงราย')",1
"('ภูกามยาว', 'พะเยา')","('ป่าแดด', 'เชียงราย')",1
