Amper1,Amper2,Adjacent
"('เมืองเชียงราย', 'เชียงราย')","('เวียงชัย', 'เชียงราย')",1
"('เมืองเชียงราย', 'เชียงราย')","('เทิง', 'เชียงราย')",1
"('เมืองเชียงราย', 'เชียงราย')","('แม่อาย', 'เชียงใหม่')",1
"('เมืองเชียงราย', 'เชียงราย')","('พาน', 'เชียงราย')",1
"('เมืองเชียงราย', 'เชียงราย')","('ป่าแดด', 'เชียงราย')",1
"('เมืองเชียงราย', 'เชียงราย')","('แม่จัน', 'เชียงราย')",1
"('เมืองเชียงราย', 'เชียงราย')","('แม่สรวย', 'เชียงราย')",1
"('เมืองเชียงราย', 'เชียงราย')","('พญาเม็งราย', 'เชียงราย')",1
"('เมืองเชียงราย', 'เชียงราย')","('แม่ฟ้าหลวง', 'เชียงราย')",1
"('เมืองเชียงราย', 'เชียงราย')","('ดอยหลวง', 'เชียงราย')",1
"('เมืองเชียงราย', 'เชียงราย')","('แม่ลาว', 'เชียงราย')",1
"('เมืองเชียงราย', 'เชียงราย')","('เวียงเชียงรุ้ง', 'เชียงราย')",1
"('เวียงชัย', 'เชียงราย')","('เมืองเชียงราย', 'เชียงราย')",1
"('เวียงชัย', 'เชียงราย')","('เทิง', 'เชียงราย')",1
"('เวียงชัย', 'เชียงราย')","('พญาเม็งราย', 'เชียงราย')",1
"('เวียงชัย', 'เชียงราย')","('เวียงเชียงรุ้ง', 'เชียงราย')",1
"('เชียงของ', 'เชียงราย')","('เชียงแสน', 'เชียงราย')",1
"('เชียงของ', 'เชียงราย')","('พญาเม็งราย', 'เชียงราย')",1
"('เชียงของ', 'เชียงราย')","('เวียงแก่น', 'เชียงราย')",1
"('เชียงของ', 'เชียงราย')","('ขุนตาล', 'เชียงราย')",1
"('เชียงของ', 'เชียงราย')","('ดอยหลวง', 'เชียงราย')",1
"('เชียงของ', 'เชียงราย')","('เวียงเชียงรุ้ง', 'เชียงราย')",1
"('เทิง', 'เชียงราย')","('จุน', 'พะเยา')",1
"('เทิง', 'เชียงราย')","('เชียงคำ', 'พะเยา')",1
"('เทิง', 'เชียงราย')","('ภูซาง', 'พะเยา')",1
"('เทิง', 'เชียงราย')","('เมืองเชียงราย', 'เชียงราย')",1
"('เทิง', 'เชียงราย')","('เวียงชัย', 'เชียงราย')",1
"('เทิง', 'เชียงราย')","('พาน', 'เชียงราย')",1
"('เทิง', 'เชียงราย')","('ป่าแดด', 'เชียงราย')",1
"('เทิง', 'เชียงราย')","('พญาเม็งราย', 'เชียงราย')",1
"('เทิง', 'เชียงราย')","('เวียงแก่น', 'เชียงราย')",1
"('เทิง', 'เชียงราย')","('ขุนตาล', 'เชียงราย')",1
"('พาน', 'เชียงราย')","('เมืองพะเยา', 'พะเยา')",1
"('พาน', 'เชียงราย')","('แม่ใจ', 'พะเยา')",1
"('พาน', 'เชียงราย')","('ภูกามยาว', 'พะเยา')",1
"('พาน', 'เชียงราย')","('เมืองเชียงราย', 'เชียงราย')",1
