Amper1,Amper2,Adjacent
"('เมืองตาก', 'ตาก')","('พรานกระต่าย', 'กำแพงเพชร')",1
"('เมืองตาก', 'ตาก')","('โกสัมพีนคร', 'กำแพงเพชร')",1
"('เมืองตาก', 'ตาก')","('บ้านด่านลานหอย', 'สุโขทัย')",1
"('เมืองตาก', 'ตาก')","('เถิน', 'ลำปาง')",1
"('เมืองตาก', 'ตาก')","('บ้านตาก', 'ตาก')",1
"('เมืองตาก', 'ตาก')","('สามเงา', 'ตาก')",1
"('เมืองตาก', 'ตาก')","('แม่ระมาด', 'ตาก')",1
"('เมืองตาก', 'ตาก')","('แม่สอด', 'ตาก')",1
"('เมืองตาก', 'ตาก')","('พบพระ', 'ตาก')",1
"('เมืองตาก', 'ตาก')","('วังเจ้า', 'ตาก')",1
"('บ้านตาก', 'ตาก')","('บ้านด่านลานหอย', 'สุโขทัย')",1
"('บ้านตาก', 'ตาก')","('แม่พริก', 'ลำปาง')",1
"('บ้านตาก', 'ตาก')","('เถิน', 'ลำปาง')",1
"('บ้านตาก', 'ตาก')","('เมืองตาก', 'ตาก')",1
"('บ้านตาก', 'ตาก')","('สามเงา', 'ตาก')",1
"('บ้านตาก', 'ตาก')","('แม่ระมาด', 'ตาก')",1
"('สามเงา', 'ตาก')","('ดอยเต่า', 'เชียงใหม่')",1
"('สามเงา', 'ตาก')","('อมก๋อย', 'เชียงใหม่')",1
"('สามเงา', 'ตาก')","('ลี้', 'ลำพูน')",1
"('สามเงา', 'ตาก')","('แม่พริก', 'ลำปาง')",1
"('สามเงา', 'ตาก')","('เถิน', 'ลำปาง')",1
"('สามเงา', 'ตาก')","('เมืองตาก', 'ตาก')",1
"('สามเงา', 'ตาก')","('บ้านตาก', 'ตาก')",1
"('สามเงา', 'ตาก')","('แม่ระมาด', 'ตาก')",1
"('แม่ระมาด', 'ตาก')","('อมก๋อย', 'เชียงใหม่')",1
"('แม่ระมาด', 'ตาก')","('เมืองตาก', 'ตาก')",1
"('แม่ระมาด', 'ตาก')","('บ้านตาก', 'ตาก')",1
"('แม่ระมาด', 'ตาก')","('สามเงา', 'ตาก')",1
"('แม่ระมาด', 'ตาก')","('ท่าสองยาง', 'ตาก')",1
"('แม่ระมาด', 'ตาก')","('แม่สอด', 'ตาก')",1
"('ท่าสองยาง', 'ตาก')","('อมก๋อย', 'เชียงใหม่')",1
"('ท่าสองยาง', 'ตาก')","('สบเมย', 'แม่ฮ่องสอน')",1
"('ท่าสองยาง', 'ตาก')","('แม่ระมาด', 'ตาก')",1
"('แม่สอด', 'ตาก')","('เมืองตาก', 'ตาก')",1
"('แม่สอด', 'ตาก')","('แม่ระมาด', 'ตาก')",1
"('แม่สอด', 'ตาก')","('พบพระ', 'ตาก')",1
"('แม่สอด', 'ตาก')","('วังเจ้า', 'ตาก')",1
"('พบพระ', 'ตาก')","('คลองลาน', 'กำแพงเพชร')",1
"('พบพระ', 'ตาก')","('โกสัมพีนคร', 'กำแพงเพชร')",1
"('พบพระ', 'ตาก')","('เมืองตาก', 'ตาก')",1
"('พบพระ', 'ตาก')","('แม่สอด', 'ตาก')",1
"('พบพระ', 'ตาก')","('อุ้มผาง', 'ตาก')",1
"('พบพระ', 'ตาก')","('วังเจ้า', 'ตาก')",1
"('อุ้มผาง', 'ตาก')","('แม่วงก์', 'นครสวรรค์')",1
"('อุ้มผาง', 'ตาก')","('บ้านไร่', 'อุทัยธานี')",1
"('อุ้มผาง', 'ตาก')","('คลองลาน', 'กำแพงเพชร')",1
"('อุ้มผาง', 'ตาก')","('ปางศิลาทอง', 'กำแพงเพชร')",1
"('อุ้มผาง', 'ตาก')","('โกสัมพีนคร', 'กำแพงเพชร')",1
"('อุ้มผาง', 'ตาก')","('พบพระ', 'ตาก')",1
"('อุ้มผาง', 'ตาก')","('ทองผาภูมิ', 'กาญจนบุรี')",1
"('อุ้มผาง', 'ตาก')","('สังขละบุรี', 'กาญจนบุรี')",1
"('วังเจ้า', 'ตาก')","('เมืองกำแพงเพชร', 'กำแพงเพชร')",1
"('วังเจ้า', 'ตาก')","('คลองลาน', 'กำแพงเพชร')",1
"('วังเจ้า', 'ตาก')","('โกสัมพีนคร', 'กำแพงเพชร')",1
"('วังเจ้า', 'ตาก')","('เมืองตาก', 'ตาก')",1
"('วังเจ้า', 'ตาก')","('แม่สอด', 'ตาก')",1
"('วังเจ้า', 'ตาก')","('พบพระ', 'ตาก')",1
