Amper1,Amper2,Adjacent
"('เมืองพิจิตร', 'พิจิตร')","('บางกระทุ่ม', 'พิษณุโลก')",1
"('เมืองพิจิตร', 'พิจิตร')","('วังทรายพูน', 'พิจิตร')",1
"('เมืองพิจิตร', 'พิจิตร')","('โพธิ์ประทับช้าง', 'พิจิตร')",1
"('เมืองพิจิตร', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')",1
"('เมืองพิจิตร', 'พิจิตร')","('สามง่าม', 'พิจิตร')",1
"('เมืองพิจิตร', 'พิจิตร')","('ทับคล้อ', 'พิจิตร')",1
"('เมืองพิจิตร', 'พิจิตร')","('สากเหล็ก', 'พิจิตร')",1
"('วังทรายพูน', 'พิจิตร')","('เนินมะปราง', 'พิษณุโลก')",1
"('วังทรายพูน', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')",1
"('วังทรายพูน', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')",1
"('วังทรายพูน', 'พิจิตร')","('ทับคล้อ', 'พิจิตร')",1
"('วังทรายพูน', 'พิจิตร')","('สากเหล็ก', 'พิจิตร')",1
"('วังทรายพูน', 'พิจิตร')","('วังโป่ง', 'เพชรบูรณ์')",1
"('โพธิ์ประทับช้าง', 'พิจิตร')","('ไทรงาม', 'กำแพงเพชร')",1
"('โพธิ์ประทับช้าง', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')",1
"('โพธิ์ประทับช้าง', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')",1
"('โพธิ์ประทับช้าง', 'พิจิตร')","('บึงสามัคคี', 'กำแพงเพชร')",1
"('โพธิ์ประทับช้าง', 'พิจิตร')","('สามง่าม', 'พิจิตร')",1
"('โพธิ์ประทับช้าง', 'พิจิตร')","('บึงนาราง', 'พิจิตร')",1
"('ตะพานหิน', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')",1
"('ตะพานหิน', 'พิจิตร')","('วังทรายพูน', 'พิจิตร')",1
"('ตะพานหิน', 'พิจิตร')","('โพธิ์ประทับช้าง', 'พิจิตร')",1
"('ตะพานหิน', 'พิจิตร')","('บางมูลนาก', 'พิจิตร')",1
"('ตะพานหิน', 'พิจิตร')","('โพทะเล', 'พิจิตร')",1
"('ตะพานหิน', 'พิจิตร')","('ทับคล้อ', 'พิจิตร')",1
"('ตะพานหิน', 'พิจิตร')","('บึงนาราง', 'พิจิตร')",1
"('ตะพานหิน', 'พิจิตร')","('ดงเจริญ', 'พิจิตร')",1
"('บางมูลนาก', 'พิจิตร')","('ชุมแสง', 'นครสวรรค์')",1
"('บางมูลนาก', 'พิจิตร')","('หนองบัว', 'นครสวรรค์')",1
"('บางมูลนาก', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')",1
"('บางมูลนาก', 'พิจิตร')","('โพทะเล', 'พิจิตร')",1
"('บางมูลนาก', 'พิจิตร')","('ทับคล้อ', 'พิจิตร')",1
"('บางมูลนาก', 'พิจิตร')","('ดงเจริญ', 'พิจิตร')",1
"('โพทะเล', 'พิจิตร')","('ชุมแสง', 'นครสวรรค์')",1
"('โพทะเล', 'พิจิตร')","('บรรพตพิสัย', 'นครสวรรค์')",1
"('โพทะเล', 'พิจิตร')","('เก้าเลี้ยว', 'นครสวรรค์')",1
"('โพทะเล', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')",1
"('โพทะเล', 'พิจิตร')","('บางมูลนาก', 'พิจิตร')",1
"('โพทะเล', 'พิจิตร')","('บึงนาราง', 'พิจิตร')",1
"('สามง่าม', 'พิจิตร')","('ไทรงาม', 'กำแพงเพชร')",1
"('สามง่าม', 'พิจิตร')","('ทรายทองวัฒนา', 'กำแพงเพชร')",1
"('สามง่าม', 'พิจิตร')","('เมืองพิษณุโลก', 'พิษณุโลก')",1
"('สามง่าม', 'พิจิตร')","('บางระกำ', 'พิษณุโลก')",1
"('สามง่าม', 'พิจิตร')","('บางกระทุ่ม', 'พิษณุโลก')",1
"('สามง่าม', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')",1
"('สามง่าม', 'พิจิตร')","('โพธิ์ประทับช้าง', 'พิจิตร')",1
"('สามง่าม', 'พิจิตร')","('บึงสามัคคี', 'กำแพงเพชร')",1
"('สามง่าม', 'พิจิตร')","('วชิรบารมี', 'พิจิตร')",1
"('ทับคล้อ', 'พิจิตร')","('เนินมะปราง', 'พิษณุโลก')",1
"('ทับคล้อ', 'พิจิตร')","('เมืองพิจิตร', 'พิจิตร')",1
"('ทับคล้อ', 'พิจิตร')","('วังทรายพูน', 'พิจิตร')",1
"('ทับคล้อ', 'พิจิตร')","('ตะพานหิน', 'พิจิตร')",1
"('ทับคล้อ', 'พิจิตร')","('บางมูลนาก', 'พิจิตร')",1
"('ทับคล้อ', 'พิจิตร')","('ดงเจริญ', 'พิจิตร')",1
"('ทับคล้อ', 'พิจิตร')","('ชนแดน', 'เพชรบูรณ์')",1
"('ทับคล้อ', 'พิจิตร')","('วังโป่ง', 'เพชรบูรณ์')",1
