Amper1,Amper2,Adjacent
"('บางปะหัน', 'พระนครศรีอยุธยา')","('ป่าโมก', 'อ่างทอง')",1
"('บางปะหัน', 'พระนครศรีอยุธยา')","('พระนครศรีอยุธยา', 'พระนครศรีอยุธยา')",1
"('บางปะหัน', 'พระนครศรีอยุธยา')","('ท่าเรือ', 'พระนครศรีอยุธยา')",1
"('บางปะหัน', 'พระนครศรีอยุธยา')","('นครหลวง', 'พระนครศรีอยุธยา')",1
"('บางปะหัน', 'พระนครศรีอยุธยา')","('บางบาล', 'พระนครศรีอยุธยา')",1
"('บางปะหัน', 'พระนครศรีอยุธยา')","('อุทัย', 'พระนครศรีอยุธยา')",1
"('บางปะหัน', 'พระนครศรีอยุธยา')","('มหาราช', 'พระนครศรีอยุธยา')",1
"('บางปะหัน', 'พระนครศรีอยุธยา')","('เมืองอ่างทอง', 'อ่างทอง')",1
"('บางปะหัน', 'พระนครศรีอยุธยา')","('บ้านหมอ', 'สระบุรี')",1
"('บางปะหัน', 'พระนครศรีอยุธยา')","('ดอนพุด', 'สระบุรี')",1
"('ผักไห่', 'พระนครศรีอยุธยา')","('เสนา', 'พระนครศรีอยุธยา')",1
"('ผักไห่', 'พระนครศรีอยุธยา')","('บางซ้าย', 'พระนครศรีอยุธยา')",1
"('ผักไห่', 'พระนครศรีอยุธยา')","('ป่าโมก', 'อ่างทอง')",1
"('ผักไห่', 'พระนครศรีอยุธยา')","('วิเศษชัยชาญ', 'อ่างทอง')",1
"('ผักไห่', 'พระนครศรีอยุธยา')","('บางบาล', 'พระนครศรีอยุธยา')",1
"('ผักไห่', 'พระนครศรีอยุธยา')","('เมืองอ่างทอง', 'อ่างทอง')",1
"('ผักไห่', 'พระนครศรีอยุธยา')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",1
"('ผักไห่', 'พระนครศรีอยุธยา')","('บางปลาม้า', 'สุพรรณบุรี')",1
"('ภาชี', 'พระนครศรีอยุธยา')","('หนองแค', 'สระบุรี')",1
"('ภาชี', 'พระนครศรีอยุธยา')","('พระนครศรีอยุธยา', 'พระนครศรีอยุธยา')",1
"('ภาชี', 'พระนครศรีอยุธยา')","('ท่าเรือ', 'พระนครศรีอยุธยา')",1
"('ภาชี', 'พระนครศรีอยุธยา')","('นครหลวง', 'พระนครศรีอยุธยา')",1
"('ภาชี', 'พระนครศรีอยุธยา')","('อุทัย', 'พระนครศรีอยุธยา')",1
"('ภาชี', 'พระนครศรีอยุธยา')","('หนองแซง', 'สระบุรี')",1
"('ภาชี', 'พระนครศรีอยุธยา')","('เสาไห้', 'สระบุรี')",1
"('ลาดบัวหลวง', 'พระนครศรีอยุธยา')","('เสนา', 'พระนครศรีอยุธยา')",1
"('ลาดบัวหลวง', 'พระนครศรีอยุธยา')","('บางซ้าย', 'พระนครศรีอยุธยา')",1
"('ลาดบัวหลวง', 'พระนครศรีอยุธยา')","('ไทรน้อย', 'นนทบุรี')",1
"('ลาดบัวหลวง', 'พระนครศรีอยุธยา')","('ลาดหลุมแก้ว', 'ปทุมธานี')",1
"('ลาดบัวหลวง', 'พระนครศรีอยุธยา')","('สามโคก', 'ปทุมธานี')",1
"('ลาดบัวหลวง', 'พระนครศรีอยุธยา')","('บางไทร', 'พระนครศรีอยุธยา')",1
"('ลาดบัวหลวง', 'พระนครศรีอยุธยา')","('บางปลาม้า', 'สุพรรณบุรี')",1
"('ลาดบัวหลวง', 'พระนครศรีอยุธยา')","('สองพี่น้อง', 'สุพรรณบุรี')",1
"('ลาดบัวหลวง', 'พระนครศรีอยุธยา')","('บางเลน', 'นครปฐม')",1
"('วังน้อย', 'พระนครศรีอยุธยา')","('หนองเสือ', 'ปทุมธานี')",1
"('วังน้อย', 'พระนครศรีอยุธยา')","('หนองแค', 'สระบุรี')",1
"('วังน้อย', 'พระนครศรีอยุธยา')","('คลองหลวง', 'ปทุมธานี')",1
"('วังน้อย', 'พระนครศรีอยุธยา')","('บางปะอิน', 'พระนครศรีอยุธยา')",1
"('วังน้อย', 'พระนครศรีอยุธยา')","('อุทัย', 'พระนครศรีอยุธยา')",1
"('เสนา', 'พระนครศรีอยุธยา')","('ผักไห่', 'พระนครศรีอยุธยา')",1
"('เสนา', 'พระนครศรีอยุธยา')","('ลาดบัวหลวง', 'พระนครศรีอยุธยา')",1
"('เสนา', 'พระนครศรีอยุธยา')","('บางซ้าย', 'พระนครศรีอยุธยา')",1
"('เสนา', 'พระนครศรีอยุธยา')","('บางไทร', 'พระนครศรีอยุธยา')",1
"('เสนา', 'พระนครศรีอยุธยา')","('บางบาล', 'พระนครศรีอยุธยา')",1
