Amper1,Amper2,Adjacent
"('กระทุ่มแบน', 'สมุทรสาคร')","('หนองแขม', 'กรุงเทพมหานคร')",1
"('กระทุ่มแบน', 'สมุทรสาคร')","('บางแค', 'กรุงเทพมหานคร')",1
"('กระทุ่มแบน', 'สมุทรสาคร')","('ทวีวัฒนา', 'กรุงเทพมหานคร')",1
"('กระทุ่มแบน', 'สมุทรสาคร')","('บางบอน', 'กรุงเทพมหานคร')",1
"('กระทุ่มแบน', 'สมุทรสาคร')","('นครชัยศรี', 'นครปฐม')",1
"('กระทุ่มแบน', 'สมุทรสาคร')","('บ้านแพ้ว', 'สมุทรสาคร')",1
"('กระทุ่มแบน', 'สมุทรสาคร')","('สามพราน', 'นครปฐม')",1
"('กระทุ่มแบน', 'สมุทรสาคร')","('เมืองสมุทรสาคร', 'สมุทรสาคร')",1
"('บ้านแพ้ว', 'สมุทรสาคร')","('เมืองนครปฐม', 'นครปฐม')",1
"('บ้านแพ้ว', 'สมุทรสาคร')","('กระทุ่มแบน', 'สมุทรสาคร')",1
"('บ้านแพ้ว', 'สมุทรสาคร')","('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",1
"('บ้านแพ้ว', 'สมุทรสาคร')","('บางคนที', 'สมุทรสงคราม')",1
"('บ้านแพ้ว', 'สมุทรสาคร')","('อัมพวา', 'สมุทรสงคราม')",1
"('บ้านแพ้ว', 'สมุทรสาคร')","('สามพราน', 'นครปฐม')",1
"('บ้านแพ้ว', 'สมุทรสาคร')","('เมืองสมุทรสาคร', 'สมุทรสาคร')",1
"('บ้านแพ้ว', 'สมุทรสาคร')","('ดำเนินสะดวก', 'ราชบุรี')",1
"('บ้านแพ้ว', 'สมุทรสาคร')","('บางแพ', 'ราชบุรี')",1
"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('บางขุนเทียน', 'กรุงเทพมหานคร')",1
"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('หนองแขม', 'กรุงเทพมหานคร')",1
"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('บางบอน', 'กรุงเทพมหานคร')",1
"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('กระทุ่มแบน', 'สมุทรสาคร')",1
"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('บ้านแพ้ว', 'สมุทรสาคร')",1
"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",1
"('เมืองสมุทรสาคร', 'สมุทรสาคร')","('ดำเนินสะดวก', 'ราชบุรี')",1
