Amper1,Amper2,Adjacent
"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')","('บ้านแพ้ว', 'สมุทรสาคร')",1
"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')","('บางคนที', 'สมุทรสงคราม')",1
"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')","('อัมพวา', 'สมุทรสงคราม')",1
"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')","('เมืองสมุทรสาคร', 'สมุทรสาคร')",1
"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')","('ดำเนินสะดวก', 'ราชบุรี')",1
"('เมืองสมุทรสงคราม', 'สมุทรสงคราม')","('บ้านแหลม', 'เพชรบุรี')",1
"('บางคนที', 'สมุทรสงคราม')","('บ้านแพ้ว', 'สมุทรสาคร')",1
"('บางคนที', 'สมุทรสงคราม')","('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",1
"('บางคนที', 'สมุทรสงคราม')","('อัมพวา', 'สมุทรสงคราม')",1
"('บางคนที', 'สมุทรสงคราม')","('เมืองราชบุรี', 'ราชบุรี')",1
"('บางคนที', 'สมุทรสงคราม')","('ดำเนินสะดวก', 'ราชบุรี')",1
"('บางคนที', 'สมุทรสงคราม')","('ปากท่อ', 'ราชบุรี')",1
"('บางคนที', 'สมุทรสงคราม')","('วัดเพลง', 'ราชบุรี')",1
"('อัมพวา', 'สมุทรสงคราม')","('บ้านแพ้ว', 'สมุทรสาคร')",1
"('อัมพวา', 'สมุทรสงคราม')","('เมืองสมุทรสงคราม', 'สมุทรสงคราม')",1
"('อัมพวา', 'สมุทรสงคราม')","('บางคนที', 'สมุทรสงคราม')",1
"('อัมพวา', 'สมุทรสงคราม')","('เมืองราชบุรี', 'ราชบุรี')",1
"('อัมพวา', 'สมุทรสงคราม')","('ดำเนินสะดวก', 'ราชบุรี')",1
"('อัมพวา', 'สมุทรสงคราม')","('ปากท่อ', 'ราชบุรี')",1
"('อัมพวา', 'สมุทรสงคราม')","('วัดเพลง', 'ราชบุรี')",1
"('อัมพวา', 'สมุทรสงคราม')","('เขาย้อย', 'เพชรบุรี')",1
"('อัมพวา', 'สมุทรสงคราม')","('บ้านแหลม', 'เพชรบุรี')",1
