Amper1,Amper2,Adjacent
"('หัวหิน', 'ประจวบคีรีขันธ์')","('ท่ายาง', 'เพชรบุรี')",1
"('หัวหิน', 'ประจวบคีรีขันธ์')","('ชะอำ', 'เพชรบุรี')",1
"('หัวหิน', 'ประจวบคีรีขันธ์')","('แก่งกระจาน', 'เพชรบุรี')",1
"('หัวหิน', 'ประจวบคีรีขันธ์')","('ปราณบุรี', 'ประจวบคีรีขันธ์')",1
"('หัวหิน', 'ประจวบคีรีขันธ์')","('สามร้อยยอด', 'ประจวบคีรีขันธ์')",1
"('เมืองประจวบคีรีขันธ์', 'ประจวบคีรีขันธ์')","('กุยบุรี', 'ประจวบคีรีขันธ์')",1
"('เมืองประจวบคีรีขันธ์', 'ประจวบคีรีขันธ์')","('ทับสะแก', 'ประจวบคีรีขันธ์')",1
"('กุยบุรี', 'ประจวบคีรีขันธ์')","('เมืองประจวบคีรีขันธ์', 'ประจวบคีรีขันธ์')",1
"('กุยบุรี', 'ประจวบคีรีขันธ์')","('สามร้อยยอด', 'ประจวบคีรีขันธ์')",1
"('ทับสะแก', 'ประจวบคีรีขันธ์')","('เมืองประจวบคีรีขันธ์', 'ประจวบคีรีขันธ์')",1
"('ทับสะแก', 'ประจวบคีรีขันธ์')","('บางสะพาน', 'ประจวบคีรีขันธ์')",1
"('บางสะพาน', 'ประจวบคีรีขันธ์')","('ทับสะแก', 'ประจวบคีรีขันธ์')",1
"('บางสะพาน', 'ประจวบคีรีขันธ์')","('บางสะพานน้อย', 'ประจวบคีรีขันธ์')",1
"('บางสะพานน้อย', 'ประจวบคีรีขันธ์')","('ท่าแซะ', 'ชุมพร')",1
"('บางสะพานน้อย', 'ประจวบคีรีขันธ์')","('ปะทิว', 'ชุมพร')",1
"('บางสะพานน้อย', 'ประจวบคีรีขันธ์')","('บางสะพาน', 'ประจวบคีรีขันธ์')",1
"('ปราณบุรี', 'ประจวบคีรีขันธ์')","('หัวหิน', 'ประจวบคีรีขันธ์')",1
"('ปราณบุรี', 'ประจวบคีรีขันธ์')","('สามร้อยยอด', 'ประจวบคีรีขันธ์')",1
"('สามร้อยยอด', 'ประจวบคีรีขันธ์')","('หัวหิน', 'ประจวบคีรีขันธ์')",1
"('สามร้อยยอด', 'ประจวบคีรีขันธ์')","('กุยบุรี', 'ประจวบคีรีขันธ์')",1
"('สามร้อยยอด', 'ประจวบคีรีขันธ์')","('ปราณบุรี', 'ประจวบคีรีขันธ์')",1
