Amper1,Amper2,Adjacent
"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')","('พรหมคีรี', 'นครศรีธรรมราช')",1
"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')","('ลานสกา', 'นครศรีธรรมราช')",1
"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')","('ท่าศาลา', 'นครศรีธรรมราช')",1
"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')","('ปากพนัง', 'นครศรีธรรมราช')",1
"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')","('ร่อนพิบูลย์', 'นครศรีธรรมราช')",1
"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')","('พระพรหม', 'นครศรีธรรมราช')",1
"('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')","('เฉลิมพระเกียรติ', 'นครศรีธรรมราช')",1
"('พรหมคีรี', 'นครศรีธรรมราช')","('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",1
"('พรหมคีรี', 'นครศรีธรรมราช')","('ลานสกา', 'นครศรีธรรมราช')",1
"('พรหมคีรี', 'นครศรีธรรมราช')","('ฉวาง', 'นครศรีธรรมราช')",1
"('พรหมคีรี', 'นครศรีธรรมราช')","('พิปูน', 'นครศรีธรรมราช')",1
"('พรหมคีรี', 'นครศรีธรรมราช')","('ท่าศาลา', 'นครศรีธรรมราช')",1
"('พรหมคีรี', 'นครศรีธรรมราช')","('นบพิตำ', 'นครศรีธรรมราช')",1
"('ลานสกา', 'นครศรีธรรมราช')","('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",1
"('ลานสกา', 'นครศรีธรรมราช')","('พรหมคีรี', 'นครศรีธรรมราช')",1
"('ลานสกา', 'นครศรีธรรมราช')","('ฉวาง', 'นครศรีธรรมราช')",1
"('ลานสกา', 'นครศรีธรรมราช')","('พิปูน', 'นครศรีธรรมราช')",1
"('ลานสกา', 'นครศรีธรรมราช')","('ทุ่งสง', 'นครศรีธรรมราช')",1
"('ลานสกา', 'นครศรีธรรมราช')","('ร่อนพิบูลย์', 'นครศรีธรรมราช')",1
"('ลานสกา', 'นครศรีธรรมราช')","('พระพรหม', 'นครศรีธรรมราช')",1
"('ลานสกา', 'นครศรีธรรมราช')","('ช้างกลาง', 'นครศรีธรรมราช')",1
"('ฉวาง', 'นครศรีธรรมราช')","('พรหมคีรี', 'นครศรีธรรมราช')",1
"('ฉวาง', 'นครศรีธรรมราช')","('ลานสกา', 'นครศรีธรรมราช')",1
"('ฉวาง', 'นครศรีธรรมราช')","('พิปูน', 'นครศรีธรรมราช')",1
"('ฉวาง', 'นครศรีธรรมราช')","('นาบอน', 'นครศรีธรรมราช')",1
"('ฉวาง', 'นครศรีธรรมราช')","('ทุ่งใหญ่', 'นครศรีธรรมราช')",1
"('ฉวาง', 'นครศรีธรรมราช')","('ถ้ำพรรณรา', 'นครศรีธรรมราช')",1
"('ฉวาง', 'นครศรีธรรมราช')","('ช้างกลาง', 'นครศรีธรรมราช')",1
"('ฉวาง', 'นครศรีธรรมราช')","('บ้านนาสาร', 'สุราษฎร์ธานี')",1
"('ฉวาง', 'นครศรีธรรมราช')","('เวียงสระ', 'สุราษฎร์ธานี')",1
"('พิปูน', 'นครศรีธรรมราช')","('พรหมคีรี', 'นครศรีธรรมราช')",1
"('พิปูน', 'นครศรีธรรมราช')","('ลานสกา', 'นครศรีธรรมราช')",1
"('พิปูน', 'นครศรีธรรมราช')","('ฉวาง', 'นครศรีธรรมราช')",1
"('พิปูน', 'นครศรีธรรมราช')","('นบพิตำ', 'นครศรีธรรมราช')",1
"('พิปูน', 'นครศรีธรรมราช')","('บ้านนาสาร', 'สุราษฎร์ธานี')",1
"('พิปูน', 'นครศรีธรรมราช')","('เวียงสระ', 'สุราษฎร์ธานี')",1
"('เชียรใหญ่', 'นครศรีธรรมราช')","('ชะอวด', 'นครศรีธรรมราช')",1
"('เชียรใหญ่', 'นครศรีธรรมราช')","('ปากพนัง', 'นครศรีธรรมราช')",1
"('เชียรใหญ่', 'นครศรีธรรมราช')","('หัวไทร', 'นครศรีธรรมราช')",1
"('เชียรใหญ่', 'นครศรีธรรมราช')","('เฉลิมพระเกียรติ', 'นครศรีธรรมราช')",1
"('ชะอวด', 'นครศรีธรรมราช')","('เชียรใหญ่', 'นครศรีธรรมราช')",1
"('ชะอวด', 'นครศรีธรรมราช')","('ทุ่งสง', 'นครศรีธรรมราช')",1
"('ชะอวด', 'นครศรีธรรมราช')","('ร่อนพิบูลย์', 'นครศรีธรรมราช')",1
"('ชะอวด', 'นครศรีธรรมราช')","('หัวไทร', 'นครศรีธรรมราช')",1
"('ชะอวด', 'นครศรีธรรมราช')","('จุฬาภรณ์', 'นครศรีธรรมราช')",1
"('ชะอวด', 'นครศรีธรรมราช')","('เฉลิมพระเกียรติ', 'นครศรีธรรมราช')",1
"('ชะอวด', 'นครศรีธรรมราช')","('ห้วยยอด', 'ตรัง')",1
"('ชะอวด', 'นครศรีธรรมราช')","('ควนขนุน', 'พัทลุง')",1
"('ชะอวด', 'นครศรีธรรมราช')","('ระโนด', 'สงขลา')",1
"('ชะอวด', 'นครศรีธรรมราช')","('รัษฎา', 'ตรัง')",1
"('ชะอวด', 'นครศรีธรรมราช')","('ป่าพยอม', 'พัทลุง')",1
"('ท่าศาลา', 'นครศรีธรรมราช')","('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",1
"('ท่าศาลา', 'นครศรีธรรมราช')","('พรหมคีรี', 'นครศรีธรรมราช')",1
"('ท่าศาลา', 'นครศรีธรรมราช')","('สิชล', 'นครศรีธรรมราช')",1
"('ท่าศาลา', 'นครศรีธรรมราช')","('นบพิตำ', 'นครศรีธรรมราช')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('ลานสกา', 'นครศรีธรรมราช')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('ชะอวด', 'นครศรีธรรมราช')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('นาบอน', 'นครศรีธรรมราช')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('ทุ่งใหญ่', 'นครศรีธรรมราช')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('ร่อนพิบูลย์', 'นครศรีธรรมราช')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('บางขัน', 'นครศรีธรรมราช')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('จุฬาภรณ์', 'นครศรีธรรมราช')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('ช้างกลาง', 'นครศรีธรรมราช')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('ลำทับ', 'กระบี่')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('ห้วยยอด', 'ตรัง')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('รัษฎา', 'ตรัง')",1
"('ทุ่งสง', 'นครศรีธรรมราช')","('ป่าพยอม', 'พัทลุง')",1
"('นาบอน', 'นครศรีธรรมราช')","('ฉวาง', 'นครศรีธรรมราช')",1
"('นาบอน', 'นครศรีธรรมราช')","('ทุ่งสง', 'นครศรีธรรมราช')",1
"('นาบอน', 'นครศรีธรรมราช')","('ทุ่งใหญ่', 'นครศรีธรรมราช')",1
"('นาบอน', 'นครศรีธรรมราช')","('ช้างกลาง', 'นครศรีธรรมราช')",1
"('ทุ่งใหญ่', 'นครศรีธรรมราช')","('ฉวาง', 'นครศรีธรรมราช')",1
"('ทุ่งใหญ่', 'นครศรีธรรมราช')","('ทุ่งสง', 'นครศรีธรรมราช')",1
"('ทุ่งใหญ่', 'นครศรีธรรมราช')","('นาบอน', 'นครศรีธรรมราช')",1
"('ทุ่งใหญ่', 'นครศรีธรรมราช')","('บางขัน', 'นครศรีธรรมราช')",1
"('ทุ่งใหญ่', 'นครศรีธรรมราช')","('ถ้ำพรรณรา', 'นครศรีธรรมราช')",1
"('ทุ่งใหญ่', 'นครศรีธรรมราช')","('เขาพนม', 'กระบี่')",1
"('ทุ่งใหญ่', 'นครศรีธรรมราช')","('ลำทับ', 'กระบี่')",1
"('ทุ่งใหญ่', 'นครศรีธรรมราช')","('พระแสง', 'สุราษฎร์ธานี')",1
"('ทุ่งใหญ่', 'นครศรีธรรมราช')","('เวียงสระ', 'สุราษฎร์ธานี')",1
"('ปากพนัง', 'นครศรีธรรมราช')","('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",1
"('ปากพนัง', 'นครศรีธรรมราช')","('เชียรใหญ่', 'นครศรีธรรมราช')",1
"('ปากพนัง', 'นครศรีธรรมราช')","('ร่อนพิบูลย์', 'นครศรีธรรมราช')",1
"('ปากพนัง', 'นครศรีธรรมราช')","('หัวไทร', 'นครศรีธรรมราช')",1
"('ปากพนัง', 'นครศรีธรรมราช')","('พระพรหม', 'นครศรีธรรมราช')",1
"('ปากพนัง', 'นครศรีธรรมราช')","('เฉลิมพระเกียรติ', 'นครศรีธรรมราช')",1
"('ร่อนพิบูลย์', 'นครศรีธรรมราช')","('เมืองนครศรีธรรมราช', 'นครศรีธรรมราช')",1
"('ร่อนพิบูลย์', 'นครศรีธรรมราช')","('ลานสกา', 'นครศรีธรรมราช')",1
"('ร่อนพิบูลย์', 'นครศรีธรรมราช')","('ชะอวด', 'นครศรีธรรมราช')",1
"('ร่อนพิบูลย์', 'นครศรีธรรมราช')","('ทุ่งสง', 'นครศรีธรรมราช')",1
"('ร่อนพิบูลย์', 'นครศรีธรรมราช')","('ปากพนัง', 'นครศรีธรรมราช')",1
"('ร่อนพิบูลย์', 'นครศรีธรรมราช')","('จุฬาภรณ์', 'นครศรีธรรมราช')",1
"('ร่อนพิบูลย์', 'นครศรีธรรมราช')","('พระพรหม', 'นครศรีธรรมราช')",1
"('ร่อนพิบูลย์', 'นครศรีธรรมราช')","('เฉลิมพระเกียรติ', 'นครศรีธรรมราช')",1
