Amper1,Amper2,Adjacent
"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')","('กาญจนดิษฐ์', 'สุราษฎร์ธานี')",1
"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')","('ท่าฉาง', 'สุราษฎร์ธานี')",1
"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')","('บ้านนาสาร', 'สุราษฎร์ธานี')",1
"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')","('พุนพิน', 'สุราษฎร์ธานี')",1
"('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')","('บ้านนาเดิม', 'สุราษฎร์ธานี')",1
"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')","('สิชล', 'นครศรีธรรมราช')",1
"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')","('ขนอม', 'นครศรีธรรมราช')",1
"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')","('นบพิตำ', 'นครศรีธรรมราช')",1
"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')","('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')",1
"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')","('ดอนสัก', 'สุราษฎร์ธานี')",1
"('กาญจนดิษฐ์', 'สุราษฎร์ธานี')","('บ้านนาสาร', 'สุราษฎร์ธานี')",1
"('ดอนสัก', 'สุราษฎร์ธานี')","('สิชล', 'นครศรีธรรมราช')",1
"('ดอนสัก', 'สุราษฎร์ธานี')","('ขนอม', 'นครศรีธรรมราช')",1
"('ดอนสัก', 'สุราษฎร์ธานี')","('กาญจนดิษฐ์', 'สุราษฎร์ธานี')",1
"('ดอนสัก', 'สุราษฎร์ธานี')","('เกาะสมุย', 'สุราษฎร์ธานี')",1
"('เกาะสมุย', 'สุราษฎร์ธานี')","('ขนอม', 'นครศรีธรรมราช')",1
"('เกาะสมุย', 'สุราษฎร์ธานี')","('ดอนสัก', 'สุราษฎร์ธานี')",1
"('ไชยา', 'สุราษฎร์ธานี')","('ท่าชนะ', 'สุราษฎร์ธานี')",1
"('ไชยา', 'สุราษฎร์ธานี')","('ท่าฉาง', 'สุราษฎร์ธานี')",1
"('ท่าชนะ', 'สุราษฎร์ธานี')","('ไชยา', 'สุราษฎร์ธานี')",1
"('ท่าชนะ', 'สุราษฎร์ธานี')","('ท่าฉาง', 'สุราษฎร์ธานี')",1
"('ท่าชนะ', 'สุราษฎร์ธานี')","('ละแม', 'ชุมพร')",1
"('ท่าชนะ', 'สุราษฎร์ธานี')","('พะโต๊ะ', 'ชุมพร')",1
"('ท่าชนะ', 'สุราษฎร์ธานี')","('กะเปอร์', 'ระนอง')",1
"('คีรีรัฐนิคม', 'สุราษฎร์ธานี')","('บ้านตาขุน', 'สุราษฎร์ธานี')",1
"('คีรีรัฐนิคม', 'สุราษฎร์ธานี')","('พนม', 'สุราษฎร์ธานี')",1
"('คีรีรัฐนิคม', 'สุราษฎร์ธานี')","('พุนพิน', 'สุราษฎร์ธานี')",1
"('คีรีรัฐนิคม', 'สุราษฎร์ธานี')","('เคียนซา', 'สุราษฎร์ธานี')",1
"('คีรีรัฐนิคม', 'สุราษฎร์ธานี')","('วิภาวดี', 'สุราษฎร์ธานี')",1
"('บ้านตาขุน', 'สุราษฎร์ธานี')","('คุระบุรี', 'พังงา')",1
"('บ้านตาขุน', 'สุราษฎร์ธานี')","('คีรีรัฐนิคม', 'สุราษฎร์ธานี')",1
"('บ้านตาขุน', 'สุราษฎร์ธานี')","('พนม', 'สุราษฎร์ธานี')",1
"('บ้านตาขุน', 'สุราษฎร์ธานี')","('ท่าฉาง', 'สุราษฎร์ธานี')",1
"('บ้านตาขุน', 'สุราษฎร์ธานี')","('วิภาวดี', 'สุราษฎร์ธานี')",1
"('บ้านตาขุน', 'สุราษฎร์ธานี')","('สุขสำราญ', 'ระนอง')",1
"('พนม', 'สุราษฎร์ธานี')","('ปลายพระยา', 'กระบี่')",1
"('พนม', 'สุราษฎร์ธานี')","('เมืองพังงา', 'พังงา')",1
"('พนม', 'สุราษฎร์ธานี')","('กะปง', 'พังงา')",1
"('พนม', 'สุราษฎร์ธานี')","('ตะกั่วป่า', 'พังงา')",1
"('พนม', 'สุราษฎร์ธานี')","('คุระบุรี', 'พังงา')",1
"('พนม', 'สุราษฎร์ธานี')","('ทับปุด', 'พังงา')",1
"('พนม', 'สุราษฎร์ธานี')","('คีรีรัฐนิคม', 'สุราษฎร์ธานี')",1
"('พนม', 'สุราษฎร์ธานี')","('บ้านตาขุน', 'สุราษฎร์ธานี')",1
"('พนม', 'สุราษฎร์ธานี')","('พระแสง', 'สุราษฎร์ธานี')",1
"('พนม', 'สุราษฎร์ธานี')","('เคียนซา', 'สุราษฎร์ธานี')",1
"('ท่าฉาง', 'สุราษฎร์ธานี')","('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')",1
"('ท่าฉาง', 'สุราษฎร์ธานี')","('ไชยา', 'สุราษฎร์ธานี')",1
"('ท่าฉาง', 'สุราษฎร์ธานี')","('ท่าชนะ', 'สุราษฎร์ธานี')",1
"('ท่าฉาง', 'สุราษฎร์ธานี')","('บ้านตาขุน', 'สุราษฎร์ธานี')",1
"('ท่าฉาง', 'สุราษฎร์ธานี')","('พุนพิน', 'สุราษฎร์ธานี')",1
"('ท่าฉาง', 'สุราษฎร์ธานี')","('วิภาวดี', 'สุราษฎร์ธานี')",1
"('ท่าฉาง', 'สุราษฎร์ธานี')","('กะเปอร์', 'ระนอง')",1
"('ท่าฉาง', 'สุราษฎร์ธานี')","('สุขสำราญ', 'ระนอง')",1
"('บ้านนาสาร', 'สุราษฎร์ธานี')","('ฉวาง', 'นครศรีธรรมราช')",1
"('บ้านนาสาร', 'สุราษฎร์ธานี')","('พิปูน', 'นครศรีธรรมราช')",1
"('บ้านนาสาร', 'สุราษฎร์ธานี')","('นบพิตำ', 'นครศรีธรรมราช')",1
"('บ้านนาสาร', 'สุราษฎร์ธานี')","('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')",1
"('บ้านนาสาร', 'สุราษฎร์ธานี')","('กาญจนดิษฐ์', 'สุราษฎร์ธานี')",1
"('บ้านนาสาร', 'สุราษฎร์ธานี')","('พุนพิน', 'สุราษฎร์ธานี')",1
"('บ้านนาสาร', 'สุราษฎร์ธานี')","('บ้านนาเดิม', 'สุราษฎร์ธานี')",1
"('บ้านนาสาร', 'สุราษฎร์ธานี')","('เคียนซา', 'สุราษฎร์ธานี')",1
"('บ้านนาสาร', 'สุราษฎร์ธานี')","('เวียงสระ', 'สุราษฎร์ธานี')",1
"('พระแสง', 'สุราษฎร์ธานี')","('ทุ่งใหญ่', 'นครศรีธรรมราช')",1
"('พระแสง', 'สุราษฎร์ธานี')","('ถ้ำพรรณรา', 'นครศรีธรรมราช')",1
"('พระแสง', 'สุราษฎร์ธานี')","('เขาพนม', 'กระบี่')",1
"('พระแสง', 'สุราษฎร์ธานี')","('ปลายพระยา', 'กระบี่')",1
"('พระแสง', 'สุราษฎร์ธานี')","('พนม', 'สุราษฎร์ธานี')",1
"('พระแสง', 'สุราษฎร์ธานี')","('เคียนซา', 'สุราษฎร์ธานี')",1
"('พระแสง', 'สุราษฎร์ธานี')","('เวียงสระ', 'สุราษฎร์ธานี')",1
"('พระแสง', 'สุราษฎร์ธานี')","('ชัยบุรี', 'สุราษฎร์ธานี')",1
"('พุนพิน', 'สุราษฎร์ธานี')","('เมืองสุราษฎร์ธานี', 'สุราษฎร์ธานี')",1
