Amper1,Amper2,Adjacent
"('ป่าโมก', 'อ่างทอง')","('บางปะหัน', 'พระนครศรีอยุธยา')",1
"('ป่าโมก', 'อ่างทอง')","('ผักไห่', 'พระนครศรีอยุธยา')",1
"('ป่าโมก', 'อ่างทอง')","('วิเศษชัยชาญ', 'อ่างทอง')",1
"('ป่าโมก', 'อ่างทอง')","('บางบาล', 'พระนครศรีอยุธยา')",1
"('ป่าโมก', 'อ่างทอง')","('มหาราช', 'พระนครศรีอยุธยา')",1
"('ป่าโมก', 'อ่างทอง')","('เมืองอ่างทอง', 'อ่างทอง')",1
"('โพธิ์ทอง', 'อ่างทอง')","('แสวงหา', 'อ่างทอง')",1
"('โพธิ์ทอง', 'อ่างทอง')","('วิเศษชัยชาญ', 'อ่างทอง')",1
"('โพธิ์ทอง', 'อ่างทอง')","('สามโก้', 'อ่างทอง')",1
"('โพธิ์ทอง', 'อ่างทอง')","('ท่าวุ้ง', 'ลพบุรี')",1
"('โพธิ์ทอง', 'อ่างทอง')","('พรหมบุรี', 'สิงห์บุรี')",1
"('โพธิ์ทอง', 'อ่างทอง')","('เมืองอ่างทอง', 'อ่างทอง')",1
"('โพธิ์ทอง', 'อ่างทอง')","('ไชโย', 'อ่างทอง')",1
"('โพธิ์ทอง', 'อ่างทอง')","('ท่าช้าง', 'สิงห์บุรี')",1
"('โพธิ์ทอง', 'อ่างทอง')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('โพธิ์ทอง', 'อ่างทอง')","('ศรีประจันต์', 'สุพรรณบุรี')",1
"('โพธิ์ทอง', 'อ่างทอง')","('สามชุก', 'สุพรรณบุรี')",1
"('แสวงหา', 'อ่างทอง')","('โพธิ์ทอง', 'อ่างทอง')",1
"('แสวงหา', 'อ่างทอง')","('ค่ายบางระจัน', 'สิงห์บุรี')",1
"('แสวงหา', 'อ่างทอง')","('ท่าช้าง', 'สิงห์บุรี')",1
"('แสวงหา', 'อ่างทอง')","('เดิมบางนางบวช', 'สุพรรณบุรี')",1
"('แสวงหา', 'อ่างทอง')","('ศรีประจันต์', 'สุพรรณบุรี')",1
"('แสวงหา', 'อ่างทอง')","('สามชุก', 'สุพรรณบุรี')",1
"('วิเศษชัยชาญ', 'อ่างทอง')","('ผักไห่', 'พระนครศรีอยุธยา')",1
"('วิเศษชัยชาญ', 'อ่างทอง')","('ป่าโมก', 'อ่างทอง')",1
"('วิเศษชัยชาญ', 'อ่างทอง')","('โพธิ์ทอง', 'อ่างทอง')",1
"('วิเศษชัยชาญ', 'อ่างทอง')","('สามโก้', 'อ่างทอง')",1
"('วิเศษชัยชาญ', 'อ่างทอง')","('เมืองอ่างทอง', 'อ่างทอง')",1
"('วิเศษชัยชาญ', 'อ่างทอง')","('ไชโย', 'อ่างทอง')",1
"('วิเศษชัยชาญ', 'อ่างทอง')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",1
"('วิเศษชัยชาญ', 'อ่างทอง')","('ศรีประจันต์', 'สุพรรณบุรี')",1
"('สามโก้', 'อ่างทอง')","('โพธิ์ทอง', 'อ่างทอง')",1
"('สามโก้', 'อ่างทอง')","('วิเศษชัยชาญ', 'อ่างทอง')",1
"('สามโก้', 'อ่างทอง')","('เมืองสุพรรณบุรี', 'สุพรรณบุรี')",1
"('สามโก้', 'อ่างทอง')","('ศรีประจันต์', 'สุพรรณบุรี')",1
"('เมืองอ่างทอง', 'อ่างทอง')","('บางปะหัน', 'พระนครศรีอยุธยา')",1
"('เมืองอ่างทอง', 'อ่างทอง')","('ผักไห่', 'พระนครศรีอยุธยา')",1
"('เมืองอ่างทอง', 'อ่างทอง')","('ป่าโมก', 'อ่างทอง')",1
"('เมืองอ่างทอง', 'อ่างทอง')","('โพธิ์ทอง', 'อ่างทอง')",1
"('เมืองอ่างทอง', 'อ่างทอง')","('วิเศษชัยชาญ', 'อ่างทอง')",1
"('เมืองอ่างทอง', 'อ่างทอง')","('เมืองลพบุรี', 'ลพบุรี')",1
"('เมืองอ่างทอง', 'อ่างทอง')","('มหาราช', 'พระนครศรีอยุธยา')",1
"('เมืองอ่างทอง', 'อ่างทอง')","('บ้านแพรก', 'พระนครศรีอยุธยา')",1
"('เมืองอ่างทอง', 'อ่างทอง')","('ไชโย', 'อ่างทอง')",1
"('ไชโย', 'อ่างทอง')","('โพธิ์ทอง', 'อ่างทอง')",1
"('ไชโย', 'อ่างทอง')","('วิเศษชัยชาญ', 'อ่างทอง')",1
"('ไชโย', 'อ่างทอง')","('เมืองลพบุรี', 'ลพบุรี')",1
"('ไชโย', 'อ่างทอง')","('ท่าวุ้ง', 'ลพบุรี')",1
"('ไชโย', 'อ่างทอง')","('พรหมบุรี', 'สิงห์บุรี')",1
"('ไชโย', 'อ่างทอง')","('มหาราช', 'พระนครศรีอยุธยา')",1
"('ไชโย', 'อ่างทอง')","('บ้านแพรก', 'พระนครศรีอยุธยา')",1
"('ไชโย', 'อ่างทอง')","('เมืองอ่างทอง', 'อ่างทอง')",1
"('ไชโย', 'อ่างทอง')","('ท่าช้าง', 'สิงห์บุรี')",1
