Amper1,Amper2,Adjacent
"('เมืองชุมพร', 'ชุมพร')","('ท่าแซะ', 'ชุมพร')",1
"('เมืองชุมพร', 'ชุมพร')","('ปะทิว', 'ชุมพร')",1
"('เมืองชุมพร', 'ชุมพร')","('สวี', 'ชุมพร')",1
"('เมืองชุมพร', 'ชุมพร')","('กระบุรี', 'ระนอง')",1
"('ท่าแซะ', 'ชุมพร')","('เมืองชุมพร', 'ชุมพร')",1
"('ท่าแซะ', 'ชุมพร')","('ปะทิว', 'ชุมพร')",1
"('ท่าแซะ', 'ชุมพร')","('กระบุรี', 'ระนอง')",1
"('ท่าแซะ', 'ชุมพร')","('บางสะพานน้อย', 'ประจวบคีรีขันธ์')",1
"('ปะทิว', 'ชุมพร')","('เมืองชุมพร', 'ชุมพร')",1
"('ปะทิว', 'ชุมพร')","('ท่าแซะ', 'ชุมพร')",1
"('ปะทิว', 'ชุมพร')","('บางสะพานน้อย', 'ประจวบคีรีขันธ์')",1
"('หลังสวน', 'ชุมพร')","('ละแม', 'ชุมพร')",1
"('หลังสวน', 'ชุมพร')","('พะโต๊ะ', 'ชุมพร')",1
"('หลังสวน', 'ชุมพร')","('สวี', 'ชุมพร')",1
"('หลังสวน', 'ชุมพร')","('ทุ่งตะโก', 'ชุมพร')",1
"('หลังสวน', 'ชุมพร')","('ละอุ่น', 'ระนอง')",1
"('ละแม', 'ชุมพร')","('ท่าชนะ', 'สุราษฎร์ธานี')",1
"('ละแม', 'ชุมพร')","('หลังสวน', 'ชุมพร')",1
"('ละแม', 'ชุมพร')","('พะโต๊ะ', 'ชุมพร')",1
"('พะโต๊ะ', 'ชุมพร')","('ท่าชนะ', 'สุราษฎร์ธานี')",1
"('พะโต๊ะ', 'ชุมพร')","('หลังสวน', 'ชุมพร')",1
"('พะโต๊ะ', 'ชุมพร')","('ละแม', 'ชุมพร')",1
"('พะโต๊ะ', 'ชุมพร')","('ทุ่งตะโก', 'ชุมพร')",1
"('พะโต๊ะ', 'ชุมพร')","('เมืองระนอง', 'ระนอง')",1
"('พะโต๊ะ', 'ชุมพร')","('ละอุ่น', 'ระนอง')",1
"('พะโต๊ะ', 'ชุมพร')","('กะเปอร์', 'ระนอง')",1
"('สวี', 'ชุมพร')","('เมืองชุมพร', 'ชุมพร')",1
"('สวี', 'ชุมพร')","('หลังสวน', 'ชุมพร')",1
"('สวี', 'ชุมพร')","('ทุ่งตะโก', 'ชุมพร')",1
"('สวี', 'ชุมพร')","('ละอุ่น', 'ระนอง')",1
"('สวี', 'ชุมพร')","('กระบุรี', 'ระนอง')",1
"('ทุ่งตะโก', 'ชุมพร')","('หลังสวน', 'ชุมพร')",1
"('ทุ่งตะโก', 'ชุมพร')","('พะโต๊ะ', 'ชุมพร')",1
"('ทุ่งตะโก', 'ชุมพร')","('สวี', 'ชุมพร')",1
"('ทุ่งตะโก', 'ชุมพร')","('ละอุ่น', 'ระนอง')",1
