Amper1,Amper2,Adjacent
"('เมืองสงขลา', 'สงขลา')","('จะนะ', 'สงขลา')",1
"('เมืองสงขลา', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('เมืองสงขลา', 'สงขลา')","('สิงหนคร', 'สงขลา')",1
"('เมืองสงขลา', 'สงขลา')","('นาหม่อม', 'สงขลา')",1
"('เมืองสงขลา', 'สงขลา')","('ควนเนียง', 'สงขลา')",1
"('เมืองสงขลา', 'สงขลา')","('บางกล่ำ', 'สงขลา')",1
"('สทิงพระ', 'สงขลา')","('กระแสสินธุ์', 'สงขลา')",1
"('สทิงพระ', 'สงขลา')","('ระโนด', 'สงขลา')",1
"('สทิงพระ', 'สงขลา')","('สิงหนคร', 'สงขลา')",1
"('สทิงพระ', 'สงขลา')","('ปากพะยูน', 'พัทลุง')",1
"('จะนะ', 'สงขลา')","('เมืองสงขลา', 'สงขลา')",1
"('จะนะ', 'สงขลา')","('นาทวี', 'สงขลา')",1
"('จะนะ', 'สงขลา')","('เทพา', 'สงขลา')",1
"('จะนะ', 'สงขลา')","('สะเดา', 'สงขลา')",1
"('จะนะ', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('จะนะ', 'สงขลา')","('นาหม่อม', 'สงขลา')",1
"('นาทวี', 'สงขลา')","('จะนะ', 'สงขลา')",1
"('นาทวี', 'สงขลา')","('เทพา', 'สงขลา')",1
"('นาทวี', 'สงขลา')","('สะบ้าย้อย', 'สงขลา')",1
"('นาทวี', 'สงขลา')","('สะเดา', 'สงขลา')",1
"('นาทวี', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('เทพา', 'สงขลา')","('จะนะ', 'สงขลา')",1
"('เทพา', 'สงขลา')","('นาทวี', 'สงขลา')",1
"('เทพา', 'สงขลา')","('สะบ้าย้อย', 'สงขลา')",1
"('เทพา', 'สงขลา')","('โคกโพธิ์', 'ปัตตานี')",1
"('เทพา', 'สงขลา')","('หนองจิก', 'ปัตตานี')",1
"('สะบ้าย้อย', 'สงขลา')","('นาทวี', 'สงขลา')",1
"('สะบ้าย้อย', 'สงขลา')","('เทพา', 'สงขลา')",1
"('สะบ้าย้อย', 'สงขลา')","('โคกโพธิ์', 'ปัตตานี')",1
"('สะบ้าย้อย', 'สงขลา')","('เมืองยะลา', 'ยะลา')",1
"('สะบ้าย้อย', 'สงขลา')","('ยะหา', 'ยะลา')",1
"('สะบ้าย้อย', 'สงขลา')","('กาบัง', 'ยะลา')",1
"('กระแสสินธุ์', 'สงขลา')","('ควนขนุน', 'พัทลุง')",1
"('กระแสสินธุ์', 'สงขลา')","('สทิงพระ', 'สงขลา')",1
"('กระแสสินธุ์', 'สงขลา')","('ระโนด', 'สงขลา')",1
"('กระแสสินธุ์', 'สงขลา')","('เมืองพัทลุง', 'พัทลุง')",1
"('กระแสสินธุ์', 'สงขลา')","('เขาชัยสน', 'พัทลุง')",1
"('กระแสสินธุ์', 'สงขลา')","('ปากพะยูน', 'พัทลุง')",1
"('กระแสสินธุ์', 'สงขลา')","('บางแก้ว', 'พัทลุง')",1
"('รัตภูมิ', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('รัตภูมิ', 'สงขลา')","('ควนเนียง', 'สงขลา')",1
"('รัตภูมิ', 'สงขลา')","('บางกล่ำ', 'สงขลา')",1
"('รัตภูมิ', 'สงขลา')","('คลองหอยโข่ง', 'สงขลา')",1
"('รัตภูมิ', 'สงขลา')","('ควนกาหลง', 'สตูล')",1
"('รัตภูมิ', 'สงขลา')","('ปากพะยูน', 'พัทลุง')",1
"('รัตภูมิ', 'สงขลา')","('ป่าบอน', 'พัทลุง')",1
"('สะเดา', 'สงขลา')","('จะนะ', 'สงขลา')",1
"('สะเดา', 'สงขลา')","('นาทวี', 'สงขลา')",1
"('สะเดา', 'สงขลา')","('หาดใหญ่', 'สงขลา')",1
"('สะเดา', 'สงขลา')","('คลองหอยโข่ง', 'สงขลา')",1
"('สะเดา', 'สงขลา')","('เมืองสตูล', 'สตูล')",1
"('สะเดา', 'สงขลา')","('ควนโดน', 'สตูล')",1
"('สะเดา', 'สงขลา')","('ควนกาหลง', 'สตูล')",1
"('หาดใหญ่', 'สงขลา')","('เมืองสงขลา', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('จะนะ', 'สงขลา')",1
"('หาดใหญ่', 'สงขลา')","('นาทวี', 'สงขลา')",1
