Amper1,Amper2,Adjacent
"('เมืองสระบุรี', 'สระบุรี')","('แก่งคอย', 'สระบุรี')",1
"('เมืองสระบุรี', 'สระบุรี')","('หนองแค', 'สระบุรี')",1
"('เมืองสระบุรี', 'สระบุรี')","('เฉลิมพระเกียรติ', 'สระบุรี')",1
"('เมืองสระบุรี', 'สระบุรี')","('วิหารแดง', 'สระบุรี')",1
"('เมืองสระบุรี', 'สระบุรี')","('หนองแซง', 'สระบุรี')",1
"('เมืองสระบุรี', 'สระบุรี')","('เสาไห้', 'สระบุรี')",1
"('แก่งคอย', 'สระบุรี')","('บ้านนา', 'นครนายก')",1
"('แก่งคอย', 'สระบุรี')","('พัฒนานิคม', 'ลพบุรี')",1
"('แก่งคอย', 'สระบุรี')","('เมืองสระบุรี', 'สระบุรี')",1
"('แก่งคอย', 'สระบุรี')","('หนองแค', 'สระบุรี')",1
"('แก่งคอย', 'สระบุรี')","('เฉลิมพระเกียรติ', 'สระบุรี')",1
"('แก่งคอย', 'สระบุรี')","('วิหารแดง', 'สระบุรี')",1
"('แก่งคอย', 'สระบุรี')","('พระพุทธบาท', 'สระบุรี')",1
"('แก่งคอย', 'สระบุรี')","('มวกเหล็ก', 'สระบุรี')",1
"('แก่งคอย', 'สระบุรี')","('วังม่วง', 'สระบุรี')",1
"('แก่งคอย', 'สระบุรี')","('เมืองนครนายก', 'นครนายก')",1
"('แก่งคอย', 'สระบุรี')","('ปากช่อง', 'นครราชสีมา')",1
"('หนองแค', 'สระบุรี')","('บ้านนา', 'นครนายก')",1
"('หนองแค', 'สระบุรี')","('หนองเสือ', 'ปทุมธานี')",1
"('หนองแค', 'สระบุรี')","('ภาชี', 'พระนครศรีอยุธยา')",1
"('หนองแค', 'สระบุรี')","('วังน้อย', 'พระนครศรีอยุธยา')",1
"('หนองแค', 'สระบุรี')","('เมืองสระบุรี', 'สระบุรี')",1
"('หนองแค', 'สระบุรี')","('แก่งคอย', 'สระบุรี')",1
"('หนองแค', 'สระบุรี')","('อุทัย', 'พระนครศรีอยุธยา')",1
"('หนองแค', 'สระบุรี')","('วิหารแดง', 'สระบุรี')",1
"('หนองแค', 'สระบุรี')","('หนองแซง', 'สระบุรี')",1
"('เฉลิมพระเกียรติ', 'สระบุรี')","('พัฒนานิคม', 'ลพบุรี')",1
"('เฉลิมพระเกียรติ', 'สระบุรี')","('เมืองสระบุรี', 'สระบุรี')",1
"('เฉลิมพระเกียรติ', 'สระบุรี')","('แก่งคอย', 'สระบุรี')",1
"('เฉลิมพระเกียรติ', 'สระบุรี')","('พระพุทธบาท', 'สระบุรี')",1
"('เฉลิมพระเกียรติ', 'สระบุรี')","('เสาไห้', 'สระบุรี')",1
"('วิหารแดง', 'สระบุรี')","('บ้านนา', 'นครนายก')",1
"('วิหารแดง', 'สระบุรี')","('องครักษ์', 'นครนายก')",1
"('วิหารแดง', 'สระบุรี')","('หนองเสือ', 'ปทุมธานี')",1
"('วิหารแดง', 'สระบุรี')","('เมืองสระบุรี', 'สระบุรี')",1
"('วิหารแดง', 'สระบุรี')","('แก่งคอย', 'สระบุรี')",1
"('วิหารแดง', 'สระบุรี')","('หนองแค', 'สระบุรี')",1
"('หนองแซง', 'สระบุรี')","('ภาชี', 'พระนครศรีอยุธยา')",1
"('หนองแซง', 'สระบุรี')","('เมืองสระบุรี', 'สระบุรี')",1
"('หนองแซง', 'สระบุรี')","('หนองแค', 'สระบุรี')",1
"('หนองแซง', 'สระบุรี')","('ท่าเรือ', 'พระนครศรีอยุธยา')",1
"('หนองแซง', 'สระบุรี')","('อุทัย', 'พระนครศรีอยุธยา')",1
"('หนองแซง', 'สระบุรี')","('บ้านหมอ', 'สระบุรี')",1
"('หนองแซง', 'สระบุรี')","('เสาไห้', 'สระบุรี')",1
"('บ้านหมอ', 'สระบุรี')","('บางปะหัน', 'พระนครศรีอยุธยา')",1
"('บ้านหมอ', 'สระบุรี')","('เมืองลพบุรี', 'ลพบุรี')",1
"('บ้านหมอ', 'สระบุรี')","('ท่าเรือ', 'พระนครศรีอยุธยา')",1
"('บ้านหมอ', 'สระบุรี')","('นครหลวง', 'พระนครศรีอยุธยา')",1
"('บ้านหมอ', 'สระบุรี')","('มหาราช', 'พระนครศรีอยุธยา')",1
"('บ้านหมอ', 'สระบุรี')","('บ้านแพรก', 'พระนครศรีอยุธยา')",1
"('บ้านหมอ', 'สระบุรี')","('หนองแซง', 'สระบุรี')",1
"('บ้านหมอ', 'สระบุรี')","('ดอนพุด', 'สระบุรี')",1
"('บ้านหมอ', 'สระบุรี')","('หนองโดน', 'สระบุรี')",1
"('บ้านหมอ', 'สระบุรี')","('พระพุทธบาท', 'สระบุรี')",1
"('บ้านหมอ', 'สระบุรี')","('เสาไห้', 'สระบุรี')",1
"('ดอนพุด', 'สระบุรี')","('บางปะหัน', 'พระนครศรีอยุธยา')",1
"('ดอนพุด', 'สระบุรี')","('เมืองลพบุรี', 'ลพบุรี')",1
"('ดอนพุด', 'สระบุรี')","('ท่าเรือ', 'พระนครศรีอยุธยา')",1
"('ดอนพุด', 'สระบุรี')","('นครหลวง', 'พระนครศรีอยุธยา')",1
"('ดอนพุด', 'สระบุรี')","('มหาราช', 'พระนครศรีอยุธยา')",1
"('ดอนพุด', 'สระบุรี')","('บ้านแพรก', 'พระนครศรีอยุธยา')",1
"('ดอนพุด', 'สระบุรี')","('บ้านหมอ', 'สระบุรี')",1
"('ดอนพุด', 'สระบุรี')","('หนองโดน', 'สระบุรี')",1
"('หนองโดน', 'สระบุรี')","('เมืองลพบุรี', 'ลพบุรี')",1
"('หนองโดน', 'สระบุรี')","('บ้านแพรก', 'พระนครศรีอยุธยา')",1
