Amper1,Amper2,Adjacent
"('เมืองตราด', 'ตราด')","('คลองใหญ่', 'ตราด')",1
"('เมืองตราด', 'ตราด')","('เขาสมิง', 'ตราด')",1
"('เมืองตราด', 'ตราด')","('บ่อไร่', 'ตราด')",1
"('เมืองตราด', 'ตราด')","('แหลมงอบ', 'ตราด')",1
"('คลองใหญ่', 'ตราด')","('เมืองตราด', 'ตราด')",1
"('เขาสมิง', 'ตราด')","('เมืองตราด', 'ตราด')",1
"('เขาสมิง', 'ตราด')","('บ่อไร่', 'ตราด')",1
"('เขาสมิง', 'ตราด')","('แหลมงอบ', 'ตราด')",1
"('เขาสมิง', 'ตราด')","('ขลุง', 'จันทบุรี')",1
"('บ่อไร่', 'ตราด')","('เมืองตราด', 'ตราด')",1
"('บ่อไร่', 'ตราด')","('เขาสมิง', 'ตราด')",1
"('บ่อไร่', 'ตราด')","('ขลุง', 'จันทบุรี')",1
"('บ่อไร่', 'ตราด')","('โป่งน้ำร้อน', 'จันทบุรี')",1
"('แหลมงอบ', 'ตราด')","('เมืองตราด', 'ตราด')",1
"('แหลมงอบ', 'ตราด')","('เขาสมิง', 'ตราด')",1
"('แหลมงอบ', 'ตราด')","('เกาะช้าง', 'ตราด')",1
"('แหลมงอบ', 'ตราด')","('ขลุง', 'จันทบุรี')",1
"('เกาะช้าง', 'ตราด')","('แหลมงอบ', 'ตราด')",1
