Amper1,Amper2,Adjacent
"('บ้านนา', 'นครนายก')","('องครักษ์', 'นครนายก')",1
"('บ้านนา', 'นครนายก')","('หนองเสือ', 'ปทุมธานี')",1
"('บ้านนา', 'นครนายก')","('แก่งคอย', 'สระบุรี')",1
"('บ้านนา', 'นครนายก')","('หนองแค', 'สระบุรี')",1
"('บ้านนา', 'นครนายก')","('วิหารแดง', 'สระบุรี')",1
"('บ้านนา', 'นครนายก')","('เมืองนครนายก', 'นครนายก')",1
"('องครักษ์', 'นครนายก')","('บ้านนา', 'นครนายก')",1
"('องครักษ์', 'นครนายก')","('หนองจอก', 'กรุงเทพมหานคร')",1
"('องครักษ์', 'นครนายก')","('หนองเสือ', 'ปทุมธานี')",1
"('องครักษ์', 'นครนายก')","('ธัญบุรี', 'ปทุมธานี')",1
"('องครักษ์', 'นครนายก')","('ลำลูกกา', 'ปทุมธานี')",1
"('องครักษ์', 'นครนายก')","('วิหารแดง', 'สระบุรี')",1
"('องครักษ์', 'นครนายก')","('เมืองนครนายก', 'นครนายก')",1
"('องครักษ์', 'นครนายก')","('ปากพลี', 'นครนายก')",1
"('องครักษ์', 'นครนายก')","('บางน้ำเปรี้ยว', 'ฉะเชิงเทรา')",1
"('องครักษ์', 'นครนายก')","('บ้านสร้าง', 'ปราจีนบุรี')",1
"('เมืองนครนายก', 'นครนายก')","('บ้านนา', 'นครนายก')",1
"('เมืองนครนายก', 'นครนายก')","('องครักษ์', 'นครนายก')",1
"('เมืองนครนายก', 'นครนายก')","('แก่งคอย', 'สระบุรี')",1
"('เมืองนครนายก', 'นครนายก')","('มวกเหล็ก', 'สระบุรี')",1
"('เมืองนครนายก', 'นครนายก')","('ปากพลี', 'นครนายก')",1
"('เมืองนครนายก', 'นครนายก')","('บ้านสร้าง', 'ปราจีนบุรี')",1
"('เมืองนครนายก', 'นครนายก')","('ประจันตคาม', 'ปราจีนบุรี')",1
"('เมืองนครนายก', 'นครนายก')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')",1
"('เมืองนครนายก', 'นครนายก')","('ปากช่อง', 'นครราชสีมา')",1
"('ปากพลี', 'นครนายก')","('องครักษ์', 'นครนายก')",1
"('ปากพลี', 'นครนายก')","('เมืองนครนายก', 'นครนายก')",1
"('ปากพลี', 'นครนายก')","('บ้านสร้าง', 'ปราจีนบุรี')",1
"('ปากพลี', 'นครนายก')","('ประจันตคาม', 'ปราจีนบุรี')",1
"('ปากพลี', 'นครนายก')","('เมืองปราจีนบุรี', 'ปราจีนบุรี')",1
"('ปากพลี', 'นครนายก')","('ปากช่อง', 'นครราชสีมา')",1
